location_name,lgbtqgnc_training_admin,location_category_description
Harvest Collegiate High School,1,High school
P.S. 002 Meyer London,0,Elementary
Independence High School,0,High school
STEM Institute of Manhattan,0,Elementary
Forsyth Satellite Academy,0,High school
Manhattan Bridges High School,2,High school
Manhattan Early College School for Advertising,1,High school
Wadleigh Secondary School for the Performing & Vis,0,Secondary School
P.S./I.S. 217 Roosevelt Island,0,K-8
Beacon High School,0,High school
P.S. 015 Roberto Clemente,0,Elementary
Talent Unlimited High School,0,High school
P.S. 033 Chelsea Prep,0,Elementary
The Clinton School,0,Secondary School
P.S. 083 Luis Munoz Rivera,2,Elementary
Urban Assembly New York Harbor School,0,High school
P.S. 89,0,Elementary
The High School For Language And Diplomacy,3,High school
M.S. M245 The Computer School,0,Junior High-Intermediate-Middle
P.S. 149 Sojourner Truth,0,K-8
Frank McCourt High School,0,High school
"Urban Assembly School of Business for Young Women,",0,High school
Landmark High School,0,High school
P.S. 019 Asher Levy,0,Elementary
Gramercy Arts High School,1,High school
High School for Health Professions and Human Servi,10,High school
"Urban Assembly School for Media Studies, The",0,High school
New York City Lab Middle School for Collaborative,0,Junior High-Intermediate-Middle
P.S. 007 Samuel Stern,3,K-8
Art and Design High School,0,High school
Food and Finance High School,0,High school
M.S. 131,0,Junior High-Intermediate-Middle
Yorkville East Middle School,0,Junior High-Intermediate-Middle
P.S. 124 Yung Wing,0,Elementary
M.S. M247 Dual Language Middle School,0,Junior High-Intermediate-Middle
Richard R. Green High School of Teaching,0,High school
Emma Lazarus High School,0,High school
Stuyvesant High School,0,High school
Murray Hill Academy,0,High school
P.S. 452,0,Elementary
P.S. 234 Independence School,0,Elementary
J.H.S. 167 Robert F. Wagner,0,Junior High-Intermediate-Middle
Battery Park City School,0,K-8
The Locke School of Arts and Engineering,0,Elementary
J.H.S. 104 Simon Baruch,0,Junior High-Intermediate-Middle
P.S. 020 Anna Silver,0,Elementary
University Neighborhood Middle School,0,Junior High-Intermediate-Middle
High School for Dual Language and Asian Studies,0,High school
P.S. 142 Amalia Castro,0,Elementary
P.S. 158 Bayard Taylor,0,Elementary
P.S. 38 Roberto Clemente,2,Elementary
New Design High School,0,High school
P.S. 087 William Sherman,0,Elementary
"High School for Law, Advocacy and Community Justic",0,High school
P.S. 183 Robert L. Stevenson,0,Elementary
Community Action School - MS 258,1,Junior High-Intermediate-Middle
City Knoll Middle School,0,Junior High-Intermediate-Middle
Humanities Preparatory Academy,0,High school
P.S. 011 William T. Harris,0,Elementary
P.S. 003 Charrette School,0,Elementary
Stephen T. Mather Building Arts & Craftsmanship Hi,0,High school
P.S. 041 Greenwich Village,0,Elementary
Harvey Milk High School,0,High school
P.S. 051 Elias Howe,0,Elementary
West End Secondary School,0,Secondary School
P.S. 188 The Island School,0,K-8
