code,program,app_gr09,seat_gr09,seat_gr10,stm,eng,req1
M94A,Manhattan Village Academy,3282.0,100.0,6.0,Levels 2.0-4.5,Scores 80-100,Attendance and Punctuality
M87A,Baruch College,5182.0,111.0,5.0,Review,Scores 85-100,Attendance
X32A,Bronx Guild,366.0,81.0,10.0,,,
M54A,English/American Sign Language Dual Language Environment,225.0,69.0,8.0,Review,Scores 75-100,Attendance and Punctuality
M19L,Dual Language Spanish Program,,34.0,,,,
X44X,Mott Haven Village Preparatory High School,501.0,81.0,,,,
X65A,W.E.B. Du Bois Writing Institute,78.0,30.0,,,,
M04A,Urban Assembly School for the Performing Arts,749.0,108.0,10.0,,,
X85R,The Bronxwood Preparatory Academy,409.0,108.0,,,,
X97A,Pablo Neruda Academy,264.0,108.0,10.0,,,
M19J,The Academy of Engineering,426.0,100.0,,Levels 3.0-4.5,Scores 75-100,Attendance and Punctuality
M81H,Musical Theatre,282.0,20.0,5.0,Review,Review,Attendance and Punctuality
M27A,Marta Valle High School,229.0,120.0,10.0,,,
A17A,The Global Learning Collaborative,603.0,108.0,,,,
M26R,Vocal Music,34.0,32.0,5.0,Review,Review,Attendance and Punctuality
M66I,Capstone Scholars,101.0,32.0,,Review,Scores 80-100,Attendance and Punctuality
M25A,Millennium High School,4323.0,150.0,10.0,,Scores 90-100,Attendance and Punctuality
M82A,Institute for Collaborative Education,1168.0,54.0,,,Scores 80-100,Interview
NO CODE,Instrumental Music,1458.0,118.0,5.0,Review,Scores 80-100,Note that program offers common audition components.
M99A,Humanities Preparatory Academy,632.0,35.0,,Levels 2.0-4.5,Scores 80-100,Attendance and Punctuality
NO CODE,Pre-Engineering,19035.0,110.0,3.0,,,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admission Test (SHSAT). Students should speak to their guidance counselor in the Fall to register for the SHSAT.
A53A,Harvest Collegiate High School,2139.0,108.0,5.0,,,
A33B,Dental Assistant,310.0,54.0,,,,
A19A,Murray Hill Academy,519.0,90.0,30.0,,,
M36X,High School of Hospitality Management,792.0,108.0,,,,
M42N,Drama,321.0,28.0,2.0,Levels 2.5-4.5,Scores 80-100,Attendance and Punctuality
M70A,Medical Science & Research,1634.0,187.0,16.0,Review,Scores 85-100,Attendance and Punctuality
X24A,Bronx River High School,841.0,108.0,,,,
M67B,Chelsea Technical Academy/Cisco,937.0,45.0,6.0,Levels 2.0-4.5,Scores 75-100,Attendance and Punctuality
X69D,Bilingual Spanish NATEF Automotive Technology,92.0,20.0,,,,
X37A,"HERO High (Health, Education, and Research Occupations High School)",992.0,108.0,5.0,,,
NO CODE,Technical Theatre,536.0,28.0,5.0,Review,Scores 80-100,
M81K,Classical Vocal Music,369.0,25.0,5.0,Review,Review,Attendance and Punctuality
M88A,Washington Heights Expeditionary Learning School,614.0,81.0,,,,
M29A,"Science, Technology and Math Institute",2995.0,160.0,10.0,Levels 3.0-4.5,Scores 85-100,Attendance and Punctuality
Y51B,Architecture and Design,344.0,27.0,,,,
M67E,SoHo Communication Arts Academy,656.0,80.0,6.0,,,
M19B,Academic Professions,936.0,82.0,,,,
X96A,Humanities,607.0,60.0,10.0,Levels 2.0-4.5,Scores 75-100,Attendance and Punctuality
A13A,The Urban Assembly School for Green Careers,267.0,108.0,10.0,,,
A23A,UA Gateway,1390.0,108.0,,,,
Y34A,Antonia Pantoja Preparatory Academy: A College Board School,189.0,81.0,,,,
M42P,Instrumental Music,180.0,20.0,2.0,Levels 2.5-4.5,Scores 80-100,Attendance and Punctuality
M12B,Digital Media,830.0,68.0,,,,
M57D,Dual Language Spanish Pre-Engineering,170.0,20.0,,Levels 2.0-4.5,Scores 80-100,Attendance and Punctuality
Y72B,The Laboratory School of Finance and Technology,511.0,54.0,,,,
X72A,Millennium Art Academy,785.0,108.0,5.0,,,
Y41A,Eagle Academy for Young Men of Harlem,,81.0,,,,
M38X,PACE High School,4614.0,150.0,,,,
A22A,Manhattan Academy for Arts & Language,371.0,108.0,5.0,,,
X16Z,Zoned,,,,,,
Y01T,Women’s Academy of Excellence,350.0,108.0,,,,
M61A,Urban Assembly Maker Academy,437.0,108.0,5.0,,,
X16B,Anne Hutchinson Academy,302.0,60.0,,Levels 3.0-4.5,Scores 85-100,Attendance
M26A,Drama,27.0,32.0,5.0,Review,Review,Attendance and Punctuality
M57B,Bilingual Spanish Information Technology and Computer Science,397.0,60.0,5.0,,Scores 70-100,Attendance and Punctuality
M83A,School of the Future,1518.0,108.0,,Levels 3.0-4.5,Scores 85-100,Attendance and Punctuality
X71A,Health Opportunities High School,658.0,150.0,5.0,,,
A21A,Frank McCourt High School,1326.0,108.0,6.0,Levels 2.0-4.5,Scores 80-100,Attendance and Punctuality
M35C,University Neighborhood Early College,126.0,25.0,10.0,Levels 2.0-4.5,Scores 80-100,Attendance and Punctuality
M76A,Leadership and Public Service,688.0,198.0,10.0,,,
Y47A,Bronx Bridges High School,413.0,81.0,,,,
M71A,The Beacon School,5255.0,320.0,5.0,Levels 3.0-4.5,Scores 85-100,Attendance and Punctuality
M76B,Business and Entrepreneurship,,78.0,10.0,,,
A24A,High School for Excellence and Innovation,264.0,60.0,,,,
M16J,Science & Mathematics Research,3392.0,378.0,10.0,Levels 3.0-4.5,Scores 80-100,Attendance and Punctuality
M19C,The Academy of the Humanities,237.0,82.0,,Levels 3.0-4.5,Scores 75-100,Attendance and Punctuality
X31A,Urban Assembly School for Careers in Sports,1509.0,125.0,5.0,,,
M40A,Life Sciences for New Students,750.0,135.0,10.0,,,
Y61A,The Bronx Compass High School,724.0,108.0,10.0,,,
X26A,Pelham Lab High School,669.0,108.0,10.0,,,
M26M,Instrumental Music,13.0,20.0,5.0,Review,Review,Attendance and Punctuality
M97A,The Heritage School,578.0,80.0,10.0,,,
M19K,The Academy of Medicine,428.0,160.0,,Levels 3.0-4.5,Scores 75-100,Attendance and Punctuality
M60Q,Film/Video Production,233.0,28.0,10.0,Levels 2.5-4.5,,Attendance
K51B,Marine Technology,,54.0,5.0,,,
M55A,Manhattan/Hunter Science High School,4408.0,108.0,5.0,Review,Scores 80-100,Attendance and Punctuality
M50B,The Ninth Grade Academy,294.0,150.0,10.0,,,
M17J,Park East High School,1333.0,100.0,5.0,Review,Scores 80-100,Attendance and Punctuality
M44X,Urban Assembly School of Design and Construction,421.0,108.0,,,,
A14A,The Business of Sports School,1776.0,124.0,5.0,,,
Y49A,Bronx Leadership Academy II High School,995.0,108.0,10.0,,,
M45A,"Int'l Marketing, Computer Applications, Foreign Trade & Virtual Enterprise",549.0,154.0,5.0,,,
M66B,Performing Arts,375.0,64.0,5.0,,,Note that program offers common audition components.
M23A,Teaching Academy,399.0,80.0,10.0,,,
M28A,The Urban Assembly School for Emergency Management,278.0,108.0,,,,
X49D,Visual Art,193.0,24.0,,,,
M20X,Theatre Arts,482.0,60.0,10.0,Review,Scores 75-100,Attendance and Punctuality
Y37A,"Archimedes Academy for Math, Science and Technology",605.0,96.0,,,,
M35B,Bilingual Mandarin,17.0,20.0,20.0,,,
NO CODE,Stuyvesant,22662.0,814.0,10.0,,,
M32A,The College Academy,737.0,108.0,5.0,,,
Y46A,International High School at Union Square,432.0,108.0,,,,"Please note: Due to the educational program, consideration is given to encouraging cultural and linguistic diversity. When evaluation applicants, International High School at Union Square seeks to build an incoming 9th grade class that is representative of students from all parts of the world."
M41D,Honors Academy,953.0,30.0,10.0,Levels 3.0-4.5,Scores 85-100,Attendance and Punctuality
A25A,Quest to Learn Upper School,994.0,100.0,,,,
M66A,Fine & Visual Arts,441.0,64.0,5.0,,,Note that program offers common audition components.
M53A,New Design High School,1635.0,108.0,,,,
X87R,New World High School,696.0,108.0,,,,
X49B,Dance,269.0,36.0,,,,
M68A,"Fashion Design, Related Arts & Business Fields",1641.0,475.0,30.0,,Scores 75-100,Attendance and Punctuality
M12A,Arts & Technology,1454.0,72.0,5.0,,,
X69E,Graphic Arts,306.0,28.0,,Levels 2.0-4.5,Scores 65-100,Attendance and Punctuality
A11A,High School for Language and Diplomacy,334.0,134.0,10.0,,,
M16K,Bilingual Spanish Science & Mathematics,179.0,34.0,34.0,Levels 3.0-4.5,Scores 80-100,Attendance and Punctuality
Y59A,School for Tourism and Hospitality,247.0,135.0,,,,
M65R,The Urban Assembly Academy of Government and Law,644.0,81.0,7.0,,,
X65R,The Felisa Rincón de Gautier Institute for Law and Public Policy,191.0,108.0,10.0,,,
A15A,Columbia Secondary School,1846.0,96.0,,Review,Scores 90-100,Attendance and Punctuality
NO CODE,Dance,2050.0,59.0,5.0,Review,Scores 80-100,Note that program offers common audition components.
X14J,Hostos-Lincoln Academy of Science,1167.0,81.0,10.0,Levels 2.0-4.5,Scores 75-100,Attendance
Y58B,Westchester Square Academy Honors Program,220.0,54.0,7.0,Levels 3.0-4.5,Scores 80-100,Attendance and Punctuality
M34X,Food and Finance High School,2510.0,108.0,5.0,,,
M11R,"High School for Arts, Imagination and Inquiry",904.0,120.0,15.0,,,
M81J,Drama,474.0,22.0,5.0,Review,Review,Attendance and Punctuality
M39B,Frederick Douglass Academy II for Continuing Students,14.0,26.0,,,,
NO CODE,Vocal Music,3254.0,181.0,5.0,Review,Scores 80-100,Note that program offers common audition components.
M50C,The Blazer Early College Preparatory Academy,97.0,90.0,,Review,Scores 80-100,Attendance
Y23A,International Community High School,222.0,81.0,10.0,,,"Please note: Due to the educational program, consideration is given to encouraging cultural and linguistic diversity. When evaluating applicants, International Community High School seeks to build an incoming 9th grade class that is representatitve of students from all parts of the world."
M90A,Coalition School for Social Change,291.0,120.0,5.0,,,
M30A,Media and Communications Institute,439.0,150.0,,,,
M60P,Commercial Art and Design,1348.0,276.0,5.0,Levels 2.0-4.5,,Attendance
M41C,Environmental Studies,2498.0,270.0,20.0,,,
X49C,Music,153.0,24.0,10.0,,,
M85A,NYC Museum School,2515.0,124.0,5.0,Levels 3.0-4.5,Scores 80-100,Attendance and Punctuality
M64A,M.S. 260 Clinton School Writers & Artists,1073.0,81.0,,Levels 2.0-4.5,Scores 85-100,Attendance and Punctuality
M02R,The Facing History School,488.0,108.0,,,,
M52A,NYC iSchool,3002.0,118.0,5.0,Levels 3.0-4.5,Scores 85-100,Attendance and Punctuality
M70B,Medical Technology and College Preparatory,2259.0,255.0,34.0,,,
X27A,Bronx Academy of Letters,556.0,81.0,5.0,,,
M31A,Law and Public Service,898.0,181.0,,,,
M86A,Central Park East,3801.0,115.0,10.0,Levels 1.0-4.5,Scores 80-100,Attendance and Punctuality
Y58A,Westchester Square Academy,710.0,81.0,7.0,,,
X57A,Schuylerville Preparatory High School,442.0,108.0,,,,
M57E,Dual Language Spanish Information Technology and Computer Science,212.0,25.0,,Levels 2.0-4.5,Scores 80-100,Attendance and Punctuality
X94A,Banana Kelly High School,410.0,108.0,5.0,,,
X70A,Humanities,114.0,95.0,,,,
M95A,College Preparatory,1353.0,110.0,,,,
M75A,Frederick Douglass Academy for the Humanities (FDAH),673.0,160.0,5.0,Levels 3.0-4.5,Scores 85-100,Attendance and Punctuality
M91A,Landmark High School,682.0,100.0,10.0,,,
M39A,Frederick Douglass Academy II for New Students,465.0,70.0,,,,
M84A,Unity Center for Urban Technologies,385.0,60.0,10.0,,,
M58A,East Side Community,1284.0,90.0,10.0,,Scores 75-100,Attendance and Punctuality
M59A,High School for Dual Language and Asian Studies,1045.0,108.0,,Levels 2.0-4.5,Scores 80-100,Attendance and Punctuality
M22X,The Urban Assembly School for Media Studies,370.0,108.0,10.0,,,
M96A,Young Women’s Leadership School,1249.0,81.0,4.0,Review,Scores 80-100,Writing prompt  and group interview at Open House
X96B,"STEM (Science, Technology, Engineering and Mathematics)",1136.0,62.0,,Review,Scores 75-100,Attendance and Punctuality
X47A,Social Action,553.0,81.0,10.0,,,
M42L,Dance,513.0,25.0,2.0,Levels 2.5-4.5,Scores 80-100,Attendance and Punctuality
M46X,International Studies,170.0,81.0,,,,
M47A,Social Change and Community Service,564.0,108.0,5.0,Review,Scores 80-100,Attendance and Punctuality
A12A,Manhattan Business Academy,1527.0,108.0,8.0,,,
M62A,Bilingual Spanish Science & Mathematics,352.0,108.0,,Review,,Attendance and Punctuality
M26J,Visual Arts,86.0,32.0,5.0,Review,Review,Attendance and Punctuality
M23B,Liberal Arts Academy,268.0,80.0,5.0,,,
A33A,Pharmacy Technician,513.0,54.0,,,,
A85A,"Voice, Instrument, and Composition",263.0,40.0,5.0,Review,Scores 85-100,Attendance and Punctuality
Y22A,Holcombe L. Rucker School of Community Research,180.0,95.0,10.0,,,
M01A,Academy for Social Action: A College Board School,198.0,81.0,,,,
M57C,Bilingual Spanish Pre-Engineering,255.0,30.0,,Levels 2.0-4.5,Scores 80-100,Attendance and Punctuality
M05R,Lower Manhattan Arts Academy,1201.0,88.0,5.0,,,
M75B,"Science, Technology, Engineering, and Mathematics (STEM)",504.0,160.0,5.0,Review,Scores 80-100,Attendance and Punctuality
M26D,Dance,41.0,32.0,5.0,Review,Review,Attendance and Punctuality
X11X,South Bronx Preparatory: A College Board School,1192.0,92.0,,,,
X58X,Bronx Collegiate Academy,539.0,95.0,10.0,,,
NO CODE,Fine Art,2450.0,211.0,5.0,Review,Scores 80-100,Note that program offers common audition components.
A37A,Esperanza Preparatory Academy,519.0,81.0,,,,
X69C,NATEF Automotive Technology,521.0,104.0,,,,
Y72A,Dual Language Spanish Program,195.0,27.0,,,,
M49X,Mott Hall High School,624.0,108.0,,,,
M42J,Musical Theatre,183.0,20.0,2.0,Levels 2.5-4.5,Scores 80-100,Attendance and Punctuality
Y51A,Building Construction and Technology,505.0,135.0,,,,
M81N,Dance,511.0,35.0,5.0,Review,Review,Attendance and Punctuality
Y28A,The Urban Assembly Bronx Studio School for Writers and Artists,569.0,81.0,,,,
M48A,The Urban Assembly School for Global Commerce,221.0,81.0,,,,
NO CODE,Drama,2638.0,99.0,5.0,Review,Scores 80-100,Note that program offers common audition components.
M42K,Vocal Music,561.0,27.0,2.0,Levels 2.5-4.5,Scores 80-100,Attendance and Punctuality
M33A,Health Careers & Sciences,689.0,175.0,,,,
M63R,The Urban Assembly School of Business for Young Women,369.0,108.0,10.0,,,
M60N,Architectural Design,378.0,56.0,5.0,Levels 2.5-4.5,,Attendance
M14A,"Law, Advocacy and Community Justice High School",1419.0,140.0,10.0,,,
M07A,Community Health Academy of the Heights,533.0,81.0,,,,
X98A,Renaissance High School of Musical Theater & Technology,853.0,108.0,10.0,,,
M35A,University Neighborhood High School,353.0,80.0,10.0,,,
K51A,Marine Science,700.0,108.0,10.0,,,
A54A,Academy for Software Engineering (AFSE),2403.0,108.0,,,,
M06A,City College Academy of the Arts,2115.0,81.0,5.0,Levels 2.0-4.5,Scores 70-100,Attendance and Punctuality
M21A,Eleanor Roosevelt High School,5376.0,125.0,12.0,Levels 3.0-4.5,Scores 90-100,Attendance and Punctuality
A16A,Inwood Early College for Health & Information Technologies,854.0,81.0,8.0,,,
M40B,Life Sciences for Current Students,12.0,20.0,,,,
X49E,Drama,140.0,24.0,,,,
X16A,Academy for Computer Technology,906.0,90.0,10.0,,,
M74A,College Prep,2889.0,130.0,,Levels 2.5-4.5,Scores 85-100,Attendance and Punctuality
M93A,Humanities and Interdisciplinary,423.0,85.0,,,,"Please note: Due to the educational program, consideration is given to encouraging cultural and linguistic diversity. When evaluation applicants, Manhattan International High School seeks to build an incoming 9th grade class that is representative of students from all parts of the world."
M79A,Economics and Finance,1810.0,200.0,,,,
M26W,Wadleigh Secondary,49.0,32.0,5.0,,,
M51A,Early College,3060.0,160.0,10.0,,Scores 85-100,Attendance
M37X,Essex Street Academy,1341.0,81.0,10.0,,,
A18A,Hudson High School of Learning Technologies,942.0,120.0,10.0,,,
M18A,Building Arts & Historic Preservation,516.0,108.0,5.0,,,
M73A,Manhattan Early College School for Advertising,724.0,81.0,5.0,,,
