code,method,sci,ela,apps_per_seat_gr10,req2,interest
M94A,Screened,Scores 80-100,Levels 2.0-4.5,24 per seat,Demonstrated interest: school visit,Humanities & Interdisciplinary
M87A,Screened,Scores 85-100,Review,74 per seat,Writing sample: should be submitted at www.bcchsnyc.net/admissions. Writing sample topic is detailed on the website.,Humanities & Interdisciplinary
X32A,Limited Unscreened,,,6 per seat,,Humanities & Interdisciplinary
M54A,Screened,Scores 75-100,Review,1 per seat,Interview,Humanities & Interdisciplinary
M19L,Screened: Language,,,,,Humanities & Interdisciplinary
X44X,Limited Unscreened,,,,,Humanities & Interdisciplinary
X65A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M04A,Limited Unscreened,,,4 per seat,,Performing Arts
X85R,Limited Unscreened,,,,,Humanities & Interdisciplinary
X97A,Limited Unscreened,,,1 per seat,,Architecture
M19J,Screened,Scores 75-100,Levels 3.0-4.5,,,Engineering
M81H,Audition,Review,Review,4 per seat,,Performing Arts
M27A,Ed. Opt.,,,New Program,,Humanities & Interdisciplinary
A17A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M26R,Audition,Review,Review,-,,Performing Arts
M66I,Screened,Scores 80-100,Review,,On-site Math exercise,Humanities & Interdisciplinary
M25A,Screened,Scores 90-100,,33 per seat,Foreign language course grade,Humanities & Interdisciplinary
M82A,Screened,Scores 80-100,,,Writing sample,Humanities & Interdisciplinary
NO CODE,Audition,Scores 80-100,Review,32 per seat,,Performing Arts
M99A,Screened,Scores 80-100,Levels 2.0-4.5,,Demonstrated interest: school visit,Humanities & Interdisciplinary
NO CODE,Test,,,378 per seat,,Engineering
A53A,Limited Unscreened,,,-,,Humanities & Interdisciplinary
A33B,Limited Unscreened,,,,,Health Professions
A19A,Limited Unscreened,,,-,,Humanities & Interdisciplinary
M36X,Limited Unscreened,,,,,"Hospitality, Travel and Tourism"
M42N,Audition,Scores 80-100,Levels 2.5-4.5,20 per seat,Interview,Performing Arts
M70A,Screened,Scores 85-100,Review,9 per seat,Interview: We interview for our screened program at the fall Open Houses.,Health Professions
X24A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M67B,Screened,Scores 75-100,Levels 2.0-4.5,9 per seat,,Computer Science & Technology
X69D,Screened: Language,,,,,Engineering
X37A,Limited Unscreened,,,1 per seat,,Health Professions
NO CODE,Audition,Scores 80-100,Review,24 per seat,,Performing Arts
M81K,Audition,Review,Review,7 per seat,,Performing Arts
M88A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M29A,Screened,Scores 85-100,Levels 3.0-4.5,16 per seat,On-site test: see website for dates and registration,Science & Math
Y51B,Limited Unscreened,,,,,Architecture
M67E,Ed. Opt.,,,6 per seat,,Visual Art & Design
M19B,Ed. Opt.,,,,,Humanities & Interdisciplinary
X96A,Screened,Scores 75-100,Levels 2.0-4.5,5 per seat,Interview: Students are directly contacted by the school and will receive notification by mail and or by phone. It is important that the latest contact information listed for all applicants is correct so that we can contact you. Please bring any work you wish to share.,Humanities & Interdisciplinary
A13A,Limited Unscreened,,,3 per seat,,Environmental Science
A23A,Limited Unscreened,,,,,Computer Science & Technology
Y34A,Limited Unscreened,,,,,Humanities & Interdisciplinary
M42P,Audition,Scores 80-100,Levels 2.5-4.5,4 per seat,Interview,Performing Arts
M12B,Limited Unscreened,,,,,Computer Science & Technology
M57D,Screened: Language & Academics,Scores 80-100,Levels 2.0-4.5,,Interview and writing exercise: Please contact the school for more information.,Engineering
Y72B,Limited Unscreened,,,,,Computer Science & Technology
