pivot-metric,pivot-value,app_gr10,aud
program,Manhattan Village Academy,145.0,
program,Drama,,
req4,,2.0,
program,High School for Dual Language and Asian Studies,,
program,Harvest Collegiate High School,0.0,
req4,,28.0,"Monologue from The Fantasticks, or monologues solely written for monologue books. Dance: students should be prepared to demonstrate a modern dance combination prepared by the dance faculty. Please bring clothes appropriate for dance. Vocal: students should be prepared to sing 16 bars of a song, preferably from a musical. Please bring sheet music with you for an accompanist."
program,Theatre Arts,28.0,"Monologue from The Fantasticks, or monologues solely written for monologue books. Dance: students should be prepared to demonstrate a modern dance combination prepared by the dance faculty. Please bring clothes appropriate for dance. Vocal: students should be prepared to sing 16 bars of a song, preferably from a musical. Please bring sheet music with you for an accompanist."
program,Inwood Early College for Health & Information Technologies,7.0,
req4,,16.0,"Prepare a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. Check school’s website for examples. They may include: the human figure, and drawing from observation or imagination."
req4,,,
program,High School of Hospitality Management,,
program,Dance,56.0,"Come prepared to participate in ballet warm-ups and a modern dance combination. Your potential to succeed in the dance program will be evaluated based on alignment, the ability to follow directions, musicality, strength and stretch. Applicants are expected to wear dance clothes (leotards, footless tights and ballet shoes)."
program,PACE High School,,
req4,,,
program,Columbia Secondary School,,
req4,,,
req4,,,
program,Institute for Collaborative Education,,
program,New World High School,,
req4,,152.0,
req4,,,
program,The Urban Assembly School of Business for Young Women,25.0,
program,Drama,2.0,"Perform two memorized monologues, one dramatic and one humorous, one-minute each."
req4,,,
req4,,37.0,
program,Antonia Pantoja Preparatory Academy: A College Board School,,
req4,,46.0,
req4,,,
req4,,40.0,
req4,,47.0,
req4,,51.0,
req4,,,
program,The Felisa Rincón de Gautier Institute for Law and Public Policy,19.0,
program,Performing Arts,20.0,Perform two contrasting monologues (one minute each). Perform an on-demand dramatic or movement activity (e.g. impromptu reading from provided script or improvisation). Wear attire that allows free movement.
program,Digital Media,,
program,Visual Arts,1.0,"Present a portfolio of 5-8 pieces of original artwork, including at least two sketches."
program,Early College,152.0,
program,Business and Entrepreneurship,,
program,NYC iSchool,107.0,
req4,,,
req4,,107.0,
req4,,,
req4,,1392.0,
req4,,20.0,
req4,,,
req4,,47.0,
program,Bronx Guild,58.0,
program,Dance,,
req4,,,
program,Building Construction and Technology,,
req4,,58.0,
req4,,,
req4,,35.0,
program,Chelsea Technical Academy/Cisco,51.0,
program,SoHo Communication Arts Academy,37.0,
req4,,,
program,Architectural Design,13.0,Portfolio with 8-12 pieces of original artwork created from observation and students’ own imagination with a diversity of subject matter and use of media. Please include examples of line drawings as well as value studies of geometric shapes and forms. You should also include a drawing of your neighborhood and a plan of your bedroom or your apartment. Three-dimensional pieces can be photographed. You will be required to draw from observation and memory.
req4,,,
req4,,65.0,
req4,,,
program,Life Sciences for New Students,43.0,
program,Urban Assembly School of Design and Construction,,
program,Law and Public Service,,
program,Instrumental Music,158.0,"Applicants should prepare a solo selection to perform without accompaniment and bring one copy of the music they plan to perform. Applicants should bring their instruments to the audition, except those auditioning on piano, percussion, tuba, double bass, and harp. These instrumenst will be provided by the school at the audition. Aplifiers also will be provided at the audition for electric guitarists. Applicants will be tested for rhythm and tonal memory and will be asked to complete a sight-reading of a given selection. "
req4,,,
req4,,161.0,
program,Film/Video Production,16.0,"Portfolio including two storyboards (each a minimum of ten frames each) depicting a scene from imagination and a 250-word essay describing your interest in filmmaking. At the audition, students will be given a visual representation and will be asked to develop a story that could be used as the basis for a film. Be prepared to address these questions: What is the story about? Who are the main characters? What are the conflicts? What type of film? How does it end? Materials are supplied at audition."
program,Bronx River High School,,
program,Dual Language Spanish Program,,
program,Health Careers & Sciences,,
program,"Voice, Instrument, and Composition",18.0,
req4,,74.0,
req4,,,
req4,,11.0,
program,Dual Language Spanish Pre-Engineering,,
req4,,,
req4,,268.0,
program,Vocal Music,0.0,Perform a gospel and a classical selection (a capella).
program,The Laboratory School of Finance and Technology,,
program,Washington Heights Expeditionary Learning School,,
req4,,46.0,
program,The Bronx Compass High School,69.0,
program,"Science, Technology, Engineering, and Mathematics (STEM)",20.0,
req4,,,
program,Social Action,40.0,
req4,,35.0,
program,Manhattan Early College School for Advertising,5.0,
program,Manhattan/Hunter Science High School,268.0,
program,Humanities Preparatory Academy,,
req4,,,
program,The Academy of Medicine,,
req4,,,
program,Music,,
req4,,47.0,"Participate in an Ailey School master class that includes ballet, modern and jazz techniques. Female applicants must wear a leotard, footless or convertible tights and ballet shoes. Males should wear a fitted t-shirt, black leggings or black tights, a dance belt and ballet shoes. No prepared solo is necessary."
req4,,45.0,"In a medium key, from memory. An accompanist will be provided. Applicants will also be asked to repeat vocal phrases demonstrated by the teacher in order to test rhythm, tonal memory and basic vocal technique."
program,Women’s Academy of Excellence,,
program,NATEF Automotive Technology,,
req4,,96.0,"1) Art, Illustration & Graphics: Submit 8-15 pieces of original art work; this art work can be submitted either online on the school’s website (www.fashionhighschool.net) or in person at one of the Audition dates listed. This is the only audition that follows common audition components. 2) Fashion Design: Submit 5 original fashion illustrations; these fashion illustrations can be submitted either online on the school’s website (www.fashionhighschool.net) or in person at one of the Audition dates listed,. 3) Business and Visual Merchandising: Submit a 200-word essay describing a student’s favorite store to shop and a visual advertisement for this store; this essay and advertisement can be submitted either online on the school’s website (www.fashionhighschool.net) or in person at one of the Audition dates listed."
req4,,28.0,
req4,,,
program,The Urban Assembly School for Global Commerce,,
program,International Community High School,17.0,
req4,,,
req4,,71.0,
program,East Side Community,74.0,
req4,,,
program,"Science, Technology and Math Institute",162.0,
program,Frederick Douglass Academy II for New Students,,
program,Mott Haven Village Preparatory High School,,
program,"Fashion Design, Related Arts & Business Fields",96.0,"1) Art, Illustration & Graphics: Submit 8-15 pieces of original art work; this art work can be submitted either online on the school’s website (www.fashionhighschool.net) or in person at one of the Audition dates listed. This is the only audition that follows common audition components. 2) Fashion Design: Submit 5 original fashion illustrations; these fashion illustrations can be submitted either online on the school’s website (www.fashionhighschool.net) or in person at one of the Audition dates listed,. 3) Business and Visual Merchandising: Submit a 200-word essay describing a student’s favorite store to shop and a visual advertisement for this store; this essay and advertisement can be submitted either online on the school’s website (www.fashionhighschool.net) or in person at one of the Audition dates listed."
program,Dance,178.0,"Applicants participate in both a ballet class and a modern dance class. Female applicants must wear a leotard, footless or convertible tights and ballet shoes. Males should wear a fitted t-shirt, black leggings, fitted black sweatpants or black tights, and ballet shoes. Applicants are evaluated for their potential to succeed in the specific training offered. "
req4,,,
req4,,,
program,UA Gateway,,
program,Banana Kelly High School,35.0,
program,Academy for Computer Technology,64.0,
program,Unity Center for Urban Technologies,24.0,
req4,,,
program,Essex Street Academy,85.0,
req4,,63.0,
req4,,25.0,
req4,,166.0,
req4,,69.0,
req4,,,
req4,,162.0,
req4,,35.0,"Present a memorized classical music selection. The song must demonstrate vocal skills and ability. Classical selections can be found in either ""Twenty-Four Italian Songs and Arias"" or ""The Art Song Anthology."" Do not present rock, pop, gospel, country, musical theater, Disney or contemporary music. You must bring sheet music for your song to the audition; an accompanist will be provided. Vocal musicianship (the ability to sing scales, sing a cappella, etc.) will be tested at the audition."
req4,,,
req4,,28.0,
program,Frederick Douglass Academy for the Humanities (FDAH),50.0,
req4,,16.0,"Portfolio including two storyboards (each a minimum of ten frames each) depicting a scene from imagination and a 250-word essay describing your interest in filmmaking. At the audition, students will be given a visual representation and will be asked to develop a story that could be used as the basis for a film. Be prepared to address these questions: What is the story about? Who are the main characters? What are the conflicts? What type of film? How does it end? Materials are supplied at audition."
program,Pelham Lab High School,41.0,
req4,,24.0,
req4,,,
program,Dance,47.0,"Participate in an Ailey School master class that includes ballet, modern and jazz techniques. Female applicants must wear a leotard, footless or convertible tights and ballet shoes. Males should wear a fitted t-shirt, black leggings or black tights, a dance belt and ballet shoes. No prepared solo is necessary."
program,Urban Assembly School for the Performing Arts,41.0,
program,Visual Art,,
req4,,26.0,
program,NYC Museum School,166.0,
req4,,,
program,Holcombe L. Rucker School of Community Research,19.0,
program,Bilingual Mandarin,2.0,
req4,,19.0,
program,Westchester Square Academy,46.0,
program,Building Arts & Historic Preservation,26.0,
req4,,,
req4,,299.0,
req4,,,
program,International High School at Union Square,,
req4,,52.0,
program,International Studies,,
req4,,125.0,
req4,,8.0,"Come prepared to demonstrate competence and agility on your instrument by playing a prepared selection of your choice. Applicants should bring their instruments to the audition (percussion, piano, baritone sax, guitar amplifier, baritone horn, tuba and double bass will be provided) and the music needed to perform. In addition, sight reading ability will be tested and students will be asked to play two scales from memory. See the TU website at www.tuhsnyc.com for details."
req4,,,
program,Pharmacy Technician,,
req4,,12.0,
program,The Heritage School,35.0,
req4,,18.0,
program,M.S. 260 Clinton School Writers & Artists,,
req4,,50.0,
req4,,43.0,
program,Park East High School,65.0,
program,Economics and Finance,,
program,School for Tourism and Hospitality,,
program,Vocal Music,278.0,Applicants should prepare a song to sing without accompaniment for the audition. The musical selection can be classical or popular in style. In the audition applicants will be asked to sing back melodic patterns and tap back rhythmic patterns. LaGuardia High School has a suggested online song list (www.laguardiahs.org); applicants are not required to select from the song list. 
req4,,5.0,
program,Frederick Douglass Academy II for Continuing Students,,
req4,,,
req4,,,
req4,,,
program,Academy for Social Action: A College Board School,,
req4,,,
program,English/American Sign Language Dual Language Environment,6.0,
req4,,44.0,
req4,,202.0,
req4,,,
req4,,0.0,
program,Zoned,,
req4,,19.0,
program,"Law, Advocacy and Community Justice High School",63.0,
program,Bronx Collegiate Academy,57.0,
req4,,145.0,
program,Community Health Academy of the Heights,,
program,Urban Assembly School for Careers in Sports,125.0,
program,Science & Mathematics Research,202.0,
program,The Academy of the Humanities,,
program,"High School for Arts, Imagination and Inquiry",62.0,
program,Coalition School for Social Change,28.0,
req4,,14.0,
req4,,61.0,
req4,,,
program,Manhattan Business Academy,,
req4,,,
req4,,,
program,Millennium High School,326.0,
program,Renaissance High School of Musical Theater & Technology,46.0,
req4,,70.0,
req4,,16.0,
req4,,69.0,
req4,,,
program,Fine & Visual Arts,16.0,"Prepare a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. Check school’s website for examples. They may include: the human figure, and drawing from observation or imagination."
req4,,,
program,Classical Vocal Music,35.0,"Present a memorized classical music selection. The song must demonstrate vocal skills and ability. Classical selections can be found in either ""Twenty-Four Italian Songs and Arias"" or ""The Art Song Anthology."" Do not present rock, pop, gospel, country, musical theater, Disney or contemporary music. You must bring sheet music for your song to the audition; an accompanist will be provided. Vocal musicianship (the ability to sing scales, sing a cappella, etc.) will be tested at the audition."
program,New Design High School,,
program,Manhattan Academy for Arts & Language,16.0,
program,Instrumental Music,8.0,"Come prepared to demonstrate competence and agility on your instrument by playing a prepared selection of your choice. Applicants should bring their instruments to the audition (percussion, piano, baritone sax, guitar amplifier, baritone horn, tuba and double bass will be provided) and the music needed to perform. In addition, sight reading ability will be tested and students will be asked to play two scales from memory. See the TU website at www.tuhsnyc.com for details."
req4,,17.0,
req4,,,
req4,,,
program,Dental Assistant,,
req4,,,
program,Drama,40.0,"Come prepared to present two memorized monologues (1 minute each) taken from published, recognized playwrights. Characters chosen should be age-appropriate. Applicants may be asked to do an improvisation and a reading of material provided at the audition."
program,Musical Theatre,11.0,"Come prepared with a memorized song and monologue from a Broadway show. An accompanist will be provided, but be prepared to sing a cappella. The applicant’s ability to match pitches and take direction will be strongly considered. Applicants will also be asked to demonstrate their dance skills."
program,Schuylerville Preparatory High School,,
program,Honors Academy,55.0,
req4,,60.0,
program,The Urban Assembly School for Emergency Management,,
program,Esperanza Preparatory Academy,,
req4,,334.0,
program,Environmental Studies,163.0,
program,Stuyvesant,1392.0,
req4,,2.0,
req4,,,
req4,,2.0,"Perform two memorized monologues, one dramatic and one humorous, one-minute each."
program,Quest to Learn Upper School,,
req4,,40.0,"Come prepared to present two memorized monologues (1 minute each) taken from published, recognized playwrights. Characters chosen should be age-appropriate. Applicants may be asked to do an improvisation and a reading of material provided at the audition."
req4,,6.0,
program,School of the Future,,
req4,,18.0,"Each applicant will be required to act, sing and dance at this audition. Please prepare the following: Acting: Present a one-minute memorized monologue (comedic or dramatic) from a published play. Singing: Present 32 bars of a memorized Broadway song (age-appropriate) - an accompanist will be provided, so bring sheet music in the appropriate key. Dancing: Be prepared to learn a short theater dance combination - please wear clothing that allows for freedom of movement, as well as jazz shoes or sneakers."
req4,,20.0,Perform two contrasting monologues (one minute each). Perform an on-demand dramatic or movement activity (e.g. impromptu reading from provided script or improvisation). Wear attire that allows free movement.
req4,,,
program,Architecture and Design,,
program,Dance,1.0,"Participate in a Dance class. Prepare and perform a two-minute dance. Applicants are expected to bring dance clothes (leotards, footless tights and ballet shoes) and a CD with their music."
req4,,,
req4,,1133.0,
program,Urban Assembly Maker Academy,2.0,
req4,,,
req4,,41.0,
req4,,,
program,Mott Hall High School,,
req4,,,
req4,,,
program,Social Change and Community Service,36.0,
program,College Preparatory,,
req4,,,
program,Instrumental Music,1.0,"Perform a 2-3 minute instrumental piece of music. The style of music can be jazz, gospel, contemporary or classical. Applicants should bring their musical instrument to the audition and the sheet music needed for their performance."
program,"HERO High (Health, Education, and Research Occupations High School)",4.0,
program,Drama,54.0,"Prepare two contrasting monologues (one minute each), for example: dramatic/comedic, classical/contemporary, published/original, or theater/film. Choose characters close to your age or life experience, decide who your characters are talking to and why, and completely memorize both pieces."
program,The Bronxwood Preparatory Academy,,
req4,,,
program,Liberal Arts Academy,14.0,
program,W.E.B. Du Bois Writing Institute,,
req4,,236.0,Applicants should be prepared to perform two contrasting one-minute monologues. Applicants will be asked to do an impromptu reading and participate in an interview. Attire should allow free movement since applicants may be asked to demonstrate how well they move physically. 
req4,,178.0,"Applicants participate in both a ballet class and a modern dance class. Female applicants must wear a leotard, footless or convertible tights and ballet shoes. Males should wear a fitted t-shirt, black leggings, fitted black sweatpants or black tights, and ballet shoes. Applicants are evaluated for their potential to succeed in the specific training offered. "
req4,,100.0,
req4,,,
req4,,1.0,"Present a portfolio of 5-8 pieces of original artwork, including at least two sketches."
