app_gr09,dbn,apps_per_seat_gr9,prgdesc,req3,soc,math
,08X405,Priority to students who apply and live in the zoned area.,Academic Comprehensive Program,,,
350.0,08X282,3 per seat,,,,
437.0,02M282,4 per seat,,,,
302.0,08X405,5 per seat,"Courses of study comprised of Honors and AP courses with an emphasis on intensive research, technology application and ethical considerations; students will be offered the opportunity to select areas of concentration",,Scores 85-100,Scores 85-100
27.0,03M415,1 per seat,"Acting, Voice and Diction, Dramatic Literature.",,Review,Review
397.0,02M542,7 per seat,"This NAF academy uses a technology-based program involving the design, development, support and management of hardware, software and web design. Successful completion of program could lead to IC3 and Adobe Photoshop certifications. Students participate in internships, AP and credit-bearing college courses.",,Scores 75-100,Scores 75-100
1518.0,02M413,14 per seat,,,Scores 80-100,Scores 80-100
658.0,07X670,4 per seat,,,,
1326.0,03M417,12 per seat,,"Interview: Students selected for an interview will be notified after online submission of a writing sample. Interviews are typically held at 4:00 PM on Tuesday, Wednesday and Thursday afternoons in November and December 2015.",Scores 80-100,Scores 80-100
126.0,01M448,5 per seat,"University Neighborhood Early College (UNEC) is designed for students interested in pursuing a career in business. UNEC provides rigorous curriculum with individualized academic supports, enabling students to earn a High School diploma and up to 24 college credits through City University of New York (CUNY) Baruch College within 4 years.",,Scores 80-100,Scores 80-100
688.0,02M425,4 per seat,"Students complete a sequence of courses and activities in Law, Leadership and Public Policy; Syracuse University Summer College and Syracuse University Project Advance.",,,
413.0,08X432,5 per seat,,,,
5255.0,03M479,16 per seat,Beacon High School offers an inquiry-based college preparatory program.,,Scores 85-100,Scores 85-100
,02M425,New Program,"This is a four year program designed to develop our students' ability to compete in today's business market as professional, global, 21st century leaders. Our curriculum includes partnerships with Edelman, Zurich and NASDAQ that focus on competing in business programs, shadowing professionals and participating in workshops focused on professional skills development, all supported by courses focused on business, economics and entrepreneurship.",,,
264.0,06M423,4 per seat,,,,
3392.0,04M435,9 per seat,All students take a 4-year sequence in mathematics and science while attending Manhattan Center.,,Scores 80-100,Scores 85-100
237.0,06M540,3 per seat,"The Academy of the Humanities offers students the opportunity to explore the liberal arts as they prepare for entry to a competitive college or university. Students take courses such as Introduction to the Humanities, Multicultural Studies, The Language of Argument, Reading and Writing New York, Dystopian Novels, AP US History, AP English Composition and AP English Literature.",,Scores 75-100,Scores 75-100
1509.0,07X548,12 per seat,,,,
750.0,02M655,6 per seat,"Focus on the Health Sciences with internship, mentoring, and research opportunities with Mount Sinai School of Medicine.",,,
724.0,08X561,7 per seat,,,,
669.0,08X320,6 per seat,,,,
13.0,03M415,1 per seat,"Music Electives such as Violin, Band, Orchestra, and Woodwinds.",,Review,Review
578.0,04M680,7 per seat,Work in several arts media to express significant ideas.,,,
428.0,06M540,3 per seat,"The Academy of Medicine allows students to explore careers in the health professions. Students take courses such as Introduction to Health Careers, Anatomy and Physiology, Sports Medicine, and Science Research. Students may also apply to the prestigious Gateway to Medicine honors program through CCNY which offers exclusive college prep and internship experiences. Students in the Gateway program are also offered enrichment opportunities with the Sophie Davis School of Medicine within CCNY.",,Scores 75-100,Scores 75-100
233.0,02M630,8 per seat,"Studio-based curriculum includes pre-production, production and post-production skills. Through hands-on filmmaking, students learn film theory, film analysis, scriptwriting and editing in Final Cut-Pro and gain industry-based technical and theoretical knowledge. Students have access to state-of-the-art equipment, participate in contests and film festivals and meet visiting artists and professionals.",,,
,02M551,New Program,"Students choose from one of the following programs: Marine Systems Technology, Vessel Operations, or Professional SCUBA diving. Students may receive corresponding certifications for each program, such as Open Water Diver or US Power boating certification.",,,
4408.0,03M541,41 per seat,Early College program that accelerates students to complete college credits upon graduation.,,Scores 80-100,Scores 80-100
294.0,02M520,2 per seat,Well-rounded liberal arts curriculum and opportunity to move into one of the small learning communities in the tenth grade.,,,
1333.0,04M495,13 per seat,,,Scores 80-100,Scores 80-100
421.0,02M300,4 per seat,,,,
1776.0,02M393,14 per seat,,,,
995.0,07X527,9 per seat,,,,
549.0,02M529,4 per seat,"Analysis of business structures such as International Marketing, Computer Applications, Foreign Trade and Virtual Enterprise.",,,
375.0,02M374,6 per seat,"Includes drama, dance, technical theater, music and NYC internships in theaters",,,
399.0,02M580,5 per seat,Participation in a teaching program including elective courses and field experiences supporting careers in education. Internship is an off-site field experience; students leave the building to work directly with elementary school children and teachers.,,,
278.0,02M135,3 per seat,,,,
