y_coord_cd,vic_race,occur_time,loc_of_occur_desc,vic_sex
"180,903",BLACK,21:54:00,OUTSIDE,M
"230,361",BLACK,5:55:00,OUTSIDE,M
"259,277",WHITE HISPANIC,16:45:00,OUTSIDE,F
"224,999",WHITE HISPANIC,18:36:00,OUTSIDE,M
"185,468",BLACK,22:00:00,INSIDE,M
"235,311",WHITE HISPANIC,20:20:00,INSIDE,M
"237,815",BLACK,20:02:00,INSIDE,F
"159,159",BLACK,3:04:00,INSIDE,M
"174,823",BLACK,21:16:00,OUTSIDE,M
"247,600",BLACK,1:24:00,OUTSIDE,M
"259,277",WHITE HISPANIC,16:45:00,OUTSIDE,F
"247,053",BLACK HISPANIC,5:50:00,OUTSIDE,M
"186,592",WHITE HISPANIC,0:09:00,OUTSIDE,M
"238,243",BLACK,17:50:00,OUTSIDE,M
"258,672",WHITE HISPANIC,0:11:00,INSIDE,F
"247,053",BLACK HISPANIC,5:50:00,OUTSIDE,F
"243,764",BLACK HISPANIC,22:30:00,OUTSIDE,M
"242,251",BLACK,21:00:00,INSIDE,M
"225,239",WHITE HISPANIC,1:05:00,INSIDE,F
"182,849",BLACK,20:00:00,INSIDE,M
"177,629",BLACK,0:30:00,OUTSIDE,M
"231,145",BLACK,13:48:00,OUTSIDE,M
"235,509",BLACK,4:43:00,OUTSIDE,M
"190,300",BLACK,21:19:00,OUTSIDE,M
"221,806",WHITE,9:15:00,OUTSIDE,M
"250,650",BLACK,19:32:00,OUTSIDE,M
"252,134",WHITE HISPANIC,19:54:00,OUTSIDE,F
"253,200",BLACK HISPANIC,19:40:00,OUTSIDE,M
"233,399",WHITE HISPANIC,8:20:00,OUTSIDE,M
"157,489",BLACK,15:22:00,OUTSIDE,M
"182,218",BLACK,8:20:00,OUTSIDE,M
"173,870",BLACK,19:16:00,OUTSIDE,M
"231,108",BLACK,19:39:00,OUTSIDE,M
"225,239",WHITE HISPANIC,1:05:00,INSIDE,F
"238,043",BLACK,16:02:00,OUTSIDE,M
"148,779",BLACK,12:24:00,OUTSIDE,M
"179,658",BLACK,20:40:00,INSIDE,M
"239,589",BLACK,14:23:00,OUTSIDE,M
"195,779",BLACK,18:32:00,INSIDE,F
"248,763",BLACK,22:20:00,OUTSIDE,M
"217,647",BLACK,4:11:00,OUTSIDE,M
"238,251",BLACK,19:55:00,OUTSIDE,M
"202,787",WHITE,3:00:00,OUTSIDE,M
"231,108",BLACK,19:39:00,OUTSIDE,M
"262,287",BLACK,17:06:00,OUTSIDE,M
"187,964",WHITE HISPANIC,13:57:00,INSIDE,F
"195,779",ASIAN / PACIFIC ISLANDER,18:32:00,INSIDE,M
"260,875",WHITE,12:15:00,OUTSIDE,M
"157,428",BLACK,11:35:00,INSIDE,M
"247,321",BLACK HISPANIC,19:30:00,OUTSIDE,F
"247,053",BLACK HISPANIC,5:50:00,OUTSIDE,F
"216,989",BLACK,2:53:00,INSIDE,M
"190,300",BLACK,21:19:00,OUTSIDE,M
"240,835",BLACK HISPANIC,1:18:00,INSIDE,M
"239,678",BLACK,12:06:00,OUTSIDE,M
"178,259",BLACK,0:45:00,OUTSIDE,M
"262,412",BLACK,15:34:00,OUTSIDE,M
"266,309",BLACK,22:50:00,OUTSIDE,M
"248,504",BLACK HISPANIC,5:18:00,INSIDE,M
"237,559",BLACK HISPANIC,20:42:00,OUTSIDE,M
"244,931",BLACK,18:15:00,OUTSIDE,M
"183,992",BLACK,13:23:00,OUTSIDE,M
"258,835",WHITE HISPANIC,23:08:00,INSIDE,M
"184,924",BLACK HISPANIC,22:22:00,OUTSIDE,M
"239,890",WHITE HISPANIC,11:00:00,INSIDE,M
"262,584",BLACK,18:20:00,OUTSIDE,M
"182,933",ASIAN / PACIFIC ISLANDER,17:46:00,OUTSIDE,M
"214,448",ASIAN / PACIFIC ISLANDER,21:10:00,INSIDE,M
"197,539",BLACK HISPANIC,4:51:00,OUTSIDE,M
"183,890",BLACK,23:52:00,OUTSIDE,F
"185,054",BLACK,19:14:00,INSIDE,M
"247,053",BLACK HISPANIC,5:50:00,OUTSIDE,M
"178,950",BLACK,18:30:00,OUTSIDE,M
"183,677",BLACK,4:53:00,OUTSIDE,M
"259,277",BLACK,16:45:00,OUTSIDE,M
"239,909",BLACK,11:44:00,OUTSIDE,M
"229,814",BLACK,17:24:00,OUTSIDE,M
"239,218",BLACK,14:50:00,OUTSIDE,F
"239,218",BLACK,14:50:00,OUTSIDE,F
"181,288",BLACK HISPANIC,23:29:00,OUTSIDE,M
"238,579",BLACK,11:01:00,INSIDE,M
"148,779",BLACK,12:24:00,OUTSIDE,F
"242,864",BLACK,16:03:00,OUTSIDE,M
"228,925",BLACK,1:30:00,INSIDE,M
"247,779",BLACK HISPANIC,7:20:00,OUTSIDE,M
"238,243",BLACK,17:50:00,OUTSIDE,M
"262,482",BLACK,15:35:00,OUTSIDE,M
