incident_key,x_coord_cd,:@computed_region_f5dn_yrer,location_desc,:@computed_region_yeji_bk3q,perp_race
295891594,"1,035,532",25.0,(null),3.0,BLACK HISPANIC
296248356,"1,015,653",54.0,(null),3.0,BLACK
296014917,"1,000,134",47.0,(null),4.0,(null)
298607139,"987,578",12.0,MULTI DWELL - APT BUILD,4.0,BLACK
296645184,"1,006,032",50.0,(null),5.0,BLACK
295200061,"1,004,174",49.0,(null),5.0,BLACK
296383585,"999,347",7.0,(null),4.0,BLACK
296248355,"998,221",37.0,(null),4.0,BLACK
298515632,"1,017,782",24.0,HOSPITAL,5.0,(null)
296645185,"995,600",17.0,BAR/NIGHT CLUB,2.0,(null)
296574275,"1,029,338",29.0,(null),5.0,(null)
296246342,"1,052,907",51.0,HOSPITAL,3.0,(null)
297694906,"1,009,318",55.0,(null),2.0,BLACK
295586716,"1,004,559",50.0,(null),5.0,BLACK
297571889,"988,405",14.0,MULTI DWELL - PUBLIC HOUS,2.0,BLACK
297516719,"1,001,650",18.0,(null),4.0,(null)
296248354,"1,013,027",34.0,(null),5.0,(null)
297354010,"996,700",23.0,(null),4.0,BLACK
297623041,"1,052,764",63.0,PVT HOUSE,3.0,(null)
296266930,"1,008,608",49.0,(null),5.0,(null)
297623042,"983,437",56.0,(null),4.0,BLACK
295641945,"997,391",18.0,(null),4.0,BLACK
296383585,"999,347",7.0,(null),4.0,BLACK
296101418,"989,731",20.0,(null),4.0,WHITE HISPANIC
298569109,"1,001,807",32.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
295532789,"996,240",37.0,(null),4.0,(null)
298301433,"1,004,175",47.0,(null),4.0,WHITE HISPANIC
297015429,"1,052,809",51.0,BAR/NIGHT CLUB,3.0,(null)
295721938,"999,141",18.0,MULTI DWELL - APT BUILD,4.0,BLACK
298078464,"1,009,417",34.0,MULTI DWELL - APT BUILD,5.0,(null)
298079917,"1,026,304",22.0,MULTI DWELL - APT BUILD,3.0,WHITE HISPANIC
295721936,"1,011,153",8.0,MULTI DWELL - APT BUILD,5.0,(null)
295775770,"991,202",,(null),,(null)
298263882,"1,030,164",22.0,(null),3.0,(null)
295830021,"1,013,673",34.0,(null),5.0,(null)
296313800,"1,001,241",69.0,(null),2.0,(null)
296313801,"1,000,047",18.0,(null),4.0,BLACK
298566035,"1,006,789",49.0,(null),5.0,BLACK HISPANIC
296136726,"1,012,024",34.0,CHAIN STORE,5.0,(null)
295865250,"1,013,001",45.0,(null),2.0,(null)
297712292,"1,017,862",58.0,(null),5.0,WHITE HISPANIC
296455535,"1,013,362",45.0,(null),2.0,BLACK
296909032,"959,841",4.0,(null),1.0,(null)
298699604,"1,015,120",5.0,(null),2.0,BLACK
297034382,"999,496",,(null),,(null)
297694905,"993,758",36.0,MULTI DWELL - PUBLIC HOUS,2.0,BLACK
297922102,"995,727",69.0,MULTI DWELL - PUBLIC HOUS,2.0,(null)
