x_coord_cd,geocoded_column,perp_age_group,longitude
"1,011,153","{'type': 'Point', 'coordinates': [-73.902811, 40.812511]}",(null),-73.902811
"960,331","{'type': 'Point', 'coordinates': [-74.086154, 40.618172]}",18-24,-74.086154
"1,026,304","{'type': 'Point', 'coordinates': [-73.848139, 40.784806]}",25-44,-73.848139
"1,009,975","{'type': 'Point', 'coordinates': [-73.906973, 40.877081]}",<18,-73.906973
"995,600","{'type': 'Point', 'coordinates': [-73.959086, 40.667581]}",(null),-73.959086
"1,009,188","{'type': 'Point', 'coordinates': [-73.910122, 40.655853]}",<18,-73.910122
"998,916","{'type': 'Point', 'coordinates': [-73.94715, 40.646107]}",(null),-73.94715
"1,010,951","{'type': 'Point', 'coordinates': [-73.903476, 40.854867]}",(null),-73.903476
"1,021,316","{'type': 'Point', 'coordinates': [-73.865964, 40.878261]}",(null),-73.865964
"1,005,061","{'type': 'Point', 'coordinates': [-73.924783, 40.844754]}",(null),-73.924783
"1,015,120","{'type': 'Point', 'coordinates': [-73.888761, 40.643866]}",25-44,-73.888761
"1,007,040","{'type': 'Point', 'coordinates': [-73.917856, 40.659768]}",(null),-73.917856
"1,001,278","{'type': 'Point', 'coordinates': [-73.938612, 40.674592]}",(null),-73.938612
"1,004,175","{'type': 'Point', 'coordinates': [-73.927966, 40.861639]}",<18,-73.927966
"1,024,583","{'type': 'Point', 'coordinates': [-73.854129, 40.887035]}",45-64,-73.854129
"1,011,486","{'type': 'Point', 'coordinates': [-73.901662, 40.776453]}",(null),-73.901662
"988,948","{'type': 'Point', 'coordinates': [-73.983061, 40.681835]}",(null),-73.983061
"989,094","{'type': 'Point', 'coordinates': [-73.982524, 40.723279]}",18-24,-73.982524
"993,634","{'type': 'Point', 'coordinates': [-73.966108, 40.792261]}",(null),-73.966108
"1,006,968","{'type': 'Point', 'coordinates': [-73.917882, 40.848733]}",25-44,-73.917882
"1,005,905","{'type': 'Point', 'coordinates': [-73.921727, 40.849448]}",25-44,-73.921727
"1,012,227","{'type': 'Point', 'coordinates': [-73.898915, 40.822476]}",(null),-73.898915
"998,221","{'type': 'Point', 'coordinates': [-73.949519, 40.82516]}",45-64,-73.949519
"995,727","{'type': 'Point', 'coordinates': [-73.958614, 40.689041]}",(null),-73.958614
"1,011,486","{'type': 'Point', 'coordinates': [-73.901662, 40.776453]}",(null),-73.901662
"988,405","{'type': 'Point', 'coordinates': [-73.985016, 40.682595]}",25-44,-73.985016
"984,503","{'type': 'Point', 'coordinates': [-73.999086, 40.575042]}",18-24,-73.999086
"1,006,789","{'type': 'Point', 'coordinates': [-73.918569, 40.818691]}",18-24,-73.918569
"1,009,487","{'type': 'Point', 'coordinates': [-73.908827, 40.813928]}",<18,-73.908827
"1,001,577","{'type': 'Point', 'coordinates': [-73.937407, 40.807287]}",18-24,-73.937407
"1,023,283","{'type': 'Point', 'coordinates': [-73.858817, 40.893855]}",25-44,-73.858817
"991,202",,(null),
"1,009,417","{'type': 'Point', 'coordinates': [-73.909065, 40.825581]}",(null),-73.909065
"1,014,300","{'type': 'Point', 'coordinates': [-73.89167, 40.672515]}",(null),-73.89167
"1,015,653","{'type': 'Point', 'coordinates': [-73.886743, 40.701455]}",25-44,-73.886743
"987,578","{'type': 'Point', 'coordinates': [-73.987986, 40.762269]}",18-24,-73.987986
"999,496",,(null),
"996,614","{'type': 'Point', 'coordinates': [-73.955477, 40.598939]}",<18,-73.955477
"1,013,673","{'type': 'Point', 'coordinates': [-73.893671, 40.835351]}",(null),-73.893671
"1,001,650","{'type': 'Point', 'coordinates': [-73.937128, 40.826982]}",(null),-73.937128
"1,009,550","{'type': 'Point', 'coordinates': [-73.908512, 40.876635]}",25-44,-73.908512
"1,006,844","{'type': 'Point', 'coordinates': [-73.918387, 40.805523]}",18-24,-73.918387
"1,040,022","{'type': 'Point', 'coordinates': [-73.798848, 40.703871]}",45-64,-73.798848
"1,026,854","{'type': 'Point', 'coordinates': [-73.845917, 40.886489]}",(null),-73.845917
"1,004,175","{'type': 'Point', 'coordinates': [-73.927966, 40.861639]}",18-24,-73.927966
"1,008,608","{'type': 'Point', 'coordinates': [-73.911992, 40.82176]}",(null),-73.911992
"995,267","{'type': 'Point', 'coordinates': [-73.960283, 40.669258]}",18-24,-73.960283
"1,006,025","{'type': 'Point', 'coordinates': [-73.921496, 40.675719]}",(null),-73.921496
"998,424","{'type': 'Point', 'coordinates': [-73.948794, 40.810878]}",(null),-73.948794
"996,240","{'type': 'Point', 'coordinates': [-73.956684, 40.81386]}",(null),-73.956684
"1,017,782","{'type': 'Point', 'coordinates': [-73.87874, 40.880337]}",(null),-73.87874
"1,001,807","{'type': 'Point', 'coordinates': [-73.93678, 40.596395]}",(null),-73.93678
"984,503","{'type': 'Point', 'coordinates': [-73.999086, 40.575042]}",18-24,-73.999086
"1,005,061","{'type': 'Point', 'coordinates': [-73.924783, 40.844754]}",(null),-73.924783
"1,009,318","{'type': 'Point', 'coordinates': [-73.90965, 40.655923]}",25-44,-73.90965
"1,039,179","{'type': 'Point', 'coordinates': [-73.801895, 40.70197]}",<18,-73.801895
"1,017,036",,45-64,
"1,009,652","{'type': 'Point', 'coordinates': [-73.908427, 40.670029]}",(null),-73.908427
"1,016,871","{'type': 'Point', 'coordinates': [-73.882097, 40.845373]}",(null),-73.882097
"999,141","{'type': 'Point', 'coordinates': [-73.946215, 40.801004]}",18-24,-73.946215
"1,012,130","{'type': 'Point', 'coordinates': [-73.899212, 40.85868]}",(null),-73.899212
"1,030,164","{'type': 'Point', 'coordinates': [-73.834275, 40.755178]}",(null),-73.834275
"1,010,691","{'type': 'Point', 'coordinates': [-73.904692, 40.663175]}",(null),-73.904692
"1,005,905","{'type': 'Point', 'coordinates': [-73.921727, 40.849448]}",25-44,-73.921727
"1,012,201","{'type': 'Point', 'coordinates': [-73.899003, 40.827795]}",18-24,-73.899003
"1,008,223","{'type': 'Point', 'coordinates': [-73.913384, 40.821488]}",45-64,-73.913384
"1,007,941","{'type': 'Point', 'coordinates': [-73.91461, 40.66012]}",(null),-73.91461
"1,006,432","{'type': 'Point', 'coordinates': [-73.919931, 40.757826]}",18-24,-73.919931
"1,024,643","{'type': 'Point', 'coordinates': [-73.85389, 40.897539]}",18-24,-73.85389
"1,051,905","{'type': 'Point', 'coordinates': [-73.756011, 40.698528]}",25-44,-73.756011
"1,007,955","{'type': 'Point', 'coordinates': [-73.914367, 40.808889]}",25-44,-73.914367
"1,026,304","{'type': 'Point', 'coordinates': [-73.848139, 40.784806]}",25-44,-73.848139
"1,000,047","{'type': 'Point', 'coordinates': [-73.942923, 40.82326]}",<18,-73.942923
"998,811","{'type': 'Point', 'coordinates': [-73.947398, 40.807698]}",<18,-73.947398
"997,391","{'type': 'Point', 'coordinates': [-73.952532, 40.801108]}",<18,-73.952532
"989,094","{'type': 'Point', 'coordinates': [-73.982524, 40.723279]}",18-24,-73.982524
"989,731","{'type': 'Point', 'coordinates': [-73.980211, 40.775481]}",25-44,-73.980211
"1,023,909","{'type': 'Point', 'coordinates': [-73.85679, 40.784151]}",(null),-73.85679
"1,002,134","{'type': 'Point', 'coordinates': [-73.935409, 40.796006]}",(null),-73.935409
"1,042,850","{'type': 'Point', 'coordinates': [-73.788718, 40.681071]}",<18,-73.788718
"999,602","{'type': 'Point', 'coordinates': [-73.944552, 40.798959]}",25-44,-73.944552
"1,057,365","{'type': 'Point', 'coordinates': [-73.736446, 40.666521]}",<18,-73.736446
"1,006,025","{'type': 'Point', 'coordinates': [-73.921496, 40.675719]}",(null),-73.921496
"985,110","{'type': 'Point', 'coordinates': [-73.996893, 40.760224]}",(null),-73.996893
"1,024,906","{'type': 'Point', 'coordinates': [-73.853109, 40.820506]}",<18,-73.853109
"1,009,557","{'type': 'Point', 'coordinates': [-73.908558, 40.824405]}",18-24,-73.908558
"983,437","{'type': 'Point', 'coordinates': [-74.00293, 40.72014]}",25-44,-74.00293
"1,023,819","{'type': 'Point', 'coordinates': [-73.857115, 40.783797]}",(null),-73.857115
"1,035,389","{'type': 'Point', 'coordinates': [-73.815655, 40.668647]}",25-44,-73.815655
"1,002,251","{'type': 'Point', 'coordinates': [-73.935107, 40.67081]}",(null),-73.935107
"1,026,304","{'type': 'Point', 'coordinates': [-73.848139, 40.784806]}",25-44,-73.848139
"1,001,241","{'type': 'Point', 'coordinates': [-73.938732, 40.686458]}",(null),-73.938732
"1,010,546","{'type': 'Point', 'coordinates': [-73.904933, 40.86275]}",25-44,-73.904933
"1,010,407","{'type': 'Point', 'coordinates': [-73.905501, 40.814997]}",<18,-73.905501
"996,700","{'type': 'Point', 'coordinates': [-73.955056, 40.76406]}",18-24,-73.955056
"1,008,750","{'type': 'Point', 'coordinates': [-73.911662, 40.683342]}",<18,-73.911662
"1,024,906","{'type': 'Point', 'coordinates': [-73.853109, 40.820506]}",18-24,-73.853109
"1,004,174","{'type': 'Point', 'coordinates': [-73.928028, 40.807943]}",18-24,-73.928028
"999,347","{'type': 'Point', 'coordinates': [-73.945466, 40.804825]}",<18,-73.945466
"1,022,218","{'type': 'Point', 'coordinates': [-73.862682, 40.886853]}",25-44,-73.862682
"1,004,175","{'type': 'Point', 'coordinates': [-73.927966, 40.861639]}",<18,-73.927966
"1,010,862","{'type': 'Point', 'coordinates': [-73.904087, 40.656911]}",25-44,-73.904087
"1,030,360","{'type': 'Point', 'coordinates': [-73.833248, 40.883057]}",25-44,-73.833248
"1,016,312","{'type': 'Point', 'coordinates': [-73.884272, 40.754744]}",45-64,-73.884272
"990,761","{'type': 'Point', 'coordinates': [-73.976517, 40.694373]}",(null),-73.976517
"1,052,809","{'type': 'Point', 'coordinates': [-73.753103, 40.603267]}",(null),-73.753103
