geocoded_column,occur_date,vic_age_group,:@computed_region_92fq_4b7q,loc_classfctn_desc,precinct
"{'type': 'Point', 'coordinates': [-73.940703, 40.819408]}",2024-11-27T00:00:00.000,<18,36.0,HOUSING,32
"{'type': 'Point', 'coordinates': [-73.940319, 40.791414]}",2024-12-23T00:00:00.000,25-44,35.0,STREET,23
"{'type': 'Point', 'coordinates': [-73.982524, 40.723279]}",2024-11-24T00:00:00.000,18-24,50.0,STREET,9
"{'type': 'Point', 'coordinates': [-73.996893, 40.760224]}",2024-12-09T00:00:00.000,25-44,10.0,COMMERCIAL,10
"{'type': 'Point', 'coordinates': [-73.87874, 40.880337]}",2024-12-26T00:00:00.000,18-24,40.0,OTHER,52
"{'type': 'Point', 'coordinates': [-73.798848, 40.703871]}",2024-11-19T00:00:00.000,25-44,24.0,OTHER,103
,2024-11-23T00:00:00.000,25-44,,STREET,75
"{'type': 'Point', 'coordinates': [-73.892652, 40.818297]}",2024-11-20T00:00:00.000,45-64,43.0,STREET,41
,2024-12-29T00:00:00.000,<18,,STREET,43
,2024-10-31T00:00:00.000,<18,,STREET,20
"{'type': 'Point', 'coordinates': [-73.815655, 40.668647]}",2024-12-24T00:00:00.000,18-24,46.0,STREET,106
"{'type': 'Point', 'coordinates': [-73.938732, 40.686458]}",2024-11-11T00:00:00.000,45-64,49.0,STREET,81
"{'type': 'Point', 'coordinates': [-73.978912, 40.695814]}",2024-10-25T00:00:00.000,25-44,48.0,HOUSING,88
"{'type': 'Point', 'coordinates': [-73.895047, 40.674617]}",2024-11-13T00:00:00.000,25-44,37.0,STREET,75
"{'type': 'Point', 'coordinates': [-73.899212, 40.85868]}",2024-11-22T00:00:00.000,25-44,22.0,STREET,46
"{'type': 'Point', 'coordinates': [-73.942923, 40.82326]}",2024-11-11T00:00:00.000,<18,36.0,STREET,30
"{'type': 'Point', 'coordinates': [-73.853109, 40.820506]}",2024-12-15T00:00:00.000,25-44,31.0,STREET,43
"{'type': 'Point', 'coordinates': [-73.814999, 40.719483]}",2024-11-03T00:00:00.000,25-44,24.0,STREET,107
"{'type': 'Point', 'coordinates': [-73.927966, 40.861639]}",2024-12-20T00:00:00.000,<18,39.0,STREET,34
"{'type': 'Point', 'coordinates': [-73.906973, 40.877081]}",2024-12-17T00:00:00.000,<18,40.0,HOUSING,50
"{'type': 'Point', 'coordinates': [-73.848139, 40.784806]}",2024-12-16T00:00:00.000,25-44,20.0,DWELLING,109
"{'type': 'Point', 'coordinates': [-73.942597, 40.837178]}",2024-11-06T00:00:00.000,25-44,23.0,STREET,33
"{'type': 'Point', 'coordinates': [-73.918903, 40.827694]}",2024-12-25T00:00:00.000,25-44,42.0,DWELLING,44
"{'type': 'Point', 'coordinates': [-73.90374, 40.847327]}",2024-10-31T00:00:00.000,45-64,22.0,STREET,46
"{'type': 'Point', 'coordinates': [-73.89167, 40.672515]}",2024-11-05T00:00:00.000,18-24,37.0,HOUSING,75
"{'type': 'Point', 'coordinates': [-73.962029, 40.669416]}",2024-12-04T00:00:00.000,<18,48.0,STREET,71
"{'type': 'Point', 'coordinates': [-73.798848, 40.703871]}",2024-11-19T00:00:00.000,25-44,24.0,OTHER,103
"{'type': 'Point', 'coordinates': [-73.85389, 40.897539]}",2024-11-04T00:00:00.000,18-24,40.0,STREET,47
"{'type': 'Point', 'coordinates': [-74.00293, 40.72014]}",2024-12-06T00:00:00.000,18-24,32.0,STREET,1
"{'type': 'Point', 'coordinates': [-73.753024, 40.66829]}",2024-12-06T00:00:00.000,<18,47.0,DWELLING,105
"{'type': 'Point', 'coordinates': [-73.754419, 40.604979]}",2024-10-25T00:00:00.000,25-44,47.0,STREET,101
"{'type': 'Point', 'coordinates': [-73.936468, 40.654211]}",2024-12-01T00:00:00.000,25-44,17.0,STREET,67
"{'type': 'Point', 'coordinates': [-73.927966, 40.861639]}",2024-12-20T00:00:00.000,<18,39.0,STREET,34
"{'type': 'Point', 'coordinates': [-73.756011, 40.698528]}",2024-11-26T00:00:00.000,25-44,6.0,DWELLING,113
"{'type': 'Point', 'coordinates': [-73.888761, 40.643866]}",2024-12-31T00:00:00.000,18-24,8.0,STREET,69
"{'type': 'Point', 'coordinates': [-73.911662, 40.683342]}",2024-11-22T00:00:00.000,<18,37.0,STREET,73
"{'type': 'Point', 'coordinates': [-73.946215, 40.801004]}",2024-10-30T00:00:00.000,25-44,36.0,DWELLING,28
"{'type': 'Point', 'coordinates': [-73.880343, 40.674189]}",2024-10-24T00:00:00.000,25-44,37.0,STREET,75
"{'type': 'Point', 'coordinates': [-73.937128, 40.826982]}",2024-12-04T00:00:00.000,<18,36.0,STREET,32
"{'type': 'Point', 'coordinates': [-73.899636, 40.831555]}",2024-11-07T00:00:00.000,25-44,42.0,STREET,42
"{'type': 'Point', 'coordinates': [-73.902811, 40.812511]}",2024-10-30T00:00:00.000,45-64,43.0,DWELLING,41
"{'type': 'Point', 'coordinates': [-73.960331, 40.646521]}",2024-11-01T00:00:00.000,18-24,11.0,STREET,70
"{'type': 'Point', 'coordinates': [-73.901662, 40.776453]}",2024-12-01T00:00:00.000,25-44,4.0,STREET,114
"{'type': 'Point', 'coordinates': [-73.942599, 40.708862]}",2024-11-04T00:00:00.000,45-64,30.0,STREET,90
"{'type': 'Point', 'coordinates': [-73.985016, 40.682595]}",2024-12-05T00:00:00.000,25-44,38.0,HOUSING,78
"{'type': 'Point', 'coordinates': [-73.848139, 40.784806]}",2024-12-16T00:00:00.000,45-64,20.0,DWELLING,109
"{'type': 'Point', 'coordinates': [-73.949519, 40.82516]}",2024-11-09T00:00:00.000,45-64,23.0,STREET,30
"{'type': 'Point', 'coordinates': [-73.999086, 40.575042]}",2024-11-14T00:00:00.000,18-24,45.0,STREET,60
"{'type': 'Point', 'coordinates': [-73.924783, 40.844754]}",2024-11-24T00:00:00.000,18-24,42.0,STREET,44
"{'type': 'Point', 'coordinates': [-73.937407, 40.807287]}",2024-11-27T00:00:00.000,25-44,36.0,STREET,25
"{'type': 'Point', 'coordinates': [-73.926624, 40.820025]}",2024-10-28T00:00:00.000,<18,43.0,STREET,44
"{'type': 'Point', 'coordinates': [-73.877396, 40.825055]}",2024-10-30T00:00:00.000,25-44,31.0,OTHER,43
"{'type': 'Point', 'coordinates': [-73.862682, 40.886853]}",2024-12-05T00:00:00.000,25-44,2.0,STREET,47
"{'type': 'Point', 'coordinates': [-73.895999, 40.839368]}",2024-11-09T00:00:00.000,25-44,43.0,STREET,42
"{'type': 'Point', 'coordinates': [-73.865964, 40.878261]}",2024-12-30T00:00:00.000,<18,2.0,STREET,47
"{'type': 'Point', 'coordinates': [-73.94715, 40.646107]}",2024-12-09T00:00:00.000,25-44,26.0,STREET,67
"{'type': 'Point', 'coordinates': [-73.874428, 40.671626]}",2024-10-31T00:00:00.000,18-24,25.0,HOUSING,75
"{'type': 'Point', 'coordinates': [-73.901662, 40.776453]}",2024-12-01T00:00:00.000,18-24,4.0,STREET,114
"{'type': 'Point', 'coordinates': [-73.921727, 40.849448]}",2024-11-13T00:00:00.000,18-24,42.0,STREET,46
"{'type': 'Point', 'coordinates': [-73.93678, 40.596395]}",2024-12-27T00:00:00.000,18-24,8.0,HOUSING,61
"{'type': 'Point', 'coordinates': [-73.946702, 40.79745]}",2024-12-29T00:00:00.000,25-44,36.0,STREET,23
