cd_02,cd_03,cd_16,cd_51,cd_37,cd_44,hispanic,cd_32,cd_08,cd_06,cd_38,cd_41
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,*,0,0,0,0,*,0,*,0,0,0
14,17,68,12,34,*,563,12,61,*,*,70
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,11,*,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,*
*,*,0,0,0,0,*,0,0,0,*,0
*,0,0,0,*,0,19,*,*,0,0,*
39,21,81,18,61,43,906,37,77,17,40,69
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,*,*,0,0,0,0,0
*,*,*,0,*,*,19,0,*,*,0,0
0,0,0,0,0,0,*,0,*,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,*,0,*,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,*,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
11,*,45,*,35,33,500,16,36,*,19,26
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,*,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,*,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,*,*,*,*,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0
*,*,46,*,17,*,341,*,39,10,*,30
*,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,*,0,*,0,0,0,0,0
*,0,*,0,0,0,*,0,0,0,*,0
0,0,*,0,*,*,*,*,*,0,0,*
0,*,*,*,0,*,17,*,*,0,*,*
0,0,0,0,0,0,*,0,0,*,0,0
*,*,35,*,24,15,392,15,21,*,*,22
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
25,18,89,26,53,35,919,31,94,14,46,84
0,*,*,0,*,0,25,0,0,0,0,0
0,0,*,0,*,0,44,0,*,*,*,0
*,10,23,10,20,17,291,*,40,*,16,22
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,*,0,0,0,0,0
0,*,*,0,*,0,42,*,*,*,0,*
0,0,0,0,*,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,0,*,0,0
0,0,*,0,0,0,*,0,*,0,0,*
0,0,0,0,0,0,*,0,0,0,0,0
0,*,*,*,10,*,83,*,*,0,*,*
*,*,12,*,15,*,123,*,16,*,*,15
*,0,*,*,*,*,58,0,11,*,*,*
0,0,0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,*,0,0,0,*,0,0,0,0,0
0,0,0,0,*,*,*,0,0,0,*,0
*,0,*,0,*,*,13,0,0,0,*,*
0,0,0,0,0,0,0,0,0,0,0,0
*,0,*,0,0,0,*,0,0,0,0,0
*,*,*,0,*,0,12,*,*,0,0,*
19,*,110,11,43,16,766,27,79,*,29,89
*,0,*,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,*,0,*,0,0,0,0,0
*,11,70,*,20,21,408,*,41,*,13,30
0,0,*,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,*,*,0,*,34,0,*,0,0,*
*,*,20,*,14,12,169,*,20,0,10,12
*,*,*,*,*,*,52,*,*,*,*,*
0,*,0,0,0,0,*,0,0,0,0,0
*,*,*,0,*,0,62,*,*,0,*,*
0,0,0,0,0,0,*,0,0,0,0,0
0,0,*,0,0,0,12,0,*,0,0,*
0,0,0,0,*,0,0,0,*,0,0,0
0,*,0,0,*,0,*,*,*,0,0,0
0,0,0,0,0,0,*,0,*,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
*,*,*,*,0,*,11,0,*,*,*,0
0,0,0,0,0,0,*,0,*,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,*,0,*,0,18,0,*,0,0,*
0,0,*,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,*,*,*,*,29,0,*,0,*,*
0,*,0,0,*,0,*,*,0,0,0,*
0,0,0,0,0,0,0,0,*,0,0,0
0,0,0,*,0,0,*,0,*,0,0,*
0,*,*,*,0,*,12,0,*,0,*,*
73,52,298,26,120,49,2318,69,267,42,76,212
0,0,0,0,*,0,*,0,0,0,*,0
0,0,0,0,0,0,*,0,*,0,0,0
0,*,0,0,0,0,*,0,0,0,0,0
0,*,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
*,*,20,*,*,13,149,*,11,0,*,11
*,10,73,*,50,40,610,24,39,*,29,35
0,0,0,0,0,0,*,0,0,0,0,0
0,*,0,0,*,0,10,0,*,0,0,*
0,0,0,0,0,0,*,0,0,0,0,0
66,59,288,57,211,146,2881,116,247,45,125,197
0,0,0,0,0,0,*,0,*,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
*,0,*,0,0,0,*,0,*,0,0,0
0,0,*,*,*,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,*,0,0,0,*,0,0,0,0,0
*,*,12,*,*,*,138,*,*,*,*,11
0,0,0,0,0,0,*,0,*,0,0,0
36,22,99,*,35,22,792,24,97,19,20,59
0,0,0,*,0,0,*,0,0,0,0,0
0,0,*,0,0,0,*,0,0,0,0,0
0,*,*,*,*,*,41,*,*,0,*,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,*,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
79,87,303,35,134,52,2430,51,269,44,64,206
*,0,*,0,*,0,10,0,*,0,0,*
*,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,*,0,*,0,*,0,*,0,0,0
*,*,22,*,*,*,93,*,11,*,*,*
0,0,0,0,0,0,0,0,0,0,0,0
0,*,*,*,*,0,17,0,*,*,0,0
*,*,36,*,23,*,320,15,29,*,14,22
*,*,22,*,13,0,190,*,20,*,*,19
0,0,0,0,0,0,*,0,*,0,0,0
0,0,*,0,0,0,*,*,*,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
*,*,*,*,*,*,49,*,*,*,*,*
*,0,*,0,0,0,30,0,*,*,0,*
0,0,0,*,0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0
74,46,304,67,195,126,3170,109,262,35,119,213
0,*,0,0,0,0,15,*,*,0,0,*
*,0,*,0,*,0,24,0,*,0,0,*
0,0,0,0,0,0,0,0,0,0,0,*
*,*,13,*,*,*,98,*,10,0,*,10
0,0,0,*,0,0,*,*,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
*,*,19,*,19,10,186,*,14,*,*,12
*,0,0,0,*,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,*,0,0,0,*,0,0,0,0,0
0,0,0,0,0,*,*,0,0,0,0,0
*,*,*,0,*,0,82,*,13,*,*,*
0,0,0,0,0,0,0,0,0,0,0,0
*,*,11,*,*,*,74,*,*,*,*,*
*,0,12,0,*,0,61,*,*,*,0,*
0,0,0,0,0,0,*,0,*,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
*,*,21,*,20,*,247,15,22,*,*,19
0,0,*,0,*,0,*,0,*,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
*,0,*,0,0,0,*,0,*,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,*,*,*,0,25,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0
17,*,60,14,30,11,656,20,49,*,23,32
*,*,*,0,0,0,*,0,*,0,*,*
0,0,0,0,0,0,*,0,0,0,0,*
0,0,*,0,*,*,23,0,*,*,0,*
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
34,32,79,*,24,17,761,14,85,14,21,51
0,0,0,0,0,0,*,0,0,0,0,0
0,0,*,0,0,0,*,0,0,0,0,0
0,*,0,0,0,0,*,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0,0,0
*,*,10,*,*,*,113,*,11,*,*,11
*,0,0,0,*,*,14,0,0,0,*,0
0,*,*,0,*,*,36,*,*,*,*,*
0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,*,0,0,0,0,0
0,*,*,0,0,0,*,0,0,0,*,0
