cd_47,nys_wms_closing_code,_65,asian,cd_20,cd_22,cd_33,_18_24,cd_49,female,cd_36,cd_30
0,E38-Excess Income - Lump Sum,0,0,0,0,0,0,0,*,0,0
0,E61-Not a Resident of District,*,0,0,0,0,0,0,*,0,0
0,E61-Not a Resident of District,*,*,0,*,0,0,0,*,0,0
11,G69 - Failure to Complete Recert Interview,71,64,*,12,11,146,32,953,32,10
0,G96 - Client Request - CA Only - Verbal-MA & SNAP Separate Determination,*,*,0,0,0,*,0,*,0,0
0,G23-Failure to Cooperate with BEV: Residence,0,0,0,0,0,0,0,0,0,0
0,M13-Duplicate Assistance Active Cash Assistance Case in Other State,0,0,0,0,0,0,0,0,0,0
0,G92-Client Request-CA Only-Written,0,0,0,0,0,0,0,0,0,0
0,E95-Died,*,0,0,0,0,0,0,*,0,0
0,V25-Failure to Provide Verification of Filing Unit,0,0,0,0,0,0,0,*,0,0
0,F90-Ineligible Student,0,*,0,0,0,20,0,21,0,0
0,Y93-Case number change.,0,0,0,0,0,0,0,0,0,0
0,"N67-Duplicate Assistance, PARIS Match (System Generated) (Timely)",0,0,0,0,0,*,*,13,0,0
0,"939-PA, MA, FS - In Prison (HH=1)",0,*,0,0,0,*,*,*,0,0
51,Y10-Failure to Recertify,1118,301,51,21,27,85,53,1430,49,24
0,E73-In Foster Care,*,0,0,0,0,0,0,0,0,0
0,E72-Institutionalized,*,0,*,0,0,0,0,0,0,0
0,E66-Not a resident of state,*,*,*,0,0,*,*,*,0,0
*,E72-Institutionalized,40,*,0,0,0,0,*,33,*,0
0,N14-Filing Unit Member Failed to Apply,0,*,0,0,0,*,0,*,0,0
0,Y86 - BEV Closing - Manual Notice Required (MA/SNAP Sep Det),0,0,0,0,0,0,0,*,0,0
0,N17-Failure to Complete Eligibility Process,0,0,0,0,0,0,0,*,0,0
0,E32-Excess Income-Increased Support Collection-MA Extension,0,0,0,0,0,0,0,*,0,0
0,G92-Client Request-CA Only-Written,0,0,0,0,0,0,0,*,0,0
0,E91-Refusal to Cooperate During the Recertification Process,0,0,0,0,0,0,0,*,0,0
18,E50-Failed to Return 6 Month Periodic Report,89,133,17,13,25,71,31,829,25,11
0,EZ2-Failure to Appeal an SSI Denial,*,0,0,0,0,0,0,0,0,0
0,G10-Failure to Recertify - On DATE,0,0,0,0,0,0,0,*,0,0
0,N41-Voluntary Quit/HH=1/ 1st occurrence,0,0,0,0,0,0,0,0,0,0
0,E95-Died,*,0,0,0,0,0,0,*,0,0
0,Y98-Other,0,0,0,0,0,0,*,*,0,0
*,Y66-Overdue Recertification,10,*,0,*,0,*,0,19,*,0
*,G61-Not a Resident of District,0,*,0,0,0,0,0,*,*,0
18,G37-Failure To Complete TA 6 Month Mail-In Recert,*,21,*,*,*,116,10,638,17,*
0,E73-In Foster Care,0,0,0,0,0,*,0,*,0,0
0,F92-Ineligible Alien,*,0,0,0,0,0,0,*,0,0
*,M26-Failure to Provide Verification of Wage Match at Recertification(Adequate),*,*,0,0,0,0,0,*,0,0
0,F81-Refused Photo ID,0,0,0,0,0,0,0,0,0,0
0,G53-Failure to Return 6 Month Periodic Report - Proof,0,*,0,0,0,0,0,*,*,0
*,M98 - Duplicate Assistance - Non AFIS in NYS,*,*,0,0,0,*,0,*,0,0
0,Y99-Other,0,0,0,0,0,*,0,*,*,0
0,E39-Excess Income - COLA,*,*,0,0,0,*,0,18,0,*
*,Y99-Other,*,*,0,*,0,*,*,41,*,*
0,G89-Client Request-CA & MA-Written,0,0,0,0,0,0,0,*,0,0
15,E30-Excess Earned income,36,66,*,*,*,45,12,739,21,17
0,E36 - Excess Income - Increased Support Collection - No MA Extension,0,0,0,0,0,0,0,*,0,0
0,"E29-Failure to Provide Verification, Alien Sponsor",*,0,0,0,0,0,0,*,0,0
61,Y10-Failure to Recertify,921,260,36,26,28,102,50,1458,54,11
*,E63-Not a Resident of State,27,*,*,0,0,*,*,31,*,0
*,F11-Failure to Access Benefits,25,19,*,*,0,22,*,92,*,*
24,EZ6-Fail to Return NYSCAP 18-Month Interim Report (Timely),582,70,10,*,*,*,13,505,16,*
0,E19-Failed to keep BFI Appointment,0,0,0,0,0,0,0,0,0,0
0,E77-Living with Parent,0,0,0,0,0,*,0,*,*,0
*,"N67-Duplicate Assistance, PARIS Match (System Generated) (Timely)",36,*,*,0,0,*,*,61,*,*
0,"G98-Client Request-CA, SNAP & MA-Verbal",0,0,0,0,0,0,0,*,0,0
0,Y99-Other,0,0,0,0,*,0,*,*,0,0
*,Y66-Overdue Recertification,*,*,0,0,0,0,*,*,0,0
0,G25-Failure to Cooperate with BEV-Dependent Child,0,0,0,0,0,0,0,*,0,0
*,M20-Failure to Provide Information during CertificationPeriod,19,14,*,*,*,10,*,146,*,*
*,V20-Failure to Provide Verification,15,16,*,*,*,23,13,259,10,0
*,E31-Excess Income-Increased Earnings,0,*,0,0,*,15,*,122,*,*
0,G68-Zero Budget Deficit due to removal of active individual,0,0,0,0,0,0,0,*,0,0
0,"M91-Client Request, Phone",*,0,0,0,0,0,0,*,0,0
0,G89-Client Request-CA & MA-Written,*,0,0,0,0,0,0,0,0,0
*,E32-Excess Income-Increased Support Collection-MA Extension,0,0,0,0,0,0,0,*,0,0
0,"M91-Client Request, Phone",*,*,*,0,0,0,0,*,0,0
*,M25-Failure to respond to a Computer Match Call-In,24,*,0,0,0,*,0,24,0,0
0,F92-Ineligible Alien,0,*,0,*,0,0,0,0,0,0
0,M26-Failure to Provide Verification of Wage Match at Recertification(Adequate),*,*,0,0,0,0,0,*,0,0
*,968-FS - Forced Closing,10,*,*,*,0,0,0,29,0,0
36,G69 - Failure to Complete Recert Interview,149,119,15,*,11,201,58,1377,43,24
