cd_28,cd_35,cd_12,cd_34,cd_43,unknown_cd,cd_39,cd_48,cd_29,cd_31,unknown_race,cd_19,_45_64
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,*,*,0,0,0,0,0,0,0,0,*
0,0,*,0,0,*,0,0,0,0,0,*,*
26,25,35,21,*,343,11,19,12,30,*,*,342
0,0,0,0,*,0,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,*,0,0,0,0,0,0,0,0,0
*,*,0,0,0,11,0,0,*,*,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,*,0,0,*,0,0,0,0,0,0,*
0,0,*,0,0,27,0,*,*,*,0,0,18
51,43,56,34,58,366,20,37,21,53,*,24,718
0,0,0,0,0,*,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,*,0,0,*,0,0,0,0,0,0,*
0,*,0,*,*,*,*,*,*,0,0,0,*
*,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,*,0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,*
15,17,25,28,23,105,*,15,*,19,0,*,382
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0,0,0,0,0,*
0,*,0,0,0,0,0,0,0,0,0,*,0
0,0,0,*,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,*
*,0,0,0,*,*,*,0,0,*,0,*,*
*,0,0,0,0,*,0,0,*,0,0,0,0
11,14,22,*,*,198,*,*,*,30,*,*,155
0,0,0,0,0,0,0,0,0,0,0,0,0
0,*,0,0,0,0,0,*,0,0,0,0,*
0,*,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*,0,0,*
0,*,0,0,0,*,0,0,0,0,0,0,*
*,0,0,0,*,*,0,0,0,0,0,*,16
*,0,*,*,0,*,0,0,*,*,0,0,23
0,*,0,0,0,0,0,0,0,0,0,0,*
18,19,24,16,10,105,*,10,15,27,0,*,333
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0,0,0,0,0,0
51,46,51,43,54,410,15,45,25,54,*,20,786
0,0,*,0,0,11,*,0,*,*,0,0,*
*,*,*,0,*,59,*,*,*,*,*,*,41
15,17,10,16,18,58,*,38,10,13,*,*,177
0,0,0,0,0,*,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
*,*,*,*,0,20,0,*,*,*,0,*,31
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,*
*,*,0,*,*,*,0,0,0,0,0,0,*
0,0,0,0,0,*,0,0,0,*,0,0,0
*,*,*,*,*,51,*,*,*,*,0,*,65
*,13,*,*,*,71,*,*,*,12,*,*,115
*,*,*,*,*,21,0,*,0,*,*,*,34
0,0,*,0,0,0,0,0,0,0,0,0,*
0,0,*,*,0,*,0,0,0,0,0,*,*
0,0,0,0,*,*,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,*,0,0,0,0,0,0,*
*,0,*,0,*,*,0,*,*,*,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0,*,0,0,0,*
*,*,*,0,*,*,0,0,*,0,0,0,13
34,31,49,17,10,370,11,23,18,51,*,10,558
0,0,0,0,0,*,0,0,0,*,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,*,0,*,*,0,0,0,0,0,0,*
13,13,34,10,*,94,*,10,*,31,*,*,205
0,0,0,0,0,*,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,*,0,0,0,0
*,0,0,0,0,20,*,*,*,*,0,*,18
*,*,*,10,*,56,*,*,*,10,0,*,131
*,*,*,*,*,80,*,*,0,*,*,*,54
0,0,0,0,0,0,0,0,0,0,0,0,0
*,*,*,*,*,20,*,*,*,*,*,*,58
0,0,0,0,0,*,0,0,0,0,0,0,*
0,*,*,*,*,*,*,*,*,*,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
*,*,*,0,*,*,0,0,0,0,0,0,16
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,*,0,0,0,0,0,0,0
0,0,*,0,0,*,0,0,0,0,0,0,0
0,*,0,0,0,0,0,0,0,*,0,0,0
*,0,0,*,0,*,0,0,0,0,*,0,*
0,*,0,0,*,12,0,0,0,*,0,0,*
0,0,0,0,0,0,0,*,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
*,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*,0,0,*
*,0,0,0,0,26,0,0,0,*,0,0,19
0,0,0,0,0,*,0,0,0,0,0,0,0
0,0,0,0,0,0,0,*,0,0,0,0,*
0,*,*,0,*,14,*,0,*,0,0,*,20
0,0,*,0,0,*,0,0,*,*,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,*
0,*,0,0,*,*,0,0,0,0,0,0,*
*,*,*,0,*,*,0,*,*,*,0,0,*
113,107,159,63,58,1352,44,61,45,153,21,29,1917
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0,0,0,0,*,*
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,*
*,*,*,*,*,33,*,14,*,*,0,*,129
23,30,37,28,32,90,14,12,20,24,*,13,531
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,*,*,*,*,0,*,0,*,0,0,12
0,0,0,0,0,*,0,0,0,0,0,0,*
137,136,167,132,147,872,66,137,88,151,*,68,2295
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,*,0,0,0,*
0,*,0,0,0,*,0,*,0,0,0,*,*
0,0,*,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0,0,0,0,0,*
*,*,17,12,*,55,*,*,*,12,0,*,126
0,0,0,0,0,0,0,0,0,0,0,0,0
41,39,58,25,34,502,17,18,13,41,*,*,824
0,0,0,0,0,*,0,0,0,0,0,0,*
0,*,0,0,0,*,*,0,0,0,0,0,*
0,*,*,*,*,*,*,*,*,*,*,0,*
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0,0,0,0,0,0
103,111,165,74,51,1686,47,58,41,154,15,24,1923
*,0,*,*,*,*,0,0,0,0,0,0,15
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
*,0,0,0,0,*,0,0,0,0,0,0,*
10,*,*,*,*,32,*,*,*,10,*,*,116
0,0,0,0,0,0,0,0,0,0,0,0,*
0,*,*,*,*,*,0,*,*,*,0,0,*
18,12,21,17,11,66,*,*,12,19,0,*,274
*,*,15,*,*,101,*,*,*,14,*,*,141
0,0,0,*,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,*,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
*,*,*,*,*,39,*,0,*,*,0,*,46
0,0,*,*,0,14,0,*,*,*,0,*,14
0,0,0,0,0,0,0,0,0,*,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0,0,0,*
134,135,165,142,139,1157,49,131,100,170,*,57,2458
*,0,0,0,0,20,0,0,*,0,0,0,10
*,0,0,*,0,*,*,*,0,*,*,0,11
*,0,0,0,0,*,0,0,0,0,0,0,*
*,*,11,*,*,52,0,*,*,*,*,*,53
0,0,*,0,0,*,0,0,0,0,0,*,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
10,*,11,13,*,54,*,*,*,13,0,*,161
0,0,*,0,0,*,0,0,*,0,0,0,*
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,*,0,*,0,0,0,0,0,0,*
*,0,0,0,0,0,0,0,*,0,0,0,*
*,*,*,*,*,105,*,*,*,*,0,0,64
0,0,0,0,0,*,0,0,0,0,0,0,0
*,*,*,*,*,58,*,*,*,10,*,*,94
0,*,*,0,*,15,*,0,*,*,0,0,31
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,*,0,0,*,0,0,0,0,0,0,*
10,10,*,*,*,88,*,*,*,11,*,*,223
*,0,0,0,0,*,0,0,0,0,*,0,11
*,0,0,0,0,*,0,0,0,*,*,0,*
0,0,0,*,0,*,0,*,0,0,0,0,*
0,0,0,0,0,*,0,0,0,0,0,0,0
0,0,*,*,*,11,0,0,0,*,0,*,13
0,0,0,0,0,0,0,0,0,0,0,0,0
16,29,27,20,21,279,*,24,16,32,0,11,410
0,0,0,0,*,*,0,0,*,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
*,*,*,0,*,17,0,0,*,*,0,*,19
0,0,0,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,*
0,0,0,0,0,0,*,*,0,*,0,0,0
31,36,45,22,19,749,17,15,12,41,*,*,764
0,0,0,*,0,*,0,0,0,0,0,0,*
*,*,0,0,0,*,0,0,0,0,0,0,0
0,0,*,0,0,*,0,0,0,0,0,0,*
0,0,0,0,0,*,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0,0,0,0,0,0
0,0,0,0,*,0,0,0,0,0,0,0,*
*,*,*,*,*,66,*,*,0,*,*,*,83
*,*,*,0,0,15,0,0,0,0,*,0,*
*,*,*,*,0,46,*,*,0,*,0,*,37
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,*,0,0,0,0,0,0,*
*,0,0,0,0,*,0,*,0,0,*,0,*
