_25_44,cd_09,cd_07,cd_04,cd_21
*,0,0,0,0
*,0,*,0,0
*,0,0,0,0
1023,36,25,*,12
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
*,0,0,0,0
*,*,0,0,0
*,*,*,0,*
0,0,0,0,0
14,0,0,*,0
33,0,0,0,0
704,58,56,*,37
0,0,0,0,0
0,0,0,0,0
*,*,0,0,0
*,0,*,0,0
*,0,0,0,0
*,0,0,0,0
*,0,0,0,0
*,0,0,0,0
*,*,0,0,0
*,0,0,0,0
612,27,24,*,18
0,0,0,0,0
*,0,0,0,0
*,0,0,0,0
*,0,0,0,0
*,0,0,0,0
13,*,0,0,0
*,0,0,0,0
636,18,*,*,15
0,0,0,0,0
*,*,0,0,0
*,*,0,0,0
0,0,0,0,0
0,0,0,0,0
*,0,0,0,0
*,0,0,0,0
*,0,0,0,*
27,0,*,0,0
*,0,0,0,0
532,13,20,*,12
*,0,0,0,0
*,0,0,0,0
851,60,38,13,29
10,0,*,0,0
84,*,*,*,*
57,21,18,*,*
*,0,0,0,0
*,0,0,0,0
26,0,0,*,0
*,0,0,0,0
*,*,0,0,0
*,0,0,0,0
*,0,0,0,0
142,*,*,0,*
254,10,*,*,*
109,*,0,0,0
*,0,0,0,0
*,0,0,0,0
*,0,0,0,0
*,0,*,0,*
*,*,0,0,0
*,*,*,0,*
*,0,0,0,0
*,0,0,0,*
18,0,0,0,0
1237,57,28,*,16
*,0,0,0,0
0,0,0,0,0
*,0,0,0,*
715,32,20,*,13
0,0,0,0,0
*,0,0,0,0
32,*,*,0,*
265,15,*,*,*
119,*,*,*,*
*,0,0,0,0
113,*,*,*,*
0,0,0,0,0
*,*,*,0,0
*,0,0,0,0
10,*,*,0,0
*,*,0,0,0
*,0,0,0,0
*,0,0,0,0
*,0,0,0,0
*,*,*,0,*
13,0,*,0,0
0,0,0,0,0
0,0,0,0,0
*,0,0,0,0
*,0,0,0,0
34,*,*,0,0
*,0,0,0,0
*,0,0,0,0
33,*,0,*,*
12,*,*,0,0
*,0,0,0,0
*,0,0,0,0
29,*,*,0,*
3847,170,100,43,68
*,0,0,0,0
*,0,0,0,0
*,0,*,0,*
*,0,0,0,0
0,0,0,0,0
214,*,*,0,10
721,30,19,0,31
0,0,0,0,0
*,*,*,0,*
0,0,0,0,0
2966,177,129,19,123
*,0,0,0,*
*,0,0,0,0
*,0,0,0,0
12,0,0,0,0
*,0,0,0,0
*,0,0,0,0
*,0,0,0,0
219,*,*,0,*
*,0,0,0,0
1162,57,43,18,24
*,0,0,0,0
*,0,0,0,0
*,*,*,*,0
0,0,0,0,0
0,0,0,0,0
*,0,0,0,0
*,0,0,0,0
4391,202,111,47,62
22,*,*,0,0
*,0,0,0,*
*,0,0,0,0
*,0,0,0,0
139,11,*,*,*
0,0,0,0,0
0,*,*,*,0
448,23,14,*,18
381,24,*,*,*
*,0,0,0,0
*,0,0,0,0
*,0,0,0,0
108,*,*,*,0
69,*,*,0,0
*,0,0,0,0
*,0,0,0,0
0,0,0,0,0
3578,175,147,18,114
30,*,0,0,0
12,*,0,*,*
*,0,0,0,0
182,*,*,*,*
*,*,0,0,*
*,0,0,0,0
0,0,0,0,0
0,0,0,0,0
292,10,*,0,14
18,0,0,*,0
*,*,0,0,0
*,0,0,0,0
*,0,0,0,0
174,*,*,*,*
*,0,0,0,0
171,11,*,*,*
109,*,0,0,*
*,0,0,0,0
0,0,0,0,0
*,0,0,0,0
330,10,12,0,*
*,0,0,*,0
*,0,*,0,0
12,*,0,0,0
0,0,0,0,0
*,*,0,0,*
*,0,0,0,0
741,40,28,*,24
18,*,0,0,*
*,*,0,0,0
25,0,*,0,*
*,0,0,0,0
*,0,0,0,0
0,0,0,*,0
*,0,0,0,0
1299,62,38,14,17
*,0,0,0,0
*,0,0,*,0
*,0,0,0,0
*,0,0,0,0
*,0,0,0,0
0,0,0,0,0
206,*,*,*,*
25,*,*,0,0
56,*,0,*,*
0,0,0,0,0
*,0,0,0,0
*,0,0,0,*
