cd_26,multi_ethnic,has_reasonable_accommodation_1,pacific_islander,total,has_reasonable_accommodation,african_american,has_limited_english_1,cd_40,cd_18,cd_27,cd_23,cd_11,cd_45
0,0,*,0,*,0,0,*,*,0,0,0,*,0
*,*,*,0,*,0,*,*,0,0,0,0,0,0
0,*,14,0,14,0,*,*,0,*,0,*,*,0
19,142,1486,*,1582,96,684,1324,19,39,29,*,31,18
0,0,*,0,*,0,0,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,0,*,0,0,0,0,0,0
0,*,*,0,*,0,0,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,*,29,0,29,0,11,29,0,0,0,0,0,*
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,*,20,0,22,*,11,22,0,*,0,0,0,0
0,*,51,0,54,*,26,54,*,0,0,0,*,0
24,273,2606,*,2625,19,783,1812,44,64,37,23,40,42
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,0,*,0,0,0,0,0,0
0,*,*,0,*,*,*,*,0,0,0,0,0,0
0,*,45,0,45,0,11,27,*,*,*,0,0,0
0,*,*,0,*,*,*,*,*,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,*,0
0,*,*,0,*,0,0,*,0,0,*,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
10,129,1152,*,1154,*,243,734,24,26,14,*,27,13
0,0,*,0,*,0,0,0,0,*,0,0,0,0
0,0,*,0,*,*,*,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,0,0,0,0,0,0,0,0
0,*,*,0,*,0,*,*,0,0,0,0,0,0
0,*,33,0,33,0,11,22,*,0,0,0,*,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
12,86,876,*,910,34,409,745,14,36,25,*,12,16
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,*,*,0,*,*,*,*,0,0,0,0,0,0
0,*,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,0,*,0,0,0,0,0,0
0,0,*,0,*,0,0,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,11,*,*,11,0,0,0,0,0,0
0,*,28,0,29,*,12,23,*,*,0,0,0,0
*,*,58,0,58,0,23,43,*,*,*,*,0,*
0,0,*,0,*,0,*,*,0,0,0,0,0,0
16,108,945,0,946,*,292,674,11,32,13,*,29,19
0,0,*,0,*,0,0,*,0,0,0,0,0,0
0,0,*,0,*,0,0,*,0,0,0,0,0,0
30,265,2645,*,2660,15,831,1895,54,64,34,15,51,46
0,*,46,0,46,0,11,22,0,*,0,0,*,0
*,21,161,*,172,11,69,133,*,*,*,*,*,*
*,77,811,*,817,*,217,513,21,15,*,*,12,15
0,0,*,0,*,0,0,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,12,97,0,97,0,31,69,*,*,*,*,*,*
0,*,*,0,*,*,*,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,*,0
0,0,12,0,12,0,*,10,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
*,31,236,*,236,0,80,189,*,*,*,*,*,*
*,37,392,*,407,15,195,347,*,*,*,*,*,*
*,*,146,*,158,12,70,127,*,*,*,*,*,*
0,0,*,0,*,0,*,*,0,0,0,0,0,*
0,0,*,0,*,0,*,*,0,0,0,0,0,*
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,*,*,0,*,0,*,*,0,0,0,0,0,0
0,*,*,0,*,0,*,*,0,*,*,0,0,0
0,*,40,0,40,0,13,19,*,0,0,0,*,0
0,0,*,0,*,0,0,0,0,0,0,0,0,0
0,*,*,0,*,0,0,*,0,0,0,0,0,0
*,*,39,0,41,*,14,30,0,0,*,*,*,*
21,194,1964,*,2145,181,876,1701,33,78,41,18,46,35
0,*,*,0,*,0,*,*,0,*,0,0,0,0
0,*,*,0,*,0,0,*,0,0,0,*,0,0
*,0,10,0,10,0,*,*,0,0,0,0,0,*
16,89,1005,*,1033,28,421,808,19,39,33,*,25,11
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,0,*,0,0,0,0,0,0
0,*,72,0,72,0,14,48,0,0,*,*,*,*
*,46,462,0,465,*,147,355,*,16,*,*,*,*
*,21,210,*,218,*,88,176,*,*,*,*,*,0
0,0,*,0,*,0,0,0,0,0,0,0,0,0
*,14,179,0,194,15,92,176,*,*,*,*,*,*
0,0,*,0,*,*,0,0,0,0,0,0,0,0
*,*,55,0,55,0,14,30,0,0,0,0,0,*
0,*,*,0,*,0,*,*,0,0,0,0,0,0
*,*,24,0,33,*,15,30,*,0,*,0,*,*
0,*,*,0,*,*,*,*,0,*,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,*,*,*,0,0,0,0,0,0
0,*,*,0,*,0,*,*,0,0,0,0,0,0
0,*,51,0,51,0,13,0,*,*,0,*,0,*
0,*,20,0,21,*,14,18,0,0,0,0,0,0
*,0,*,0,*,0,0,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,*,*,0,*,0,*,*,0,0,0,0,0,0
0,*,52,0,57,*,32,55,0,*,*,0,0,*
0,*,*,0,*,0,*,*,0,0,0,0,0,0
0,*,*,0,*,0,0,*,0,0,*,0,0,0
*,*,67,0,67,0,15,46,0,0,0,*,*,*
0,*,25,0,25,0,13,25,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,*,16,0,16,0,*,11,0,*,0,0,0,0
0,*,40,0,40,0,17,31,*,*,*,*,0,0
78,609,6262,21,6808,546,2913,5534,122,229,129,48,134,83
0,0,*,0,*,0,*,*,0,*,0,0,0,0
0,0,*,0,*,0,0,0,0,0,0,0,0,0
0,0,11,0,14,*,*,14,0,*,0,0,*,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,0,*,0,0,0,0,*,0
*,59,402,*,403,*,98,249,*,20,*,*,*,*
19,212,1471,*,1483,12,316,880,32,47,35,*,28,28
0,0,*,0,*,0,*,0,0,0,0,0,0,0
0,*,28,0,31,*,12,23,0,*,0,0,*,*
0,0,0,0,*,*,0,*,0,0,0,0,0,0
78,920,7752,11,7802,50,2181,5226,149,213,122,58,137,125
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,*,*,0,*,0,*,*,0,0,0,0,0,0
0,*,21,0,21,0,*,15,0,0,0,0,*,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,*,*,0,*,0,0,*,0,0,0,0,0,0
0,*,*,0,*,*,*,*,0,0,0,0,0,0
*,52,405,0,407,*,145,300,11,*,*,*,*,*
0,0,*,0,*,0,0,*,0,*,0,0,0,0
27,199,2127,15,2362,235,982,1899,48,76,34,14,45,19
0,*,*,0,*,0,0,*,0,0,0,0,0,0
0,*,*,0,*,0,*,*,0,0,0,0,0,0
*,*,124,0,124,0,24,*,*,*,*,*,0,*
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,0,0,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
97,631,6801,15,7228,427,3267,6107,110,179,140,40,140,84
0,*,44,0,44,0,19,38,0,*,*,*,*,0
0,*,12,0,12,0,*,12,0,*,0,0,0,0
0,0,*,0,*,0,*,*,0,0,0,0,0,*
0,*,15,0,15,0,*,10,0,0,0,0,0,0
*,20,260,*,298,38,146,260,*,*,*,*,*,*
0,0,*,0,*,0,*,*,0,0,0,0,0,0
0,*,44,0,45,*,12,*,0,*,*,0,0,*
*,112,803,*,807,*,225,561,12,26,10,*,19,12
*,46,536,0,571,35,284,496,*,17,11,*,13,12
0,0,*,0,*,0,*,*,0,0,0,*,*,0
0,*,*,0,*,0,*,*,0,0,0,0,0,0
0,0,*,0,*,0,0,*,*,0,0,0,0,0
*,11,156,0,173,17,98,159,*,*,*,*,*,*
*,*,96,0,99,*,49,85,*,*,*,0,*,*
0,0,*,0,*,0,0,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,0,*,0,0,*,0
0,0,*,0,*,0,0,*,0,0,0,0,0,0
98,881,8192,19,8225,33,2379,5538,157,187,129,58,169,136
0,*,45,0,45,0,20,44,0,0,0,0,0,0
*,*,57,0,57,0,21,21,*,*,*,*,0,0
0,0,*,0,*,*,*,*,0,0,0,0,0,*
*,24,257,0,270,13,128,238,*,*,*,*,*,*
0,*,13,0,16,*,*,*,0,0,0,0,0,*
0,0,*,0,*,0,0,*,0,0,0,0,0,0
0,0,*,0,*,0,0,*,0,0,0,0,0,0
*,0,*,0,*,0,0,*,0,0,0,0,0,0
*,62,523,*,523,0,151,354,13,*,14,*,*,12
0,*,18,0,20,*,*,15,0,0,0,*,0,0
0,0,*,0,*,0,*,*,*,0,0,0,0,0
0,*,*,0,*,*,*,*,0,0,0,0,0,0
0,0,*,0,*,0,*,*,*,0,0,0,0,0
*,22,284,*,297,13,169,272,*,*,*,*,*,*
0,0,*,0,*,0,*,*,0,0,0,0,0,0
*,37,267,0,292,25,139,260,*,11,*,*,*,*
*,*,147,0,155,*,76,131,*,*,*,*,*,0
0,*,*,0,*,0,*,*,*,*,0,0,0,0
*,0,*,0,*,0,*,*,0,0,0,0,*,0
0,0,*,0,*,0,*,*,0,0,0,0,0,0
*,69,630,*,634,*,210,455,14,12,16,*,17,*
0,*,16,0,19,*,*,14,0,0,*,0,0,0
