all_fnd,cty_fnd
33047,26492
21534,21527
0,0
915,915
0,0
0,0
231227,166267
0,0
38756,32592
225236,225236
11407,11407
736774,736774
47299,47094
3020,3009
462900,462900
170951,53506
4,4
7243,2828
4383,4378
0,0
343,343
1005312,909920
16012,13986
1547,1547
-2263063,-2263063
108943,74565
7463,3192
45355,38992
0,0
56378,55750
0,0
1428497,518987
0,0
256837,128181
2727,2650
0,0
183819,179816
270834,167554
2998,2963
254169,159653
483,483
1482,1330
3046,2450
4685,4680
320,320
23170,23165
643875,162231
3170,2651
44921,43876
37278,31100
2586,2531
153014,93681
6680,2590
237,237
83127,67086
57862,57445
0,0
538,538
6897,5765
41954,18958
1438,1438
162386,6437
45177308,29935781
97229,88086
118141,117152
1660,1660
3110,3110
