artist_firstname
GWEN
JOHN
VICTOR
""
CLEMENTE
VINCENT
""
ED
MARCELO
ONORIO
RALPH
NATHANEL
""
CLEMENTE
CHARLES
CLEMENTE
THEODORE
JACK
COSTANTINO
JOSEPH
JOHN
WILLIAM
LARRY
""
GIULIO
HELEN
OTELLO
COSTANTINO
JOHN
""
VINCENT
CHARLES
COSTANTINO
FRANCES
RALPH
GWEN
CHAIM
NED
CONCETTA
KATHLEEN
MARJORIE
MURIEL
CARTAINO
ROMAULD
JOSEPH
GWEN
JOHN
OTELLO
COSTANTINO
JORDI
MILTON
CHARLES
WILLIAM
EMANUEL
VICTOR
WILLIAM
JUSTEN
THOMAS
DONNA
MARISOL
MAURICE
EMANUEL
ADOLPH
JORDAN
GEORGE
MILTON
WILLIAM
JOHN
MARISOL
FRANCES
THOMAS
JORDAN
""
CARL
CLEMENTE
BARRY
HERBERT
JOHN
JUDITH
JOHN
PAUL
LYNN
""
JUDITH
GWEN
ANN
HUGO
AUSTIN
RUDOLF
""
MILTON
JOHN
JOE
ERNST
""
DINA
NED
RALPH
CHARLES
WILLIAM
THOMAS
IRVING
CLEMENTE
HERMAN
GEORGE
CHARLES
RAYMOND
EDUARDO
CESARE
JUSTEN
ROBERT
JACK
EMANUEL
VICTOR
DOMENICO
ROBERT
JACK
WILLIAM
NATHANEL
VINCENZO
""
GWEN
CESARE
TODD
HUGO
CHARLES
ADOLPH
GWEN
KATHLEEN
ED
JUDITH
ALFRED
NATHANEL
""
""
DONNA
JORDI
N.
""
LUMEN
JACK
CARL
ARCHITECTS
FRED
MARISOL
CLEMENTE
EDMOND
DOLPH
INGE
COSTANTINO
LUMEN
""
CLEMENTE
""
""
GONZALO
COSTANTINO
VINCENT
""
EDMOND
COSTANTINO
CHARLES
JORDAN
LYNN
CLEMENTE
COSTANTINO
""
NATHANIEL
RUDOLF
GERTRUDE
FRANCOIS
HUGO
COSTANTINO
CHARLES
CLEMENTE
ROY
JOSEPH
HELEN
FRED
""
MAXWELL
COSTANTINO
WILLIAM
COSTANTINO
TODD
GEORGE
MARY
""
LYNN
GEORGE
ROBERT
JOHN
OSCAR
ERNST
FREDERIC
KEITH
DAVID
WILLIAM
FRANK
M. H.
