medium,artwork_title
BRONZE,"""EDUCATION-ASPIRATION"""
METAL PAINTED,"""POTTERY"""
BRONZE,"""GETTYSBURG ADDRESS"""
BRONZE,"""DANTE"""
BRONZE,PHYSICAL EDUCATION
"BRONZE, CAST",GEMINI
PLASTER,"""MUSIC AND ART"""
BRONZE,MIDDLE PASSAGE
"CONCRETE, PRECAST","""DRAMATIC ARTS"""
BRONZE,"""TOSCANINI"""
FIBERGLASS,MAN & SPACE
"WOOD, PAINTED","""CHEERLEADER"""
"PLASTER, PAINTED","""BUFFALO"""
BRICK,JUSTICE BENJAMIN N. CARDOZO
"BRONZE, SHEET",UNTITLED
"ALUMINUM, CAST","""FOOTBALL, BASKETBALL, AND POLE VAULTING"""
ALUMINUM,CITYSCAPE
BRONZE,BRONZE SCULPTURES
"TERRA COTTA, GLAZED",UNTITLED
PLASTER CAST,"""MUSIC AND DANCE"", ""SONG, DRAMA, LITERATURE"""
BRONZE,KNOWLEDGE
BRONZE,COL. DAVID MARCUS
"STEEL, WEATHERING",THE PURSUIT OF LEARNING 1 & 2
PLASTER,"""AVIATOR"""
MARBLE,THE BOY COLUMBUS
PLASTER CAST,BASEBALL AND JUMPROPE
CONCRETE,THE WINDOW
"TERRA COTTA, GLAZED",UNTITLED
BRONZE,CITY OF MANHATTAN
"PLASTER, PAINTED","""MINER"""
CAST STONE,UNTITLED
BRONZE,LIFE'S JOURNEY
CONCRETE,RELIEF PANELS
BRONZE,"""BAYARD RUSTIN"""
BRASS,MAN & SPACE
STEEL,"SUN, BIRDS, AND LIGHT/ EAGLE"
"WOOD, CARVED",BASKETBALL PLAYERS
GLASS,DESTINATIONS
CAST STONE,GIRL WITH FAWN
WOOD,NATURAL IMPUMENTS
BRONZE,DR. BAILEY K. ASHFORD (1873-1934)
"WOOD, CARVED",INDIAN CORN DANCE
BRONZE,"BUST OF JOHN BURROUGHS, 1837 - 1921"
TERRA COTTA,ALMA MATER
"PLASTER, PAINTED",CHILDREN IN MUSIC (RT) MUSIC AND DANCE (LT)
"STEEL, STAINLESS",VAPOR TRAILS
"BRONZE, CAST",BUST OF VITO MARCANTONIO
CAST STONE,THE LIFE OF SAMUEL DICKSTEIN
CONCRETE,"""UNTITLED"""
BRONZE,"""ABSTRACT"""
"BRONZE, CAST",EDUCATION AND ATHLETICS
"BRONZE, CAST","""SOUTHERLAND TABLET"""
"ALUMINUM, SHEET",SCHOOL
FIBERGLASS,UNTITLED
BRONZE,LINCOLN TABLET (ABRAHAM)
"STEEL, WEATHERING","MARTIN LUTHER KING, JR. MEMORIAL"
"MOSAIC, GLASS","""UNTITLED"""
"ALUMINUM, CAST",THE STORY HOUR
"STEEL, PAINTED",DREAMING OF FAR AWAY PLACES:  THE SHIPS COME TO WASHINGTON MARKET
BRONZE,CREATIVITY
MARBLE,DESTITUTE (MOTHER AND CHILD)
FIBERGLASS,UNTITLED
BRONZE,WILLIAM CULLEN BRYANT
"PLASTER, PAINTED",UNTITLED
"BRONZE, CAST",THE CHALLENGE
MAHAGONY,"DANCE, TENNIS, BASKETBALL"
WOOD,WOMEN IN INDUSTRIES
"COPPER, SHEET","""MOVEMENT THROUGH SPACE"""
GRANITE,CREATIVITY
PLASTER,THE LEGEND OF SLEEPY HOLLOW
"ALUMINUM, CAST",UNTITLED
PLYWOOD,UNTITLED
BRONZE,"""UNTITLED"""
LIMESTONE,"""SEAL OF THE CITY OF NEW YORK 1664"""
"BRONZE, CAST",ASPIRATION OF YOUTH
"STEEL, PAINTED",UNTITLED
PLASTER CAST,"TRUTH, RESEARCH"
"BRONZE, CAST",THOMAS ALVA  EDISON
"COPPER, HAMMERED",ATHLETICS
"BRONZE, SHEET",UNTITLED
BRONZE,"""LIBERTY"""
PLEXIGLASS,MAGIC SEEDS
PLASTER,"""SEATED MAN HOLDING BOOK"""
STEEL,ATHLETICS
MOSAIC,"SUN, BIRDS, AND LIGHT/ EAGLE"
"ALUMINUM, PAINTED, ENAMEL",REACHING FOR THE STARS (ASPERA AD ASTRA)
"PLASTER, PAINTED",LITERATURE
"ALUMINUM, POLISHED","""MENTAL, SPIRITUAL AND PHYSICAL ACTIVITIES"""
TERRA COTTA,"""MUSIC"""
LIMESTONE,"""CUBIST WOMAN"""
"BRONZE, CAST",CHILDREN AT PLAY
"ALUMINUM, CAST","""OPEN WIDE THE MIND'S CAGE DOOR; (SEE NOTES)"
METAL PAINTED,ABSTRACTION
BRONZE,GUTENBERG STATUE (JOHANNES)
"PLASTER, PAINTED","""STRIKERS"""
CAST STONE,HEAD OF A CHILD
MARBLE,DESTINATIONS
EPOXY CAST,MAN & SPACE
"BRONZE, SHEET",UNTITLED
"STEEL, WEATHERING",LETTERS
ALUMINUM,"""STUDENTS"""
"BRONZE, CAST",UNTITLED
BRONZE,"""ATHLETICS"""
"PLASTER, PAINTED","MAQUETTE FOR ""PIONEER MONUMENT"""
"BRONZE, CAST","""UNITY, SERENITY, PEACE"""
"PLASTER, PAINTED",JOHN BOWNE'S PERSECUTION BY GOV. STUYVESANT
TERRA COTTA,"""CHEMISTRY"""
"ALUMINUM, PAINTED, EPOXY",UNTITLED (HEXAGONAL SCULPTURE)
"PLASTER, PAINTED","""NEGRO COUPLE"""
"MOSAIC, STONE","""UNTITLED"""
"ALUMINUM, PAINTED, ENAMEL",WINGED SHADOWS
"BRONZE, CAST",UNTITLED
GLASS,UNTITLED
BRONZE,IRVING BAS-RELIEF (WASHINGTON)
CERAMIC,BUST OF PABLO CASSALS
"ALUMINUM, PAINTED, ENAMEL",UNTITLED
TERRA COTTA,"""MYTHOLOGICAL CREATURES"""
"STEEL, WEATHERING",MORNINGSIDE HEIGHTS
"BRONZE, CAST","""GROWTH"""
BRONZE,ADOLPH S. OCHS
PLASTER CAST,"""BUST OF LINCOLN, WASHINGTON AND FRANKLIN"""
GLASS,"SUN, BIRDS, AND LIGHT/ EAGLE"
"PLASTER, PAINTED",UNTITLED
"STEEL, PAINTED",ABSTRACT
STONE,GIRL WEEDING
PLASTER CAST,JOHN BOWNE'S PERSECUTION BY GOV. STUYVESANT
CAST STONE,"""BABOON"""
"STEEL, PAINTED","""EDUCATION-ASPIRATION"""
"ALUMINUM, CAST",NATURAL IMPUMENTS
CONCRETE,MIDDLE PASSAGE
BRASS,ATHLETICS
PLASTER CAST,BUST OF ALBERT EINSTEIN
"ALUMINUM, PAINTED, ENAMEL",TRAGEDY AND COMEDY
"PLASTER, PAINTED","""BULL"""
METAL PAINTED,"""CUBIST MUSICIANS"""
"TERRA COTTA, GLAZED",VIEWS OF WASHINGTON MARKET THROUGH THE ...
CERAMIC,"""ABSTRACT"""
PLASTER,"""WINTER GAMES"" ""SUMMER GAMES"""
BRONZE,"""DR. MARTIN LUTHER KING JR."""
MARBLE,MOTIVATION
BRONZE,HISTORY OF SCIENCE AND LANGUAGE
BRONZE,YOUTH AIMING HIGH
TERRA COTTA,"""ORNAMENTAL WORLD MAP"""
"ALUMINUM, CAST",CONSERTE
METAL PAINTED,CREATIVITY
"ALUMINUM, CAST","""EDUCATION"""
STONE,"AS YE SOW, SO SHALL YE REAP"
BRONZE,LOUIS ARMSTRONG
CAST STONE,LEWIS HOWARD LATIMER (1848-1928)
CONCRETE,ROOF PROMENADE SCULPTURE
MARBLE,ASCENT
"WOOD, CARVED","""CAT"""
ALUMINUM,SCHOOL ACTIVITIES
CONCRETE,"""CLOAKED WOMAN"""
CONCRETE,"""INDUSTRY ARTS SCIENCE COMMERCE"""
CONCRETE,UNTITLED
CONCRETE,"""HORSES"""
CAST STONE,MOTHER OF KNOWLEDGE
WOOD,"""SEATED FIGURE"""
BRONZE,"AS YE SOW, SO SHALL YE REAP"
"CONCRETE, PRECAST",UNTITLED
PLASTER,"""EDUCATION"""
METAL,UNTITLED
STEEL,MAGIC SEEDS
BRONZE,JUSTICE BENJAMIN N. CARDOZO
"CONCRETE, PRECAST",SYNTHESIS OF ACADEMIC AND VOCATN'L ENDEAVORS
PLASTER,"""UNTITLED"""
"STEEL, GALVANIZED",UNTITLED
STONE,GIRL READING
BRONZE,"""J. HERBERT LOW"""
"PLASTER, PAINTED","""PROTECTION"""
PLASTER,MUSIC
"CONCRETE, PRECAST","""ABSTRACT"""
"BRONZE, SHEET","""ABSTRACT"""
TERRA COTTA,"""SPORT"""
"BRONZE, CAST",ASTRONAUT
BRONZE,"""WILLIAM H. SEWARD"""
"PLASTER, PAINTED","""STANDING CHILDREN"""
"ALUMINUM, CAST",UNTITLED
PLASTER,"""THREE SEATED GIRLS"" ""DANCING GIRLS"""
"STEEL, STAINLESS","""EXPLORATION"""
CONCRETE,"""SCULPTURED PANELS"""
MAPLE,CULTURAL DEVELOPMENT OF THE UNITED STATES
"CONCRETE, PRECAST",ACADEMIC ACHIEVEMENT
"STEEL, STAINLESS",UNTITLED
"BRONZE, CAST",ABSTRACTION
"STEEL, PAINTED",FABLES OF LA FONTAINE
PLASTER,INDIAN & SETTLERS
WOOD,MAGIC SEEDS
"ALUMINUM, PAINTED, ENAMEL","""UNTITLED"""
"ALUMINUM, PAINTED, ENAMEL",UNTITLED
"BRONZE, CAST","""UNTITLED"""
PLASTER CAST,ART AND SCIENCE
BRONZE,FRANKLIN STATUE (BENJAMIN)
BRONZE,"""PORTRAIT OF DANTE"""
"STEEL, WEATHERING","""ANIMAL LIFE"""
"STEEL, STAINLESS",UNTITLED
"ALUMINUM, POLISHED","""HARI IV """
STONE,LAMBS
BRONZE,WW I COMMEMORATIVE PLAQUE
