artwork_year,bldgid
1954-01-01T00:00:00.000,K470
1978-01-01T00:00:00.000,X722
,Q092
,X415
1961-01-01T00:00:00.000,Q093
1969-01-01T00:00:00.000,K540
1937-01-01T00:00:00.000,K216
1976-01-01T00:00:00.000,K455
1972-01-01T00:00:00.000,R455
1919-01-01T00:00:00.000,M485
1966-01-01T00:00:00.000,K005
1942-01-01T00:00:00.000,K410
,K705
1967-01-01T00:00:00.000,Q415
1975-01-01T00:00:00.000,Q053
1962-01-01T00:00:00.000,R440
1975-01-01T00:00:00.000,X182
1965-01-01T00:00:00.000,M501
1961-01-01T00:00:00.000,K113
,K440
1966-01-01T00:00:00.000,Q072
1958-01-01T00:00:00.000,K263
1964-01-01T00:00:00.000,Q030
1937-01-01T00:00:00.000,K008
,Q801
1938-01-01T00:00:00.000,K232
1967-01-01T00:00:00.000,M030
1960-01-01T00:00:00.000,Q008
1965-01-01T00:00:00.000,M070
1937-01-01T00:00:00.000,K705
1965-01-01T00:00:00.000,K023
1974-01-01T00:00:00.000,R036
1965-01-01T00:00:00.000,M470
1988-01-01T00:00:00.000,M440
1966-01-01T00:00:00.000,K005
1959-01-01T00:00:00.000,M019
1935-01-01T00:00:00.000,K410
2002-01-01T00:00:00.000,K156
,Q445
2002-01-01T00:00:00.000,Q028
1957-01-01T00:00:00.000,K287
1939-01-01T00:00:00.000,K465
,M188
,X425
1937-01-01T00:00:00.000,Q150
1958-01-01T00:00:00.000,Q610
1975-01-01T00:00:00.000,M050
1967-01-01T00:00:00.000,M056
1955-01-01T00:00:00.000,K033
1971-01-01T00:00:00.000,R061
1972-01-01T00:00:00.000,Q505
1917-01-01T00:00:00.000,M003
1983-01-01T00:00:00.000,R013
1982-01-01T00:00:00.000,K450
1915-01-01T00:00:00.000,M460
1973-01-01T00:00:00.000,M490
,X007
1961-01-01T00:00:00.000,Q203
1988-01-01T00:00:00.000,M234
1986-01-01T00:00:00.000,M485
1937-01-01T00:00:00.000,X094
1982-01-01T00:00:00.000,K450
1934-01-01T00:00:00.000,Q445
,Q410
1972-01-01T00:00:00.000,X192
1936-01-01T00:00:00.000,M445
1934-01-01T00:00:00.000,K655
1966-01-01T00:00:00.000,R460
1986-01-01T00:00:00.000,M485
1915-01-01T00:00:00.000,M460
1967-01-01T00:00:00.000,K328
,Q410
1940-01-01T00:00:00.000,K615
1956-01-01T00:00:00.000,M044
1967-01-01T00:00:00.000,Q416
1985-01-01T00:00:00.000,R004
1896-01-01T00:00:00.000,K465
1957-01-01T00:00:00.000,Q620
,R455
1976-01-01T00:00:00.000,K391
1933-01-01T00:00:00.000,Q470
1991-01-01T00:00:00.000,X121
1937-01-01T00:00:00.000,K410
,R455
1959-01-01T00:00:00.000,M019
,Q012
1937-01-01T00:00:00.000,Q801
1959-01-01T00:00:00.000,M163
1939-01-01T00:00:00.000,K420
,K410
1972-01-01T00:00:00.000,Q086
1958-01-01T00:00:00.000,K011
1977-01-01T00:00:00.000,K324
,M625
1937-01-01T00:00:00.000,K410
1937-01-01T00:00:00.000,K216
2002-01-01T00:00:00.000,K156
1966-01-01T00:00:00.000,K005
1975-01-01T00:00:00.000,Q226
1967-01-01T00:00:00.000,K329
1965-01-01T00:00:00.000,R007
1970-01-01T00:00:00.000,K302
1976-01-01T00:00:00.000,R069
1920-01-01T00:00:00.000,Q029
1971-01-01T00:00:00.000,Q237
1939-01-01T00:00:00.000,Q460
1939-01-01T00:00:00.000,K420
1973-01-01T00:00:00.000,Q410
1936-01-01T00:00:00.000,X425
,X007
1986-01-01T00:00:00.000,Q012
1962-01-01T00:00:00.000,Q183
1982-01-01T00:00:00.000,K450
1912-01-01T00:00:00.000,M460
1976-01-01T00:00:00.000,X181
1975-01-01T00:00:00.000,K013
1963-01-01T00:00:00.000,Q197
,M036
1959-01-01T00:00:00.000,K059
1933-01-01T00:00:00.000,M111
,R008
1959-01-01T00:00:00.000,M019
1937-01-01T00:00:00.000,X425
1973-01-01T00:00:00.000,X167
,Q445
1939-01-01T00:00:00.000,Q460
1937-01-01T00:00:00.000,K465
1954-01-01T00:00:00.000,K470
2002-01-01T00:00:00.000,Q028
1976-01-01T00:00:00.000,K455
,R455
1967-01-01T00:00:00.000,X131
1959-01-01T00:00:00.000,Q194
,K705
1961-01-01T00:00:00.000,Q455
1986-01-01T00:00:00.000,M234
1971-01-01T00:00:00.000,R061
1937-01-01T00:00:00.000,K743
,X150
1969-01-01T00:00:00.000,K515
,Q425
1959-01-01T00:00:00.000,R051
1957-01-01T00:00:00.000,R050
1962-01-01T00:00:00.000,R049
1986-01-01T00:00:00.000,M485
1961-01-01T00:00:00.000,K224
1948-01-01T00:00:00.000,Q171
,Q227
1967-01-01T00:00:00.000,K056
1968-01-01T00:00:00.000,M470
1970-01-01T00:00:00.000,K515
,K410
1957-01-01T00:00:00.000,M002
,Q801
1929-01-01T00:00:00.000,X425
1967-01-01T00:00:00.000,M046
1960-01-01T00:00:00.000,K046
,Q210
1937-01-01T00:00:00.000,K410
1948-01-01T00:00:00.000,Q171
1968-01-01T00:00:00.000,K345
1921-01-01T00:00:00.000,K138
,Q410
1991-01-01T00:00:00.000,X121
1967-01-01T00:00:00.000,Q415
1970-01-01T00:00:00.000,R455
1946-01-01T00:00:00.000,Q801
,K288
1935-01-01T00:00:00.000,M189
1929-01-01T00:00:00.000,K465
1937-01-01T00:00:00.000,K008
1938-01-01T00:00:00.000,K625
1965-01-01T00:00:00.000,R055
1977-01-01T00:00:00.000,R072
1958-01-01T00:00:00.000,K142
1976-01-01T00:00:00.000,R057
1931-01-01T00:00:00.000,M445
1937-01-01T00:00:00.000,K410
1958-01-01T00:00:00.000,K270
1937-01-01T00:00:00.000,K216
1974-01-01T00:00:00.000,X174
1956-01-01T00:00:00.000,M013
1936-01-01T00:00:00.000,Q475
,R455
1975-01-01T00:00:00.000,K455
1976-01-01T00:00:00.000,M153
1954-01-01T00:00:00.000,M034
,X063
1991-01-01T00:00:00.000,X121
1985-01-01T00:00:00.000,R004
1975-01-01T00:00:00.000,K013
1955-01-01T00:00:00.000,K026
1934-01-01T00:00:00.000,M088
1872-01-01T00:00:00.000,M625
1921-01-01T00:00:00.000,VVAR
1967-01-01T00:00:00.000,R032
1974-01-01T00:00:00.000,K384
1982-01-01T00:00:00.000,R435
1930-01-01T00:00:00.000,Q445
1921-01-01T00:00:00.000,Q445
