artist_lastname,school_name
LUX,GEORGE W. WINGATE HS - K
TERKEN,P.S. 721 (OTC) - BRONX
BRENNER,P.S. 92 - QUEENS
ANONYMOUS,CHRISTOPHER COLUMBUS HS - X
SPAMPINATO,I.S. 93 - QUEENS
CAVALLARO,JOHN DEWEY HS - K
ANONYMOUS,P.S. 216 - BROOKLYN
WILSON,BOYS & GIRLS HS - K
BONEVARDI,TOTTENVILLE HS - S. I.
RUOTOLO,FIORELLO LAGUARDIA HS - MANHATTAN
MENCONI,P.S. 5 - BROOKLYN
KAZ,ABRAHAM LINCOLN HS - K
ANONYMOUS,MIDWOOD HS ADDITION - BROOKLYN
SPAMPINATO,BENJAMIN N. CARDOZO HS - Q
REINA,I.S. 53 - QUEENS
SPAMPINATO,STATEN ISLAND TECHNICAL HS - S.I.
ROSZAK,P.S. 182 - BRONX
HASTINGS,ARTHUR SCHOMBURG HS (IS 201) - M
NIVOLA,I.S. 113 - BROOKLYN
WALTER,PROSPECT HEIGHTS HS - K
TERKEN,J.H.S. 72 - QUEENS
ROSENTHAL,P.S./I.S. 323 - BROOKLYN
GRIFFIS JR.,P.S. 30 - QUEENS
ANONYMOUS,P.S. 8 - BROOKLYN
MONTEVERDE,OSSS / DSF - QUEENS
NELSON,I.S. 232 - BROOKLYN
GUARDUCCI,P.S. 30 - MANHATTAN
NIVOLA,J.H.S. 8 - QUEENS
MATT,I.S. 70 - MANHATTAN
ANONYMOUS,MIDWOOD HS ADDITION - BROOKLYN
CAVALLARO,P.S. 23 - BROOKLYN
REINA,P.S. 36 - STATEN ISLAND
NIVOLA,LOUIS D. BRANDEIS HS - MANHATTAN
SARASON,BAYARD RUSTIN EDUCATIONAL COMP-M
MENCONI,P.S. 5 - BROOKLYN
LUX,P.S. 19 - MANHATTAN
GROSS,ABRAHAM LINCOLN HS - K
SMYTH,P.S. 156 - BROOKLYN
SCARAVAGLIONE,WILLIAM C. BRYANT HS - Q
SPICER,P.S. 28 (ECC) - QUEENS
DANGERFIELD,P.S. 287 - BROOKLYN
BRENNECKE,ERASMUS HALL CAMPUS - K
PIETRO,P.S. 188 - MANHATTAN
KRAUS,EVANDER CHILDS HS - X
FLERI,P.S. 150 - QUEENS
LUX,AVIATION HS - Q
RHODEN,P.S. 50 (UDC & ECF) - MANHATTAN
GUARDUCCI,J.H.S. 56 - MANHATTAN
NIVOLA,I.S. 33 - BROOKLYN
BONET,I.S. 61 - STATEN ISLAND
HEBALD,HILLCREST HS - QUEENS
KECK,P.S. 3 - MANHATTAN
KING,P.S. 13 - STATEN ISLAND
MILSTEIN,GRAND STREET CAMPUS (OLD E.D.HS)-K
BRENNER,WASHINGTON IRVING HS - MANHATTAN
TARR,"""MARTIN LUTHER KING"
LADDA,P.S. 7 - BRONX
LO MEDICO,P.S. 203 - QUEENS
DENNIS,P.S. 234 - MANHATTAN
ESCOBAR,FIORELLO LAGUARDIA HS - MANHATTAN
GLICKMAN,P.S. 94 - BRONX
MILSTEIN,GRAND STREET CAMPUS (OLD E.D.HS)-K
BLOCK,WILLIAM C. BRYANT HS - Q
STEKEL,BEACH CHANNEL HS - Q
KORAS,I.S. 192 - BRONX
HORN,SEWARD PARK HS - MANHATTAN
BAHNMULLER,BKLYN HS OF THE ARTS (OL S J HL)-K
LEFKOW,SUSAN E. WAGNER HS - S. I.
ESCOBAR,FIORELLO LAGUARDIA HS - MANHATTAN
GRIMES,WASHINGTON IRVING HS - MANHATTAN
LO MEDICO,P.S. 328 - BROOKLYN
STEKEL,BEACH CHANNEL HS - Q
ANONYMOUS,E NY VOC HS OF TRANSIT TECH.-K
JENNEWEIN,I.S. 44 - MANHATTAN
SPAMPINATO,CARDOZO AF - QUEENS
BLAIR,P.S. 4 - STATEN ISLAND
ADAMS,ERASMUS HALL CAMPUS - K
TERKEN,THOMAS A. EDISON VOC HS - Q
BROWN,TOTTENVILLE HS - S. I.
LEFKOW,I.S. 391 - BROOKLYN
FJELDE,JAMAICA HS - QUEENS
MARGILETH,P.S. 121 - BRONX
ANONYMOUS,ABRAHAM LINCOLN HS - K
BROWN,TOTTENVILLE HS - S. I.
LUX,P.S. 19 - MANHATTAN
GILLEN,P.S. 12 - QUEENS
ROBUS,OSSS / DSF - QUEENS
PURVES,P.S. 163 - MANHATTAN
HENN,FRANKLIN K. LANE HS - K
ANONYMOUS,ABRAHAM LINCOLN HS - K
HEBALD,P.S. 86 - QUEENS
TERKEN,P.S. 11 - BROOKLYN
STEFANELLI,I.S. 324 - BROOKLYN
PLASSMANN,HS OF GRAPHIC COMMUNICATION ARTS-M
ANONYMOUS,ABRAHAM LINCOLN HS - K
MELIKOV,P.S. 216 - BROOKLYN
SMYTH,P.S. 156 - BROOKLYN
MENCONI,P.S. 5 - BROOKLYN
REINA,I.S. 226 - QUEENS
TARR,P.S. 329 - BROOKLYN
LO MEDICO,I.S. 7 - STATEN ISLAND
MARANTZ,I.S. 302 - BROOKLYN
SPAMPINATO,P.S. 69 - STATEN ISLAND
MACNEIL,P.S. 29  - QUEENS
KORAS,J.H.S. 237 - QUEENS
REINA,FLUSHING HS - Q
TURNER,FRANKLIN K. LANE HS - K
RAIMIREZ,BEACH CHANNEL HS - Q
STEA,EVANDER CHILDS HS - X
LADDA,P.S. 7 - BRONX
ADZEMA,P.S. 12 - QUEENS
HASTINGS,P.S. 183 - QUEENS
MILSTEIN,GRAND STREET CAMPUS (OLD E.D.HS)-K
BRENNER,WASHINGTON IRVING HS - MANHATTAN
FACCI,I.S. 181 - BRONX
TINCH,P.S. 13 - BROOKLYN
HASTINGS,P.S. 197 - QUEENS
TARR,P.S. 36 - MANHATTAN
KAZ,P.S. 59 - BROOKLYN
MISERENDINO,P.S. 111 - MANHATTAN
ANONYMOUS,P.S. 8 - STATEN ISLAND
LUX,P.S. 19 - MANHATTAN
STEA,EVANDER CHILDS HS - X
WILLIAMS,P.S. 214 - BRONX
ROBUS,WILLIAM C. BRYANT HS - Q
REINA,FLUSHING HS - Q
WOLFF,ERASMUS HALL CAMPUS - K
LUX,GEORGE W. WINGATE HS - K
SPICER,P.S. 28 (ECC) - QUEENS
WILSON,BOYS & GIRLS HS - K
BROWN,TOTTENVILLE HS - S. I.
CRIMI,I.S. 131 - BRONX
KAZ,J.H.S. 194 - QUEENS
ANONYMOUS,MIDWOOD HS ADDITION - BROOKLYN
ANONYMOUS,NEWTOWN HS - QUEENS
DENNIS,P.S. 234 - MANHATTAN
BONET,I.S. 61 - STATEN ISLAND
TOOR,ADULT LRNG CTR (OLD GRLS HS) - K
JOME,P.S. 150 - BRONX
WINTER,SOUTH SHORE HS - K
HASTINGS,JOHN BOWNE HS - QUEENS
JENNEWEIN,I.S. 51 - STATEN ISLAND
MILNES AND MELNIKER,P.S. 50 - STATEN ISLAND
POWELL,I.S. 49 - STATEN ISLAND
ESCOBAR,FIORELLO LAGUARDIA HS - MANHATTAN
SPAMPINATO,P.S. 224 - BROOKLYN
AMATEIS,P.S. 171 - QUEENS
ELL,I.S. 227 - QUEENS
HARDISON,P.S. 56 - BROOKLYN
NIVOLA,LOUIS D. BRANDEIS HS - MANHATTAN
WINTER,SOUTH SHORE HS - K
