released,absent,present,schoolyear
212,73,1914,2012-2013
52,35,464,2012-2013
0,42,1520,2012-2013
0,55,370,2012-2013
0,68,408,2012-2013
0,77,535,2012-2013
0,46,856,2012-2013
0,34,422,2012-2013
0,40,641,2012-2013
0,58,1145,2012-2013
0,65,830,2012-2013
0,28,404,2012-2013
0,98,548,2012-2013
0,97,702,2012-2013
0,58,1074,2012-2013
0,21,199,2012-2013
0,10,335,2012-2013
0,14,373,2012-2013
92,38,847,2012-2013
0,80,413,2012-2013
0,141,1640,2012-2013
0,86,1263,2012-2013
0,70,355,2012-2013
0,45,975,2012-2013
0,88,660,2012-2013
0,29,708,2012-2013
0,168,1762,2012-2013
0,56,304,2012-2013
0,27,319,2012-2013
0,44,456,2012-2013
93,37,508,2012-2013
0,32,256,2012-2013
0,253,1871,2012-2013
0,48,510,2012-2013
0,96,697,2012-2013
0,73,1478,2012-2013
0,38,607,2012-2013
0,60,596,2012-2013
30,39,531,2012-2013
172,77,1557,2012-2013
0,27,369,2012-2013
0,120,1279,2012-2013
0,22,464,2012-2013
0,47,701,2012-2013
0,53,583,2012-2013
0,84,1531,2012-2013
0,68,835,2012-2013
0,14,430,2012-2013
0,32,463,2012-2013
0,60,756,2012-2013
0,170,2222,2012-2013
0,43,469,2012-2013
0,209,2431,2012-2013
0,81,1107,2012-2013
54,98,646,2012-2013
0,31,435,2012-2013
0,31,674,2012-2013
0,99,598,2012-2013
18,36,269,2012-2013
0,35,445,2012-2013
0,43,613,2012-2013
150,52,1363,2012-2013
0,66,744,2012-2013
18,26,316,2012-2013
0,21,329,2012-2013
0,49,725,2012-2013
0,61,989,2012-2013
0,141,1464,2012-2013
0,87,1614,2012-2013
0,22,346,2012-2013
0,41,387,2012-2013
78,65,667,2012-2013
54,79,947,2012-2013
0,67,492,2012-2013
0,88,1572,2012-2013
0,43,897,2012-2013
0,79,1169,2012-2013
0,66,1633,2012-2013
0,113,618,2012-2013
0,36,468,2012-2013
0,34,634,2012-2013
0,23,333,2012-2013
0,68,1054,2012-2013
0,44,506,2012-2013
0,18,502,2012-2013
0,59,611,2012-2013
214,92,1926,2012-2013
100,46,915,2012-2013
0,131,1378,2012-2013
0,55,387,2012-2013
0,76,673,2012-2013
0,58,548,2012-2013
0,50,726,2012-2013
0,123,1509,2012-2013
0,106,801,2012-2013
0,41,555,2012-2013
0,59,546,2012-2013
0,69,965,2012-2013
0,271,2202,2012-2013
0,14,486,2012-2013
0,45,379,2012-2013
0,162,2097,2012-2013
0,32,361,2012-2013
46,27,416,2012-2013
0,91,670,2012-2013
0,59,662,2012-2013
52,23,471,2012-2013
0,184,1760,2012-2013
0,50,1036,2012-2013
48,23,433,2012-2013
0,52,1430,2012-2013
0,45,615,2012-2013
0,50,896,2012-2013
0,37,339,2012-2013
0,31,407,2012-2013
0,24,246,2012-2013
0,68,790,2012-2013
0,63,1077,2012-2013
0,23,320,2012-2013
0,85,1272,2012-2013
0,35,625,2012-2013
0,28,667,2012-2013
0,16,309,2012-2013
0,164,1756,2012-2013
0,55,857,2012-2013
15,59,828,2012-2013
0,64,1636,2012-2013
0,29,521,2012-2013
0,135,1748,2012-2013
0,80,1323,2012-2013
54,34,290,2012-2013
0,99,557,2012-2013
0,84,1536,2012-2013
0,83,781,2012-2013
0,20,617,2012-2013
0,22,310,2012-2013
0,116,2035,2012-2013
0,58,452,2012-2013
0,66,834,2012-2013
0,34,582,2012-2013
0,60,1011,2012-2013
0,27,389,2012-2013
0,58,630,2012-2013
30,39,471,2012-2013
0,64,1412,2012-2013
0,29,791,2012-2013
0,53,747,2012-2013
232,145,2073,2012-2013
0,70,936,2012-2013
0,74,646,2012-2013
0,19,571,2012-2013
0,150,2118,2012-2013
0,49,443,2012-2013
0,59,704,2012-2013
0,125,2229,2012-2013
32,23,425,2012-2013
0,61,581,2012-2013
0,22,537,2012-2013
92,49,825,2012-2013
0,64,1145,2012-2013
0,124,2230,2012-2013
0,81,739,2012-2013
0,30,685,2012-2013
0,36,1147,2012-2013
0,17,415,2012-2013
0,98,1617,2012-2013
0,155,1601,2012-2013
0,83,614,2012-2013
0,99,1030,2012-2013
0,102,847,2012-2013
0,68,535,2012-2013
0,39,361,2012-2013
44,30,421,2012-2013
0,54,534,2012-2013
0,90,2039,2012-2013
0,54,635,2012-2013
0,69,791,2012-2013
96,34,879,2012-2013
0,90,752,2012-2013
0,26,338,2012-2013
0,28,353,2012-2013
0,102,1616,2012-2013
0,51,243,2012-2013
0,90,777,2012-2013
0,33,520,2012-2013
0,62,674,2012-2013
0,77,904,2012-2013
0,64,688,2012-2013
0,30,542,2012-2013
0,82,1171,2012-2013
52,100,788,2012-2013
0,95,1152,2012-2013
76,62,652,2012-2013
84,21,777,2012-2013
0,31,829,2012-2013
0,60,360,2012-2013
154,59,1416,2012-2013
0,54,234,2012-2013
0,24,427,2012-2013
162,53,919,2012-2013
