agency_comment,dataset_description
,The number of electric and plug-in vehicles in the City's fleet. The figure is the total number of electric vehicles as of the last day of the reporting period.
OLR is in the process of preparing this data for publication.,Employee premium rates for City-offered health plans for active employees and pre-Medicare retirees
,Electric Vehicle (EV) Charging Stations locations in New York City managed by the Department of Transportation.
,All accidents recorded by DCAS's security vendor during the reporting period.
"Due to resource constraints DEP will need to delay the release date for this dataset to December 31, 2025.",Rate of water releases from select West of Hudson reservoirs
"In publishing annual data for the calendar year, our slated publication date is one quarter after end of 2025","This dataset includes U and T Visa certification requests processed by status, organization, and year."
Delayed due to resource shortage and other priorities,Performance Evaluations from PASSPort for specific vendor(s)
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team",List of community board appointments by the Queens Borough President's Office
"The dataset included various complex analyses, which require further review. NYCEM looks forward to publishing the dataset once the analyses have concluded.","A repository of documented hazard events in New York City from the Hazard History and Consequence Tool (HHC), a feature of the NYC Hazard Mitigation Plan. (https://nychazardhistory.com/About.aspx )"
,"List of NYC properties, which includes property address, owner name and mailing address, and mail recipient name and mailing address"
This data is already available to the public on TLC's website and TLC is working to add crash data to Open Data.,This dataset is the Fatal and Critical Injury Crash Review and Enforcement Report for Cooper's Law and Local Law 28 of 2014.
"TLC's IT division has prioritized other internal and external requests to help TLC licensees. Licensees are currently able to see their own license statuses, renewal timelines, inspection schedules, and more through a portal (TLCUP). Therefore, the need for these data sets is not as high as before and the agency has not made these data sets a priority.","This list will mirror the Medallion Taxi Initial Inspection Schedule dataset, to include information for FHV inspections."
The release of this dataset is delayed due to impact of available resources.,"List of supermarkets that provide a dollar for dollar match on SNAP purchases of eligible fruits, vegetables and beans through the Get the Good Stuff program"
,"Data includes drownings that resulted in death from permitted NYC beaches as reported to NYC Health Department in accordance with NYC Health Code 167.33. Drownings that occur at non-permitted beaches or other waterbodies such as federal beaches, ponds, rivers, or bathtubs are not reported to NYC Health and therefore not included in this dataset."
This dataset is delayed due to limited staff capacity and competing priorities.,This report reviews annual progress implementing the audit and retro-commissioning requirements of LL87 of 2009
,"Demographic information from SYEP applications including borough, race, and gender."
The release of this dataset is delayed due to impact of available resources.,Inspection data for commissaries
"Due to inactivity, the scheduled publication date was reprioritized by the Open Data team",Analysis and reporting of citywide ethnic and racial underutilization and adverse impact
Issues regarding consistency of budget structures with other agency datasets,"IBO's forecast of expense adjustments within the current financial plan window. Adjustments are re-estimates of OMB published data and result in higher or lower forecasts of expenditures. Available at an agency level, with the exception of certain noted costs that span multiple agencies. Produced as part of IBO's charter mandated reports that provide an independent estimate of the city's fiscal position."
,The Greater Transit Zone boundaries are used for several zoning rules. They determine where special rules for Qualifying Residential Sites are applicable and how non-residential parking is calculated in some zoning districts. Being located within the Greater Transit Zone may allow for more or different development opportunities.
Work on this dataset is in progress and will be released as a larger comprehensive dataset,Data summaries of NYC neighborhoods by ZIP code to see how COVID-19 is affecting communities.
,All events attended by the office of the Brooklyn Borough President.
"TLC's IT division has prioritized other internal and external requests to help TLC licensees. Licensees are currently able to see their own license statuses, renewal timelines, inspection schedules, and more through a portal (TLCUP). Therefore, the need for these data sets is not as high as before and the agency has not made these data sets a priority.",This dataset lists drivers who have been suspended or revoked by the NYS Department of Motor Vehicles (DMV). The NYS DMV notifies the TLC of license suspensions through the License Event Notification Service (LENS) program.
,Provides data related to LGBTQIA+ homeless population who is served by the Department of Homeless Services (DHS).
OLR is in the process of preparing this data for publication.,Employee premium rates for City-offered health plans for Medicare-eligible retirees
Dataset compilation delayed due development of new form and process for collecting data,"The number of times police officers sought and received consent to search an individual, his or her property, vehicle, or home."
,Provides data related to removals involving individuals experiencing homelessness and the outcomes for those individuals
"TLC's IT division has prioritized other internal and external requests to help TLC licensees. Licensees are currently able to see their own license statuses, renewal timelines, inspection schedules, and more through a portal (TLCUP). Therefore, the need for these data sets is not as high as before and the agency has not made these data sets a priority.",This dataset includes a list of paratransit vehicles that are current and in good standing to pick up passengers. Paratransit Vehicles provide pre-arranged transportation for passengers with disabilities. Most of the service takes individuals to and from health care facilities.
Delayed due to resource shortage and other priorities,"Displays current parent/controlling entities, affiliates, and controlled entities disclosed by the vendor. Entities that appear below have enrolled in PASSPort and disclosed responsive information."
Delayed due to resource shortage and other priorities,"Contracts initiated in PASSPort, the City of New York’s end-to-end digital procurement platform.   [	PASSPort Contracts, Solicitations and Vendors are published publicly in PASSPort Public -> https://a0333-passportpublic.nyc.gov/  ]"
,List of all childcare sites with complete and incomplete inspections
,"Data, statistics, and other objective information showing the number of sentenced individuals 
who participated in the work release program in each month of 2020, 2021, and 2022; the identities 
of the persons who participated in the work release program in each month of 2020, 2021, and 2022;  and the crimes of conviction for each of the persons who participated in each month of 2020, 2021, and 2022."
