borough,supervision_closing_type,month,year,supervision_closing_count
Citywide,Other,January,2023,37
Citywide,NeON Neighborhood Opportunity Network,November,2016,50
Citywide,Community Progression,October,2022,70
Citywide,Special Program,June,2022,4
Citywide,Other,December,2023,25
Citywide,Community Progression,March,2023,87
Citywide,ACE Anyone Can Excel,November,2021,72
Citywide,Intensive Engagement,August,2023,30
Citywide,Client Development,December,2022,104
Citywide,Special Program,September,2016,7
Citywide,Client Development,September,2016,56
Citywide,ACE Anyone Can Excel,April,2022,61
Citywide,Other,November,2021,22
Citywide,Community Progression,May,2022,111
Citywide,Special Program,August,2022,2
Citywide,ACE Anyone Can Excel,February,2022,62
Citywide,Client Development,January,2022,113
Citywide,Central Interstate Unit,December,2022,18
Citywide,Special Program,November,2016,7
Citywide,ACE Anyone Can Excel,January,2017,21
Citywide,Special Program,April,2023,2
Citywide,Central Interstate Unit,September,2016,23
Citywide,Central Interstate Unit,December,2016,29
Citywide,Intensive Engagement,December,2022,35
Citywide,Community Progression,July,2022,83
Citywide,Other,April,2022,24
Citywide,Community Progression,June,2022,113
Citywide,Community Progression,August,2021,94
Citywide,NeON Neighborhood Opportunity Network,November,2021,62
Citywide,Intensive Engagement,May,2022,35
Citywide,Client Development,September,2021,93
Citywide,Central Interstate Unit,July,2023,17
Citywide,Other,September,2016,0
Citywide,ACE Anyone Can Excel,October,2022,54
Citywide,Other,March,2023,41
Citywide,Central Interstate Unit,February,2023,18
Citywide,Other,December,2021,23
Citywide,Other,June,2022,27
Citywide,Client Development,September,2022,108
Citywide,Central Interstate Unit,February,2022,7
Citywide,ACE Anyone Can Excel,September,2022,44
Citywide,Client Development,November,2016,50
Citywide,Client Development,December,2021,91
Citywide,Intensive Engagement,August,2022,26
Citywide,Other,August,2023,36
Citywide,Central Interstate Unit,December,2021,9
Citywide,NeON Neighborhood Opportunity Network,February,2023,73
Citywide,Client Development,August,2021,103
Citywide,ACE Anyone Can Excel,December,2022,62
Citywide,Other,August,2022,37
Citywide,Other,November,2022,18
Citywide,NeON Neighborhood Opportunity Network,January,2022,73
Citywide,Central Interstate Unit,November,2021,12
Citywide,Central Interstate Unit,September,2022,13
Citywide,Central Interstate Unit,May,2022,22
Citywide,NeON Neighborhood Opportunity Network,April,2023,59
Citywide,NeON Neighborhood Opportunity Network,December,2021,73
Citywide,Other,November,2016,4
Citywide,Client Development,February,2022,92
Citywide,Central Interstate Unit,March,2023,23
Citywide,Central Interstate Unit,August,2022,15
Citywide,Community Progression,April,2023,86
Citywide,Special Program,October,2022,4
Citywide,Community Progression,February,2022,111
Citywide,Intensive Engagement,July,2023,22
Citywide,Intensive Engagement,September,2016,24
Citywide,Community Progression,September,2016,410
Citywide,Special Program,December,2016,3
Citywide,NeON Neighborhood Opportunity Network,January,2023,90
Citywide,Central Interstate Unit,January,2023,13
Citywide,Intensive Engagement,February,2023,42
Citywide,Special Program,November,2021,2
Citywide,Community Progression,November,2021,124
Citywide,Special Program,August,2023,13
Citywide,Community Progression,November,2016,418
Citywide,NeON Neighborhood Opportunity Network,March,2022,90
Citywide,Client Development,July,2022,88
Citywide,ACE Anyone Can Excel,June,2022,60
Citywide,NeON Neighborhood Opportunity Network,March,2023,83
Citywide,Other,September,2022,27
Citywide,Client Development,April,2022,95
Citywide,Client Development,November,2021,108
Citywide,ACE Anyone Can Excel,July,2022,75
Citywide,ACE Anyone Can Excel,September,2021,76
Citywide,NeON Neighborhood Opportunity Network,May,2022,67
Citywide,ACE Anyone Can Excel,July,2023,38
Citywide,Special Program,November,2022,3
Citywide,ACE Anyone Can Excel,February,2023,43
Citywide,Intensive Engagement,March,2023,20
Citywide,Special Program,September,2021,0
Citywide,Intensive Engagement,August,2021,23
Citywide,Community Progression,December,2021,100
Citywide,NeON Neighborhood Opportunity Network,November,2022,87
Citywide,Special Program,February,2023,2
Citywide,Client Development,May,2022,107
Citywide,Central Interstate Unit,March,2022,21
Citywide,Community Progression,August,2023,75
Citywide,ACE Anyone Can Excel,August,2021,70
Citywide,Central Interstate Unit,October,2022,15
Citywide,NeON Neighborhood Opportunity Network,July,2023,59
Citywide,Intensive Engagement,April,2023,28
Citywide,Community Progression,December,2022,82
Citywide,Intensive Engagement,December,2021,31
Citywide,Client Development,August,2022,102
