shape_area,freq_bulk
5991840.64779709,"Wed, Sat"
50140038.8625276,Wed
16324935.0109781,"Tue, Fri"
19812211.3665392,"Mon, Thu"
7510079.80488635,"Wed, Sat"
8048238.29235116,"Mon, Wed, Fri"
8802669.99568055,"Tue, Thu, Sat"
3620769.18386111,"Wed, Sat"
9491432.80865363,"Tue, Thu, Sat"
11663520.3508376,Tue
9451134.38181717,Fri
4969367.81172999,"Mon, Wed, Fri"
3364964.66963949,"Wed, Sat"
20737851.3834659,"Tue, Fri"
22609631.8538007,"Mon, Thu"
12766283.8881355,"Tue, Thu, Sat"
14233025.683016,"Mon, Thu"
8500104.31060125,"Tue, Thu, Sat"
12770561.2620847,Fri
8755322.72861441,Thu
21799630.694293,"Tue, Fri"
23060359.2400737,"Wed, Sat"
15070445.1576103,"Wed, Sat"
6040855.23963943,"Tue, Thu, Sat"
45717013.7780357,"Tue, Fri"
11572246.4369059,"Mon, Wed, Fri"
12031305.6029388,"Mon, Thu"
11335295.9372091,"Wed, Sat"
22950698.8747797,Tue
4688278.37769532,"Tue, Thu, Sat"
8218887.31034437,Sat
13231543.5070373,Wed
5158448.15434197,"Mon, Wed, Fri"
25291157.0331196,Fri
13055071.6435335,"Tue, Thu, Sat"
16711924.8324831,"Wed, Sat"
6778106.70633931,Tue
8117949.01417436,"Mon, Thu"
7899681.01242493,"Mon, Wed, Fri"
5504890.46756275,"Mon, Wed, Fri"
7417120.17686591,Wed
17519053.9217064,"Tue, Fri"
13102492.0763613,Sat
17205651.8356257,"Tue, Fri"
10447647.9510656,"Mon, Wed, Fri"
35278094.0202876,"Wed, Sat"
4446700.42361432,"Tue, Fri"
41678669.9933525,"Tue, Fri"
2882315.84104316,"Tue, Fri"
16192187.9873063,Mon
6155682.57095533,"Tue, Fri"
7179256.00811441,"Mon, Thu"
11378169.0358829,Sat
10108957.6339266,"Tue, Thu, Sat"
7890577.73881243,"Mon, Thu"
35284309.8361795,Mon
13386075.8504374,"Wed, Sat"
14251554.6264667,"Tue, Thu, Sat"
11392269.742065,Sat
8997268.39186471,"Mon, Wed, Fri"
11158715.6700055,"Wed, Sat"
11692306.9469568,"Mon, Thu"
32858648.4547672,Thu
3927200.68119836,"Tue, Fri"
10805900.1143174,Thu
7475340.42948349,Thu
5681866.29830453,"Tue, Fri"
13260127.7069173,"Wed, Sat"
8981560.65629995,"Tue, Thu, Sat"
8739708.43730147,"Mon, Thu"
9421335.18594874,"Tue, Fri"
7439515.700506,"Tue, Thu, Sat"
4347696.451745,"Tue, Fri"
21437821.3686347,"Tue, Fri"
3573785.0871915,"Mon, Thu"
17990850.2184088,Wed
10138209.2678662,"Tue, Thu, Sat"
10159915.2726137,Sat
8893687.05966211,"Tue, Fri"
14545658.3243337,"Wed, Sat"
8873333.96215266,"Mon, Thu"
35952106.3344242,"Tue, Thu, Sat"
14047130.1137463,"Tue, Thu, Sat"
9895639.89615481,"Tue, Fri"
12554804.0264227,"Wed, Sat"
7985477.76867145,"Mon, Thu"
6692100.33815365,"Wed, Sat"
4859626.73594711,"Mon, Thu"
8923406.67329393,Fri
8982009.41888123,"Mon, Wed, Fri"
26140081.7400884,"Tue, Fri"
8916509.73048491,"Wed, Sat"
8815877.47499313,"Mon, Wed, Fri"
15386937.7691443,"Mon, Wed, Fri"
2755619.15057476,"Mon, Wed, Fri"
10595661.2957066,Thu
14209301.8236532,Wed
7149382.58264272,"Tue, Thu, Sat"
7970248.50443776,"Mon, Wed, Fri"
10183490.0750757,"Wed, Sat"
6392923.2699539,Mon
7268303.13014731,Mon
3510053.35444817,"Tue, Thu, Sat"
12901720.9749056,"Mon, Thu"
8717674.48474087,"Tue, Thu, Sat"
9959040.19345157,"Mon, Wed, Fri"
7733852.45600824,"Mon, Thu"
15428890.0885359,"Tue, Thu, Sat"
25243056.2526245,"Mon, Thu"
24068157.2407771,"Mon, Wed, Fri"
7591387.79205666,Tue
4554883.76461564,"Mon, Thu"
4384425.96680338,"Wed, Sat"
9385268.35301306,"Tue, Fri"
6868738.40961469,"Tue, Thu, Sat"
7641604.38441809,"Mon, Wed, Fri"
7501020.2893887,Fri
11222798.6468098,"Wed, Sat"
5698702.86862469,"Mon, Thu"
5662723.19717227,"Mon, Thu"
11079844.163673,"Tue, Fri"
7686641.01659401,Sat
16404232.1636106,"Mon, Wed, Fri"
6668658.44244383,"Mon, Wed, Fri"
8213491.70183899,"Wed, Sat"
