schedulecode,objectid,shape_area,freq_recycling
3011B,159,14047130.1137463,Tue
2011B,82,7080734.60367411,Tue
3043B,192,13055071.6435335,Thu
3031B,178,8802669.99568055,Thu
4073D,438,6155682.57095533,Fri
3121D,275,3927200.68119836,Fri
5037D,606,45717013.7780357,Fri
4074C,440,17574941.3435303,Mon
3155D,323,4360904.06874955,Fri
5024C,584,56184760.6085141,Thu
4022D,385,4347696.451745,Fri
4022E,386,13386075.8504374,Sat
3151C,310,6392923.2699539,Thu
3062E,210,3012632.95202474,Wed
4082E,460,9743410.64932983,Wed
1051B,26,9491432.80865363,Tue
4115D,504,19772021.5370258,Tue
2112C,137,11035160.1240418,Thu
1041A,19,5164090.93307686,Fri
4062C,428,25243056.2526245,Thu
2062A,102,23569366.6230719,Wed
5032D,591,17205651.8356257,Tue
4061E,427,10183490.0750757,Wed
4114E,502,18516200.67295,Sat
3031A,177,12015715.4223187,Wed
3132B,296,35952106.3344242,Tue
4121D,510,8309196.73029323,Tue
3082B,235,7149382.58264272,Thu
2093E,121,11158715.6700055,Sat
3151E,312,7417120.17686591,Sat
3104C,253,10805900.1143174,Mon
3114E,267,4384425.96680338,Wed
3091B,239,7439515.700506,Sat
3187C,359,8873333.96215266,Mon
5034C,596,11692306.9469568,Thu
1033B,16,3510053.35444817,Sat
5035D,600,16324935.0109781,Fri
5012E,568,18424647.6930949,Sat
4132D,534,26140081.7400884,Fri
4143C,560,16192187.9873063,Thu
3142C,301,4859626.73594711,Mon
4041E,402,7683993.73212012,Wed
4093D,474,7501020.2893887,Tue
4012E,367,9662878.13851915,Sat
3132D,298,4446700.42361432,Thu
3033B,182,8717674.48474087,Tue
4137C,548,14233025.683016,Mon
4077E,451,15327059.9498601,Sat
2111E,136,12554804.0264227,Wed
3116E,273,6988054.90613748,Sat
3064C,214,7475340.42948349,Thu
3172B,332,10138209.2678662,Tue
3043A,191,8982009.41888123,Wed
1011A,1,11572246.4369059,Fri
3082A,234,8048238.29235116,Wed
1032A,13,5504890.46756275,Wed
1061A,29,7641604.38441809,Wed
3123C,280,4814740.32711652,Thu
3051C,193,13201410.6037217,Mon
4143D,561,11663520.3508376,Fri
3122C,277,3573785.0871915,Mon
4122E,514,13260127.7069173,Wed
4112C,494,10595661.2957066,Thu
3123E,282,5209638.8105357,Sat
5033D,594,17294801.9646099,Tue
4112E,496,12473795.5931619,Sat
2053A,99,4793300.19469731,Mon
3054E,204,13540135.9110809,Wed
1082A,47,5158448.15434197,Fri
2094D,123,17519053.9217064,Fri
4052C,413,7268303.13014731,Thu
5013E,571,31080325.4030324,Wed
2122D,147,8893687.05966211,Tue
3054C,202,17331067.69269,Thu
4022C,384,7985477.76867145,Thu
4072C,434,8755322.72861441,Mon
3093A,242,6668658.44244383,Wed
4081E,457,11378169.0358829,Wed
3101E,246,7686641.01659401,Wed
3121C,274,5662723.19717227,Thu
3073D,227,2882315.84104316,Fri
3042B,190,8981560.65629995,Sat
4101E,481,11392269.742065,Wed
4113E,499,9936314.74137104,Wed
4021E,382,16711924.8324831,Wed
3111E,258,5991840.64779709,Sat
3091A,238,7970248.50443776,Fri
3126C,289,7179256.00811441,Mon
3152E,315,8718572.80351298,Wed
1075A,43,4871419.30063032,Mon
1083A,49,4458015.05619666,Wed
4032C,394,6675899.47382824,Thu
2124E,154,7510079.80488635,Sat
3083A,236,9113304.46642642,Fri
5038C,608,19515507.9553438,Thu
4083D,462,22950698.8747797,Fri
3032B,180,7630916.77542034,Tue
2091A,116,9036994.35590996,Mon
3012B,161,13841083.0957577,Thu
2092A,118,10447647.9510656,Wed
4012D,366,5681866.29830453,Fri
1084A,51,2755619.15057476,Fri
2111C,134,7890577.73881243,Mon
2123E,151,11335295.9372091,Wed
3015A,166,14139301.0524475,Fri
5024E,586,116054474.685404,Sat
3186D,357,10114208.1411699,Tue
5031D,588,21437821.3686347,Tue
4051E,412,17990850.2184088,Sat
1093A,59,7899681.01242493,Fri
4011E,364,3620769.18386111,Sat
4142D,558,12728645.6523253,Fri
4143E,562,13231543.5070373,Sat
1052B,28,15428890.0885359,Thu
4012C,365,12901720.9749056,Thu
4033D,398,5521441.08393317,Tue
4126E,526,8315169.61713769,Sat
4054E,421,13102492.0763613,Wed
2101D,126,17726315.6813175,Tue
4134D,540,9031397.48656694,Fri
1124B,80,14251554.6264667,Sat
1061B,30,6520135.81904823,Thu
4135D,543,9421335.18594874,Tue
4075D,444,12770561.2620847,Tue
4113C,497,11255387.9629925,Mon
3173D,334,9847804.61521729,Tue
3183E,349,8916509.73048491,Sat
4093C,473,8712037.48732284,Mon
4033C,397,8117949.01417436,Mon
2041B,90,7280805.13213805,Tue
3113E,264,3364964.66963949,Wed
5023E,583,15070445.1576103,Sat
4082D,459,13072491.9093261,Tue
3126D,290,11079844.163673,Tue
3132A,295,13583772.6197106,Fri
4135C,542,12385280.7682618,Mon
3184C,350,22609631.8538007,Thu
1121B,74,8500104.31060125,Thu
4023E,390,23060359.2400737,Sat
3041B,188,6868738.40961469,Tue
2094C,122,19812211.3665392,Thu
3011A,158,16404232.1636106,Mon
1063B,34,4688278.37769532,Sat
2111D,135,9385268.35301306,Tue
3115C,268,6207469.75958364,Thu
1043A,23,4969367.81172999,Wed
5037E,607,35278094.0202876,Wed
4014C,371,4554883.76461564,Mon
2082B,112,8284299.90030718,Tue
3151D,311,6778106.70633931,Fri
5011D,564,20737851.3834659,Tue
3171B,330,6040855.23963943,Sat
3154E,321,14209301.8236532,Sat
4015D,375,9895639.89615481,Fri
1084B,52,4587294.94987372,Sat
4133E,538,14545658.3243337,Sat
3141B,300,12766283.8881355,Sat
3014B,165,12625583.7381003,Sat
2121C,143,7733852.45600824,Mon
4102D,483,8923406.67329393,Tue
5032C,590,12031305.6029388,Mon
3081A,232,8815877.47499313,Mon
4094E,478,10159915.2726137,Wed
4111E,493,8218887.31034437,Wed
2052A,97,4576971.95814837,Wed
4141E,556,10223615.9624668,Wed
3187D,360,41678669.9933525,Tue
3051E,195,8213491.70183899,Wed
3153C,316,17390374.7059227,Mon
4043C,407,5698702.86862469,Thu
2121D,144,6449699.4141677,Fri
5014C,572,80487817.3452892,Thu
3125C,286,7296650.83304753,Thu
1031B,12,7881606.60376898,Sat
3061D,206,25291157.0331196,Tue
4116C,506,10173303.4233622,Thu
2102C,128,18887121.3341624,Thu
4142E,559,50140038.8625276,Sat
3162A,327,15386937.7691443,Fri
2051A,95,9959040.19345157,Fri
4052D,414,6732900.68540488,Fri
3072E,225,9769746.06260238,Wed
4013E,370,8629168.86508287,Wed
3185E,355,6692100.33815365,Wed
5021C,575,25789684.4212533,Mon
4115C,503,32858648.4547672,Mon
3034A,183,8997268.39186471,Fri
3183C,347,8739708.43730147,Thu
3103D,251,7591387.79205666,Fri
5034D,597,21799630.694293,Fri
3032A,179,7133469.40319395,Wed
2051B,96,10108957.6339266,Sat
2012A,83,24068157.2407771,Fri
3181E,343,11222798.6468098,Sat
1022B,8,5360608.9608031,Tue
2103D,132,21375652.5855406,Fri
4113D,498,9451134.38181717,Tue
2094E,124,7773358.63747413,Sat
4142C,557,35284309.8361795,Thu
3052D,197,9429520.14336887,Tue
