schedulecode,shape_length
2091A,13865.9336937643
2052A,10503.0299384226
1124B,21565.1198004583
3172B,13558.1363540392
4022C,15893.0576490776
3033B,12085.7222859025
5038C,23011.704752224
4021E,20335.1751746168
3126D,15534.1024403241
4135C,17278.1696149426
4142D,16424.1388547769
4133E,22168.4250156561
1061A,14415.6001670411
3061D,58173.3585196323
3184C,37833.0177844471
1083A,9040.19278444747
3054E,32180.9785569963
2102C,43466.2453274298
4062C,27863.7101245005
3012B,18943.6191573742
3152E,14730.3949003578
1082A,9647.99631189909
5034C,16858.4953475327
4113D,13873.7967660274
3054C,29356.1448609233
4012E,13923.5895820949
3051C,19777.4089674188
3121C,9954.08459776838
2082B,14675.7116326121
2121D,13070.9982308917
4014C,9803.79261635294
3091B,12629.7132979655
4073D,12719.7918250367
2053A,10816.2337833602
4082E,13801.7477903492
2012A,20417.1117049801
3042B,13371.7314486768
3142C,10837.9422395283
2051A,16374.437279592
4013E,13353.8817177692
3123C,9149.35047146541
4032C,10753.8693966082
3041B,11524.1560887715
4141E,14619.983346453
4122E,16692.5717778739
1041A,11525.7997341871
3122C,7865.08303327116
5021C,24992.9561869919
2094D,18277.146180888
1084A,7103.8257839537
3073D,6997.68136895649
3186D,17717.0039679902
3162A,17715.6016422825
3126C,13152.6214431344
3052D,20394.5754213336
4041E,16506.0019746385
2123E,16212.0903835104
5031D,22051.5597367416
5032D,21272.4344658565
4074C,22088.906656769
4143E,21985.8314476676
1121B,14496.7550546579
4081E,16182.938659151
5033D,35307.3693211637
4134D,13015.4395957684
2041B,13730.3366378587
4142C,62859.0742779447
1043A,15654.9635226194
3132D,14085.7901123896
4143C,24247.1181562534
3011A,24750.9263869211
2124E,12176.8565785796
3062E,7525.96837560995
3064C,12670.597030109
4135D,14397.8628121847
2122D,13838.4170616333
4112C,14304.4564900567
2051B,16788.326068788
3111E,10381.9663734946
5037D,33276.8908066851
4143D,17462.3724279388
3151C,11836.167997362
4113C,20609.1721104514
4075D,21096.8388893298
4052C,13459.5421171472
3032B,11325.8380201618
4033C,12303.9165394142
1061B,15280.4873705478
4012C,23745.1661603724
3132A,16810.0644234043
5024C,35442.181727835
4121D,12139.6197095965
4116C,17868.8873234681
2103D,28372.4113537115
5037E,25398.7833778306
4126E,12319.8804641392
3113E,7695.15030491817
3082B,11143.0260978142
1032A,11340.6532505456
2111C,11772.5289012646
5034D,21580.2197742426
3114E,9477.24468074727
3185E,11097.0343511199
1022B,12769.4277060548
3187D,79979.5640530157
3132B,38232.7571466879
3031A,14557.9003233449
4094E,13641.3661985429
3091A,13172.8751364997
1011A,21656.5116991314
4033D,10661.2421751811
3032A,11206.1765094034
4077E,17842.4130592228
2101D,39666.232277153
4051E,23938.1938463079
5032C,21497.2581711848
4137C,19857.2650459236
2094E,11714.4687502987
3181E,19645.1124608343
2092A,14251.8243833258
3034A,13157.7706172281
5024E,63865.0477341068
1033B,7759.25660400309
3116E,13054.3242527437
1093A,13157.5918674307
3015A,26791.7510309162
2111E,18635.1377869657
3155D,10362.4171139813
4113E,15069.6415459827
3125C,13280.5489897232
4112E,16921.6564563828
4111E,13029.2522693046
3141B,18116.3258957423
4054E,18770.8057980082
2112C,14961.0328591918
5013E,29511.4185614237
1052B,19066.3709514044
3043A,14268.941801141
4012D,10481.9390229634
3151D,12637.6357489825
1075A,8964.90103434967
3093A,11391.0108722818
4132D,26402.105883674
3151E,14106.5009648587
3051E,13470.7444831975
2011B,11201.1679764591
4115C,31876.4242676029
4093C,15570.4605512482
4082D,16168.3522246535
3183E,14211.2844870226
2094C,33015.5307158559
3043B,19443.894384068
3101E,14990.6157318981
4142E,71331.1111813511
4043C,13269.3544594825
2062A,28037.7507511954
4011E,7702.14836783042
4072C,13840.0118358918
4093D,13416.3699047649
4023E,23091.3559250252
3104C,14667.5369107134
5012E,25918.4756301159
4114E,21028.3318643299
3103D,12203.1076300935
3081A,12685.5431358811
3031B,13396.362383148
3154E,32737.8398058583
4101E,18598.5664565827
3072E,21702.4883039686
1084B,9577.47533783877
3083A,13767.5174825114
5014C,64694.5939193773
3171B,11311.0085214765
4102D,12816.4363382682
4022E,18124.4604065598
3187C,15792.9003306014
5035D,18366.2603475081
3173D,14370.8044489761
5011D,32881.8036321054
1063B,9029.35793726652
2121C,15046.0478620407
3011B,19559.2410514185
5023E,22226.6184019607
1051B,14034.0441100836
3123E,9308.7799399349
4061E,17678.8205428543
3014B,20301.5231358044
4015D,17668.9847265281
3121D,8371.28074497945
2093E,22216.7137486368
3153C,33320.8727796372
4083D,23682.3076377693
3082A,12068.3038172678
2111D,18323.083457222
1031B,13049.1053775925
4115D,25391.9753920792
3115C,12440.7106825422
3183C,12566.9013162799
4022D,10913.5131342132
4052D,10581.3481380512
