freq_resfuseid,frequency,section
BKS142MH,C,BKS142
SI021MH,C,SI021
MN121THS,B,MN121
BKS062WS,E,BKS062
MN084MWF,A,MN084
QE072MH,C,QE072
BKS132MWF,A,BKS132
BKS152WS,E,BKS152
QE135TF,D,QE135
BX093WS,E,BX093
MN093MWF,A,MN093
QE112MH,C,QE112
QW012TF,D,QW012
SI035TF,D,SI035
SI037TF,D,SI037
BKS132TF,D,BKS132
SI037WS,E,SI037
BKS113WS,E,BKS113
QW033MH,C,QW033
QE111WS,E,QE111
MN083MWF,A,MN083
QE102TF,D,QE102
QE083TF,D,QE083
BX121MH,C,BX121
MN082MWF,A,MN082
BX103TF,D,BX103
QW051WS,E,QW051
QE132TF,D,QE132
MN051THS,B,MN051
QW093TF,D,QW093
BX052MWF,A,BX052
QW012MH,C,QW012
BKN082MWF,A,BKN082
BKN091THS,B,BKN091
BKS122MH,C,BKS122
MN022THS,B,MN022
BKS181WS,E,BKS181
BKS151WS,E,BKS151
BX082THS,B,BX082
BKS121MH,C,BKS121
QE082WS,E,QE082
BKN015MWF,A,BKN015
MN043MWF,A,MN043
SI032MH,C,SI032
BX091MWF,A,BX091
QE141WS,E,QE141
QE081WS,E,QE081
BKN083MWF,A,BKN083
BKN051MH,C,BKN051
QE113TF,D,QE113
BKN054WS,E,BKN054
QE133WS,E,QE133
QE137MH,C,QE137
QW093MH,C,QW093
BKS187TF,D,BKS187
BKS185WS,E,BKS185
BX094MH,C,BX094
BKS183MH,C,BKS183
SI024MH,C,SI024
QE122WS,E,QE122
BKS187MH,C,BKS187
QE121TF,D,QE121
BKS101WS,E,BKS101
QW022TF,D,QW022
QW094WS,E,QW094
BX011THS,B,BX011
BKS104MH,C,BKS104
BX111WS,E,BX111
BKS123WS,E,BKS123
BKN014THS,B,BKN014
BKS103TF,D,BKS103
BX094WS,E,BX094
QW013WS,E,QW013
QW023WS,E,QW023
QE113WS,E,QE113
BKN091MWF,A,BKN091
MN052THS,B,MN052
QW011WS,E,QW011
BKS155TF,D,BKS155
QE074MH,C,QE074
BKN054MH,C,BKN054
QE116MH,C,QE116
QE113MH,C,QE113
SI011TF,D,SI011
BX121TF,D,BX121
BX123WS,E,BX123
BKS141THS,B,BKS141
SI034MH,C,SI034
BKS116WS,E,BKS116
BX012MWF,A,BX012
BKN173TF,D,BKN173
BKS126TF,D,BKS126
BKN032MWF,A,BKN032
BKS126MH,C,BKS126
BX041THS,B,BX041
BKN171THS,B,BKN171
QW054WS,E,QW054
QE142WS,E,QE142
MN011MWF,A,MN011
QW022WS,E,QW022
BKS115MH,C,BKS115
QE143TF,D,QE143
QE112WS,E,QE112
BKS072WS,E,BKS072
BKN011THS,B,BKN011
BKN041THS,B,BKN041
MN041MWF,A,MN041
QW033TF,D,QW033
QE073TF,D,QE073
SI032TF,D,SI032
SI038MH,C,SI038
QE115MH,C,QE115
BX101TF,D,BX101
SI014MH,C,SI014
SI023WS,E,SI023
QE077WS,E,QE077
BKS064MH,C,BKS064
QW052MH,C,QW052
BKS073TF,D,BKS073
QW052TF,D,QW052
BKS151MH,C,BKS151
SI012WS,E,SI012
QW015TF,D,QW015
BKS153MH,C,BKS153
MN032MWF,A,MN032
QW014MH,C,QW014
BX092MWF,A,BX092
SI031TF,D,SI031
QW012WS,E,QW012
QE115TF,D,QE115
BKN081MWF,A,BKN081
MN084THS,B,MN084
BKN082THS,B,BKN082
BX111TF,D,BX111
SI024WS,E,SI024
BKS121TF,D,BKS121
BKN034MWF,A,BKN034
QW032MH,C,QW032
BKS186TF,D,BKS186
BKN162MWF,A,BKN162
QE101WS,E,QE101
BX124WS,E,BX124
BKS151TF,D,BKS151
BKN042THS,B,BKN042
BX111MH,C,BX111
BKN043THS,B,BKN043
BX053MWF,A,BX053
SI013WS,E,SI013
MN061THS,B,MN061
SI033TF,D,SI033
QW062MH,C,QW062
BKS125MH,C,BKS125
BKS184MH,C,BKS184
QE142MH,C,QE142
BX051MWF,A,BX051
BKS061TF,D,BKS061
BKS154WS,E,BKS154
MN075MWF,A,MN075
BKN052TF,D,BKN052
BKN051WS,E,BKN051
BX122TF,D,BX122
BKS183WS,E,BKS183
QE075TF,D,QE075
BKN032THS,B,BKN032
MN061MWF,A,MN061
BX051THS,B,BX051
BKN011MWF,A,BKN011
MN033THS,B,MN033
BKS123MH,C,BKS123
BKS132THS,B,BKS132
BKN012THS,B,BKN012
MN124THS,B,MN124
QW041WS,E,QW041
BX112MH,C,BX112
QW043MH,C,QW043
MN031THS,B,MN031
QW061WS,E,QW061
BX102MH,C,BX102
BKN172THS,B,BKN172
QE143WS,E,QE143
BKS114WS,E,BKS114
QE135MH,C,QE135
QE114WS,E,QE114
QE143MH,C,QE143
QE082TF,D,QE082
MN063THS,B,MN063
BX094TF,D,BX094
SI034TF,D,SI034
QW021WS,E,QW021
BKN031MWF,A,BKN031
BKN043MWF,A,BKN043
BKN031THS,B,BKN031
QE134TF,D,QE134
QE142TF,D,QE142
BKN093MWF,A,BKN093
BKN033THS,B,BKN033
BX062MWF,A,BX062
BKS111WS,E,BKS111
QE126WS,E,QE126
QW022MH,C,QW022
