help_friend_post,abuse_lgbtq_pre
Agree,Agree
Disagree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Disagree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Disagree
Agree,Disagree
Agree,Disagree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Disagree
Agree,Disagree
Agree,Disagree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Disagree
Disagree,Disagree
Agree,Agree
Agree,Agree
Disagree,Disagree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Disagree,Disagree
Disagree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Disagree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Disagree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Disagree
Disagree,Agree
Agree,Disagree
Agree,Disagree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Disagree,Agree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Disagree,Agree
Disagree,Disagree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Disagree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Agree
Disagree,Disagree
Agree,Agree
Disagree,Disagree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Disagree
Disagree,Agree
Agree,Agree
Disagree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Agree,Agree
Agree,Disagree
Agree,Agree
Disagree,Agree
Disagree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Agree,Agree
Disagree,Agree
Agree,Agree
