engage_act_pre,bullied_pre,men_control_pre,abuse_lgbtq_post,close_friends_pre,solve_problems_post
Disagree,Agree,Disagree,Agree,Not Sure,Agree
Agree,Disagree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Not Sure,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Disagree,Agree,Agree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Not Sure,Agree
Disagree,Agree,Agree,Agree,Not Sure,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Agree,Agree,Unhealthy,Disagree
Agree,Disagree,Disagree,Agree,Not Sure,Agree
Agree,Agree,Disagree,Disagree,Healthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Disagree,Disagree,Agree,Unhealthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Agree,Agree,Healthy,Agree
Agree,Disagree,Agree,Agree,Healthy,Agree
Disagree,Agree,Agree,Agree,Healthy,Agree
Disagree,Agree,Disagree,Agree,Healthy,Agree
Disagree,Agree,Agree,Agree,Not Sure,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Disagree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Agree,Agree,Not Sure,Agree
Agree,Agree,Agree,Agree,Not Sure,Agree
Disagree,Disagree,Agree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Unhealthy,Agree
Agree,Disagree,Agree,Agree,Healthy,Agree
Disagree,Agree,Disagree,Disagree,Healthy,Disagree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Disagree,Agree,Agree,Healthy,Agree
Disagree,Disagree,Disagree,Agree,Unhealthy,Disagree
Disagree,Agree,Disagree,Agree,Not Sure,Agree
Agree,Disagree,Agree,Agree,Not Sure,Agree
Agree,Agree,Disagree,Agree,Unhealthy,Agree
Disagree,Agree,Disagree,Agree,Not Sure,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Disagree,Agree,Disagree,Agree,Unhealthy,Agree
Disagree,Agree,Agree,Agree,Not Sure,Agree
Agree,Agree,Agree,Agree,Unhealthy,Agree
Agree,Agree,Agree,Agree,Not Sure,Agree
Disagree,Agree,Disagree,Agree,Healthy,Agree
Disagree,Disagree,Agree,Agree,Not Sure,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Disagree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Disagree,Healthy,Agree
Disagree,Agree,Disagree,Agree,Unhealthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Disagree,Agree,Agree,Agree,Unhealthy,Agree
Agree,Agree,Disagree,Agree,Unhealthy,Agree
Agree,Disagree,Disagree,Agree,Healthy,Agree
Disagree,Disagree,Disagree,Agree,Unhealthy,Agree
Disagree,Agree,Agree,Agree,Unhealthy,Agree
Agree,Disagree,Disagree,Agree,Unhealthy,Disagree
Agree,Agree,Disagree,Disagree,Healthy,Disagree
Agree,Disagree,Agree,Agree,Unhealthy,Agree
Agree,Agree,Disagree,Disagree,Healthy,Agree
Agree,Disagree,Agree,Agree,Unhealthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Healthy,Agree
Disagree,Disagree,Disagree,Agree,Healthy,Agree
Disagree,Agree,Agree,Agree,Healthy,Disagree
Agree,Agree,Disagree,Disagree,Healthy,Disagree
Disagree,Agree,Agree,Agree,Healthy,Disagree
Agree,Agree,Disagree,Agree,Healthy,Agree
Disagree,Agree,Agree,Agree,Not Sure,Agree
Agree,Agree,Disagree,Disagree,Healthy,Disagree
Agree,Agree,Agree,Agree,Unhealthy,Disagree
Disagree,Agree,Disagree,Agree,Healthy,Agree
Agree,Agree,Disagree,Agree,Not Sure,Agree
Agree,Agree,Agree,Agree,Healthy,Agree
Agree,Disagree,Disagree,Agree,Healthy,Agree
Disagree,Agree,Disagree,Agree,Not Sure,Disagree
