abuse_physical_pre,help_friend_pre,hanging_out_post,close_friends_post,bullied_post,abuse_physical_post,solve_problems_pre
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Not Sure,Agree,Agree,Agree
Agree,Disagree,Not Sure,Not Sure,Agree,Disagree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Not Sure,Healthy,Agree,Agree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Disagree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Agree,Not Sure,Healthy,Agree,Agree,Agree
Disagree,Disagree,Healthy,Not Sure,Agree,Agree,
Agree,Agree,Healthy,Unhealthy,Agree,Agree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Disagree
Disagree,Disagree,Not Sure,Healthy,Disagree,Agree,Disagree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Disagree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Disagree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Healthy,Not Sure,Agree,Disagree,Agree
Disagree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Not Sure,Not Sure,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Not Sure,Agree,Disagree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Disagree
Disagree,Disagree,Unhealthy,Not Sure,Disagree,Agree,Disagree
Disagree,Agree,Not Sure,Not Sure,Agree,Disagree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Not Sure,Healthy,Disagree,Agree,Agree
Agree,Agree,Healthy,Not Sure,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Not Sure,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Disagree,Not Sure,Not Sure,Agree,Agree,Disagree
Disagree,Disagree,Not Sure,Not Sure,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Agree,Not Sure,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Not Sure,Agree,Agree,Agree
Agree,Disagree,Not Sure,Not Sure,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Not Sure,Healthy,Agree,Disagree,Agree
Disagree,Disagree,Not Sure,Not Sure,Disagree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Disagree,Agree,Agree
Disagree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Agree,Not Sure,Not Sure,Agree,Disagree,Agree
Disagree,Agree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Healthy,Not Sure,Disagree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Healthy,Unhealthy,Agree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Disagree,Agree
Agree,Agree,Healthy,Not Sure,Agree,Disagree,Agree
Disagree,Disagree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Disagree,Healthy,Unhealthy,Disagree,Disagree,Agree
Agree,Agree,Not Sure,Not Sure,Disagree,Disagree,Agree
Agree,Disagree,Not Sure,Not Sure,Agree,Agree,Agree
Agree,Agree,,Not Sure,Agree,Disagree,Disagree
Agree,Disagree,Healthy,Healthy,Disagree,Agree,Disagree
Agree,Disagree,Not Sure,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Disagree,Agree,Agree
Agree,Agree,Not Sure,Healthy,Disagree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Disagree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Not Sure,Not Sure,Agree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Healthy,Not Sure,Agree,Agree,Agree
Agree,Agree,Healthy,Not Sure,Agree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Disagree,Agree,Agree
Agree,Agree,Healthy,Unhealthy,Agree,Agree,Agree
Agree,Agree,Not Sure,Healthy,Agree,Agree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Unhealthy,Disagree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Agree,Disagree,Disagree
Agree,Agree,Healthy,Healthy,Disagree,Agree,Agree
Agree,Agree,Unhealthy,Not Sure,Agree,Agree,Agree
Disagree,Agree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Not Sure,Not Sure,Agree,Disagree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Disagree,Healthy,Healthy,Agree,Disagree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Agree,Healthy,Unhealthy,Disagree,Disagree,Disagree
Agree,Agree,Not Sure,Healthy,Agree,Agree,Agree
Disagree,Disagree,Healthy,Healthy,Agree,Agree,Disagree
Disagree,Agree,Healthy,Healthy,Agree,Disagree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Agree,Disagree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Agree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Disagree,Agree
Agree,Agree,Not Sure,Not Sure,Agree,Agree,Agree
Disagree,Disagree,Unhealthy,Healthy,Disagree,Agree,Disagree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Not Sure,Not Sure,Agree,Agree,Disagree
Agree,Agree,Not Sure,Healthy,Agree,Disagree,Agree
Agree,Agree,Healthy,Healthy,Agree,Disagree,Agree
Agree,Agree,Healthy,Not Sure,Agree,,Agree
Disagree,Disagree,Healthy,Healthy,Agree,Agree,Disagree
Agree,Disagree,Healthy,Not Sure,Disagree,Agree,Disagree
Agree,Agree,Not Sure,Healthy,Disagree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Disagree,Not Sure,Healthy,Agree,Agree,Disagree
Disagree,Disagree,Healthy,Healthy,Disagree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Healthy,Healthy,Agree,Agree,Agree
Disagree,Agree,Unhealthy,Not Sure,Disagree,Agree,Agree
Agree,Disagree,Healthy,Healthy,Agree,Agree,Agree
Agree,Agree,Not Sure,Unhealthy,Agree,Disagree,Agree
Disagree,Disagree,Healthy,Healthy,Disagree,Disagree,Disagree
Disagree,Disagree,Healthy,Not Sure,Agree,Agree,Agree
