instances_instances_instance,date,instances_container
Mixed Materials,"1961-1995, 1977-1995",Box I.25
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1758-1952,Volume 0141
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,"1961-1995, 1977-1995",Box I.25
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1758-1952,Volume 0277
Mixed Materials,1758-1952,Volume 0182
Mixed Materials,1758-1952,Volume 022
Mixed Materials,1758-1952,Volume 0202
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 0183
Mixed Materials,1758-1952,Volume 0195
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 0205
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,"1961-1995, 1977-1995",Box I.22
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1758-1952,Volume 054
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,1647-1862,Box 1.2.2
Mixed Materials,1902-1903,Box 1.1
Mixed Materials,1758-1952,Volume 072
Mixed Materials,1758-1952,Volume 092
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,"1961-1995, 1977-1995",Box I.25
Mixed Materials,1758-1952,Volume 0180
Mixed Materials,1758-1952,Volume 0200
Mixed Materials,"1961-1995, 1977-1995",Box I.23
Mixed Materials,1758-1952,Volume 0196
Mixed Materials,"1961-1995, 1977-1995",Box I.24
Mixed Materials,1647-1862,Box 1.2.2
