record_title,instances_container_profile,instances_instances_container
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 448
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 412
Commissioner Idilio Gracia Peña records,,Folder 405
Commissioner Idilio Gracia Peña records,,Folder 463
Commissioner Idilio Gracia Peña records,,Folder 468
New Amsterdam records,,Volume 2
New Amsterdam records,,Volume 2
New Amsterdam records,,Volume 2
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 464
Commissioner Idilio Gracia Peña records,,Folder 451
Almshouse ledgers collection,,
New Amsterdam records,,Volume 2
Mayor Seth Low records,Classic half-size legal detached lid archival storage box,Folder 4
New Amsterdam records,,Volume 2
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 410
Commissioner Idilio Gracia Peña records,,Folder 478
Commissioner Idilio Gracia Peña records,,Folder 515
Commissioner Idilio Gracia Peña records,,Folder 481
New Amsterdam records,,Volume 2
Almshouse ledgers collection,,
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 470
Commissioner Idilio Gracia Peña records,,Folder 482
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 454
Commissioner Idilio Gracia Peña records,,Folder 408
Commissioner Idilio Gracia Peña records,,Folder 510
Commissioner Idilio Gracia Peña records,,Folder 404
New Amsterdam records,,Volume 2
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 514
Mayor Seth Low records,Classic half-size legal detached lid archival storage box,Folder 13
Commissioner Idilio Gracia Peña records,,Folder 406
New Amsterdam records,,Volume 2
New Amsterdam records,,Volume 2
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 469
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 407
Commissioner Idilio Gracia Peña records,,Folder 415
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 473
New Amsterdam records,,Volume 2
New Amsterdam records,,Volume 2
