of_8th_grade_students_that_2,of_schools_serving_grades_1,of_8th_grade_students_that_1
31936,353,0.879
455,3,0.729
446,10,0.965
1523,19,0.92
441,6,0.873
614,16,0.879
508,6,0.74
1325,20,0.967
481,3,0.741
989,7,0.691
1052,4,0.758
2025,19,0.922
1081,14,0.942
258,6,0.779
245,8,0.718
997,17,0.902
2380,17,0.944
566,10,0.953
417,6,0.914
2463,11,0.958
1650,7,0.968
526,7,0.783
1083,7,0.898
490,10,0.871
437,13,0.825
1317,14,0.715
2157,23,0.889
814,5,0.882
639,10,0.87
388,12,0.972
2196,21,0.955
742,9,0.905
1231,13,0.947
