of_8th_grade_students,number_of_part_time_teachers
64134,94
1257,3
711,6
2416,2
741,3
1892,4
1126,1
2311,4
905,5
2633,3
2878,4
4218,2
2272,0
832,2
464,5
2092,4
3072,2
1177,1
990,4
3574,0
2744,1
1268,5
1678,6
1649,0
1305,3
3458,3
3448,8
1674,4
1998,3
1709,2
4015,2
1596,2
2031,0
