of_graduates_that_completed
60916
901
2731
1970
858
3242
545
7857
441
1629
1800
3807
3238
764
320
852
1896
1504
802
2378
2258
1283
1656
989
2010
3283
2160
1021
1334
1175
2822
1116
2274
