community_school_district,of_8th_grade_students_that,of_8th_grade_students_that_2,number_of_part_time_teachers_2
Citywide,56402,31936,101
18,916,455,1
13,686,446,4
25,2222,1523,6
01,647,441,4
26,1663,614,2
32,833,508,0
02,2234,1325,9
23,671,481,3
09,1820,989,4
11,2181,1052,3
31,3887,2025,2
28,2141,1081,1
05,648,258,7
16,333,245,3
29,1886,997,3
30,2901,2380,1
14,1122,566,2
04,905,417,3
20,3423,2463,0
21,2655,1650,3
07,993,526,3
17,1507,1083,6
19,1437,490,1
03,1077,437,8
10,2471,1317,8
27,3066,2157,3
06,1476,814,2
08,1738,639,4
15,1661,388,1
24,3835,2196,1
12,1444,742,3
22,1923,1231,0
