of_graduates,of_schools_serving_grade_2
61113,0.076
901,0.0
2734,0.083
2059,0.143
858,0.182
3244,0.286
548,0.1
7862,0.0
441,0.0
1630,0.0
1800,0.045
3820,0.133
3254,0.133
768,0.0
321,0.0
854,0.118
1896,0.176
1506,0.091
804,0.0
2416,0.067
2259,0.125
1284,0.0
1659,0.053
990,0.0
2011,0.0
3284,0.107
2160,0.083
1022,0.048
1334,0.0
1175,0.273
2826,0.438
1118,0.0
2275,0.0
