of_8th_grade_students_that_3,of_8th_grade_students_that,number_of_full_time_teachers,of_schools_serving_grades_2,number_of_part_time_teachers_3,of_graduates_that_completed_1
0.498,56402,137,0.437,308,0.997
0.362,916,1,0.231,3,1.0
0.627,686,8,0.526,16,0.999
0.63,2222,3,0.731,9,0.957
0.595,647,4,0.333,3,1.0
0.325,1663,8,0.762,6,0.999
0.451,833,3,0.429,7,0.995
0.573,2234,9,0.541,43,0.999
0.531,671,3,0.188,4,1.0
0.376,1820,2,0.212,11,0.999
0.366,2181,4,0.125,16,1.0
0.48,3887,4,0.388,8,0.997
0.476,2141,2,0.538,5,0.995
0.31,648,2,0.375,4,0.995
0.528,333,1,0.533,6,0.997
0.477,1886,6,0.63,7,0.998
0.775,2901,6,0.586,4,1.0
0.481,1122,3,0.5,6,0.999
0.421,905,2,0.3,11,0.998
0.689,3423,4,0.355,4,0.984
0.601,2655,7,0.318,9,1.0
0.415,993,5,0.389,8,0.999
0.645,1507,5,0.304,9,0.998
0.297,1437,4,0.435,7,0.999
0.335,1077,8,0.591,23,1.0
0.381,2471,5,0.333,13,1.0
0.626,3066,2,0.605,20,1.0
0.486,1476,2,0.185,4,0.999
0.32,1738,4,0.455,15,1.0
0.227,1661,9,0.48,5,1.0
0.547,3835,7,0.636,6,0.999
0.465,1444,2,0.391,12,0.998
0.606,1923,2,0.481,4,1.0
