class_type,total_registration
Level 5,4.0
Level 1,25.0
Level 3,15.0
Adult,12.0
Tot,
Adult,33.0
Level 1,15.0
Adult,31.0
Tot,7.0
Level 1,14.0
Level 2,9.0
,17.0
Seniors,16.0
Tot,15.0
Level 6,10.0
Adult,17.0
Adult,32.0
Seniors,4.0
,12.0
,22.0
,18.0
Adult,9.0
Adult,13.0
Level 1,14.0
,30.0
,30.0
Level 3,15.0
,20.0
Level 2,32.0
Level 2,18.0
Level 4,
Adult,10.0
Level 1,
,50.0
,17.0
Level 2,13.0
,37.0
Adult,20.0
Seniors,6.0
Adult,3.0
Adult,1.0
Level 2,23.0
,12.0
Level 4,5.0
Level 3,7.0
,28.0
Adult,40.0
Level 2,
Level 1,14.0
Level 5,3.0
Level 1,21.0
,30.0
Level 1,9.0
Level 2,12.0
,30.0
Level 2,30.0
Adult,3.0
Level 3-6,5.0
,20.0
Level 2,48.0
Level 3,13.0
,11.0
,13.0
,10.0
Adult,28.0
Level 1,47.0
Level 5,20.0
,23.0
Tot,10.0
,
,11.0
Level 1,
Level 2,21.0
,15.0
,3.0
,6.0
Level 2,10.0
,31.0
Level 1,
,15.0
Adult,7.0
Level 1B,48.0
,20.0
,18.0
,30.0
,3.0
Level 2,10.0
Level 1,15.0
Level 5,2.0
Level 2,28.0
,3.0
,8.0
Level 2,22.0
Level 1,48.0
Seniors,15.0
Adult,25.0
Level 2,
Level 1,
,11.0
,23.0
Level 2,13.0
Level 2,
Tot,8.0
,31.0
Adult,8.0
Level 1,20.0
Level 2,24.0
Level 1,
Level 1,16.0
Level 3,
Tot,12.0
Level 1,4.0
,11.0
,34.0
Level 1,25.0
Level 3,29.0
,34.0
Tot,15.0
,15.0
Tot,24.0
Level 2,30.0
Adult,9.0
Level 1A,48.0
Level 2,
Adult,13.0
,18.0
,11.0
Adult,16.0
Level 1,64.0
Level 1A,48.0
Level 2,30.0
Level 4,14.0
Level 2,14.0
Level 1,55.0
Adult,13.0
,30.0
Tot,
Adult,30.0
,10.0
Level 1,
Level 1,29.0
Tot,13.0
Tot,15.0
,15.0
Level 3,10.0
Level 1,
,21.0
Level 5,1.0
,21.0
,18.0
Adult,3.0
,23.0
Level 2,53.0
Level 3,11.0
,21.0
Level 1,
Adult,30.0
Level 1,24.0
Level 1,13.0
Adult,16.0
Level 1,24.0
Level 2,25.0
Level 2,18.0
,22.0
,16.0
Level 3,26.0
Level 2,
Tot,10.0
Level 3,5.0
Level 2,20.0
Level 2,15.0
Level 1,20.0
Level 1,14.0
,31.0
Level 3,11.0
Adult,11.0
Level 2,11.0
Level 3,15.0
Seniors,6.0
,21.0
Seniors,16.0
Level 2B,16.0
,27.0
Level 1,13.0
Tot,20.0
Level 1,10.0
,30.0
Level 3,7.0
Tot,8.0
Tot,21.0
Level 1B,48.0
Adult,26.0
,20.0
Level 1,18.0
Level 2,11.0
Level 1,
Level 4,14.0
Adult,20.0
Level 5,1.0
Tot,17.0
