classname,swimming_pool
"Flushing Meadows Aquatics Center-Children's Learn to Swim Level 2 (Saturdays, 10am)",Flushing Meadows Corona Park Aquatics Center
St. John's Learn to Swim: Children - Wednesdays,St. John's Recreation Center
Session 3: Lyons Pool - Children's Learn to Swim Level 1 (Class A),Lyons Pool
St. John's Learn to Swim: Children,St. John's Recreation Center
Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Mondays,Flushing Meadows Corona Park Aquatics Center
Session l Children Learn to Swim Red Hook Pool Level 1B,Red Hook Pool
Roy Wilkins Senior Learn To Swim - Thursday (Beginner),Roy Wilkins Recreation Center
Asser Levy Senior Learn to Swim: Thursdays,Asser Levy Recreation Center
Asser Levy Learn to Swim: Children - Mondays - ADMIN ONLY,Asser Levy Recreation Center
Roy Wilkins Senior Learn to Swim (Wednesday),Roy Wilkins Recreation Center
FMAC: Children's Learn to Swim (Level 2),Flushing Meadows Corona Park Aquatics Center
"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Mondays, 6pm",Flushing Meadows Corona Park Aquatics Center
Learn to Swim: Children ADV. Swimmer Level 5 Saturdays 2pm,Flushing Meadows Corona Park Aquatics Center
Constance Baker Motley Saturday Children Learn to Swim Level 2,Constance Baker Motley Recreation Center
Holiday Learn to Swim Chelsea Class B,Chelsea Recreation Center
Roy Wilkins Senior Learn To Swim - Friday (Beginner),Roy Wilkins Recreation Center
Session 3: Liberty Pool - Children's Learn to Swim Level 2 (Class A),Liberty Pool
Session 3: Crotona Pool - Children's Learn to Swim Level 1 (Class B),Crotona Pool
Gertrude Ederle Learn to Swim: Seniors,Gertrude Ederle Recreation Center
St. John's Learn to Swim: Adults,St. John's Recreation Center
Session 1: Hamilton Fish Pool - Children's Learn to Swim Level 2 (Class A),Hamilton Fish Pool
Evander Child's Learn to Swim: Children Saturdays Level 1,Offsite Locations
Metropolitan Learn to Swim: Children,Metropolitan Pool & Recreation Center
Roy Wilkins Learn To Swim: Children - Tuesday,Roy Wilkins Recreation Center
"Learn to Swim: Children ADV. Beginner Level 2 - Saturdays, 11am",Flushing Meadows Corona Park Aquatics Center
Session 3: Hamilton Fish Pool - Children's Learn to Swim Level 2 (Class A),Hamilton Fish Pool
Metropolitan Learn to Swim: Tots,Metropolitan Pool & Recreation Center
Gertrude Ederle: Afterschool Learn to Swim,Gertrude Ederle Recreation Center
Learn to Swim: Adult Beginner Level 1 - Saturdays,Flushing Meadows Corona Park Aquatics Center
Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Mondays 6pm),Flushing Meadows Corona Park Aquatics Center
FMAC: Children's Learn to Swim (Level 2),Flushing Meadows Corona Park Aquatics Center
Session 2: Lyons Pool - Children's Learn to Swim Level 1 (Class B),Lyons Pool
Wagner College Saturday Children Learn to Swim Level 1,Wagner College
Advanced: Red Hook Pool - Children's Learn to Swim Level 3 (Class A),Red Hook Pool
Gertrude Ederle Learn to Swim: Tots,Gertrude Ederle Recreation Center
St. Mary's Learn to Swim: Children Level 1,St. Mary's Recreation Center
Metropolitan Learn to Swim: Children,Metropolitan Pool & Recreation Center
Gertrude Ederle Children Learn to Swim: Tuesdays,Gertrude Ederle Recreation Center
Roy Wilkins Recreation Center - Children Learn to Swim Level 1 - Saturday,Roy Wilkins Recreation Center
"Learn to Swim: Children Intermediate Level 3 - Tuesdays, 4pm",Flushing Meadows Corona Park Aquatics Center
Metropolitan Learn to Swim: Children,Metropolitan Pool & Recreation Center
"Flushing Meadows Aquatics Center - Parent and Tot Learn to Swim (Saturdays, 12:45pm)",Flushing Meadows Corona Park Aquatics Center
Constance Baker Motley Learn to Swim: Children - Thursdays,Constance Baker Motley Recreation Center
Gertrude Ederle Learn to Swim: Tots - Saturday,Gertrude Ederle Recreation Center
