total_attendance
5
20
5
8
13
5
7
11
5
8
3
17
4
9
7
8
3
4
10
11
8
4
9
8
13
9
8
15
10
12
8
5
25
35
17
13
27
13
1
1
1
12
2
4
5
28
14
10
6
1
2
26
9
12
17
26
3
1
5
13
5
11
5
4
12
17
15
5
10
23
5
16
13
10
3
6
6
15
20
10
4
28
10
8
16
3
8
7
2
9
2
1
6
13
7
25
13
16
7
3
9
9
6
14
5
9
13
25
5
27
2
4
1
18
6
23
12
5
7
11
12
7
13
22
7
8
8
6
27
30
17
2
14
23
13
8
10
21
4
29
15
10
6
6
7
24
11
1
7
13
4
9
23
6
12
31
18
7
13
6
24
5
18
5
15
12
21
6
4
8
10
13
8
3
6
8
11
8
3
5
3
8
15
7
7
8
9
4
8
16
23
12
7
6
8
27
6
3
1
12
