objectid,parent_block,sub_lot_number
31,1171,8165
75,8720,8005
37,1480,8100
22,157,8009
43,1480,8100
73,8720,8005
12,1047,8048
35,702,8002
53,295,8014
5,2134,8041
74,8720,8005
62,1269,8165
14,5010,8004
13,5010,8010
77,1403,8033
55,295,8014
52,295,8014
78,2134,8041
47,1480,8110
71,1120,8035
56,295,8014
27,1280,8254
26,1280,8154
40,1480,8100
39,1480,8100
18,541,8001
76,1403,8033
