total_biodiesel_blended_with_1,total_2_fuel_oil_with_2,total_2_fuel_oil_with_15,total_2_fuel_oil_with_6
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
18641.81,479627.89,14981.0,101929.7
0.0,0.0,0.0,0.0
0.0,8212.36,0.0,53651.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,7.72,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,13077.61,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,7336.25,4561.0,0.0
0.0,0.0,0.0,0.0
5250.64,144336.79,23178.0,94934.1
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
36282.26,504986.67,122805.0,184229.7
8019.45,27986.44,0.0,243185.0
0.0,0.0,0.0,0.0
30390.86,617114.72,76736.0,180789.1
0.0,0.0,0.0,0.0
2399.64,41521.11,0.0,287546.7
6066.55,189256.43,57241.0,57713.8
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
24409.89,491257.24,8638.0,27143.2
977.91,252303.62,6697.0,66709.4
74831.86,579113.61,26147.0,200064.7
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
417.28,52003.41,23295.0,18622.7
0.0,0.0,0.0,0.0
0.0,9583.95,0.0,42019.6
36674.38,511675.95,33864.0,98957.6
140.24,16657.06,0.0,50184.8
0.0,0.0,0.0,0.0
15687.12,643290.46,274637.0,228406.6
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,120733.41,57273.0,105088.2
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
13856.64,866056.13,5142.0,219603.5
5783.28,100178.18,0.0,2101.0
0.0,110438.03,2922.0,5401.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,82.8,0.0,87.8
0.0,11820.27,0.0,95880.1
0.0,4408.53,0.0,0.0
122068.41,729565.15,116766.0,296579.7
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
28966.83,152424.41,4720.0,21933.3
0.0,0.0,0.0,0.0
747.04,127969.02,8419.0,17637.1
25552.7,285746.46,9881.0,172392.8
0.0,0.0,0.0,0.0
77614.86,294115.83,37340.0,129544.9
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
27613.91,41521.43,31344.0,16832.1
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3754.53,430628.4,4069.0,80052.3
1906.39,12057.99,2409.0,0.0
1257.43,134087.43,36204.0,10040.4
33615.79,239145.86,196210.0,159046.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
96.54,36663.21,0.0,245831.8
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1658.36,24057.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
87606.04,448453.1,13843.0,48637.2
0.0,0.0,0.0,0.0
14424.46,319462.86,64817.0,287722.5
0.0,0.0,0.0,0.0
12546.88,863376.81,9825.0,208106.4
0.0,0.0,0.0,0.0
33669.6,258984.72,31438.0,82145.7
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,125492.56,0.0,0.0
25754.14,505605.77,21432.0,357242.4
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
37380.74,27308.14,0.0,214580.4
27709.47,762729.15,43387.0,142134.4
36.16,42301.03,650.0,18917.1
1008.5,30877.91,1610.0,70925.4
0.0,0.0,0.0,0.0
59661.78,393331.71,212.0,169156.2
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
26449.21,515102.87,25013.0,35074.8
0.0,14389.81,0.0,109975.8
23047.69,709607.47,1225.0,394527.1
0.0,0.0,0.0,0.0
15754.57,472750.62,12688.0,4660.2
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,13135.0,0.0,66712.8
0.0,0.0,0.0,0.0
0.0,41866.47,0.0,258023.7
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
8848.95,424169.72,69192.0,97466.9
0.0,0.0,0.0,0.0
14867.27,615873.24,65968.0,278050.3
0.0,0.0,0.0,0.0
12489.95,138245.87,220624.0,46356.6
0.0,0.0,0.0,0.0
21790.76,319956.21,133178.0,26790.9
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
37939.86,445023.68,67909.0,343190.2
0.0,0.0,0.0,0.0
7518.04,251252.82,37050.0,76528.2
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3769.77,208222.44,26378.0,33016.7
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
24475.21,233761.36,17566.0,58470.9
0.0,0.0,0.0,0.0
27914.29,705589.02,440.0,55066.4
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
880.56,0.0,0.0,0.0
11324.6,139191.08,106955.0,60041.3
0.0,0.0,0.0,0.0
106081.95,271226.77,23369.0,234131.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
42068.23,806130.3,65745.0,301177.5
3559.04,298089.61,11918.0,59924.3
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
20572.53,386217.81,52447.0,180129.3
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
41345.88,410480.69,3457.0,77607.7
90928.19,17893.25,0.0,153120.7
0.0,0.0,0.0,0.0
13448.6,330265.74,8220.0,23101.8
2440.99,125633.1,16772.0,47042.1
0.0,0.0,0.0,0.0
10007.57,430924.96,16241.0,60929.0
0.0,0.0,0.0,0.0
0.0,15930.34,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
10828.31,180892.26,2491.0,35342.0
0.0,0.0,0.0,0.0
130588.61,270011.88,30595.0,324340.3
0.0,18062.41,0.0,0.0
0.0,0.0,0.0,0.0
564.26,0.0,0.0,0.0
0.0,32665.25,0.0,0.0
0.0,0.0,0.0,0.0
