total_2_fuel_oil_without,total_biodiesel_blended_with,total_6_fuel_oil_without,total_4_fuel_oil_with_10
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1428696.45,68172.28,0.0,0.0
0.0,0.0,0.0,0.0
138932.75,7617.66,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
131.12,6.66,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
30002.42,1166.1,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
124134.27,6781.82,0.0,0.0
0.0,0.0,0.0,0.0
788619.05,42609.47,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1413998.68,105386.69,0.0,0.0
463748.54,26302.0,0.0,0.0
0.0,0.0,0.0,0.0
1460747.77,68103.46,0.0,0.0
0.0,0.0,0.0,0.0
701822.01,39126.54,0.0,0.0
824755.55,57997.74,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1170851.31,50693.34,0.0,0.0
645936.45,31126.79,0.0,0.0
1453946.16,74842.46,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
203811.64,15362.06,0.0,0.0
0.0,0.0,0.0,0.0
162342.55,8684.01,0.0,0.0
1358587.15,64992.9,0.0,0.0
280467.78,16779.26,0.0,0.0
0.0,0.0,0.0,0.0
2299898.14,192006.17,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
636870.06,36841.77,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1782043.91,75737.58,0.0,0.0
185349.25,6613.82,0.0,0.0
356155.21,18731.67,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1405.38,72.28,0.0,0.0
199783.03,11150.89,0.0,0.0
6817.23,219.59,0.0,0.0
2962587.45,170933.87,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
338345.71,15801.23,0.0,0.0
0.0,0.0,0.0,0.0
313673.51,15697.5,0.0,0.0
864031.52,41144.79,0.0,0.0
0.0,0.0,0.0,0.0
952433.57,51002.7,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
695809.06,43817.56,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
907056.61,36951.3,0.0,0.0
34458.67,1686.41,0.0,0.0
281569.06,16460.72,0.0,0.0
1508323.15,131157.79,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
613238.91,41019.97,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
25758.05,3835.63,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1109737.91,50679.44,0.0,0.0
0.0,0.0,0.0,0.0
1404123.31,87148.62,0.0,0.0
0.0,0.0,0.0,0.0
1866192.33,77466.55,0.0,0.0
0.0,0.0,0.0,0.0
991088.46,51219.63,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
180994.21,5563.09,0.0,0.0
2210140.67,120392.15,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
461624.27,25692.39,0.0,0.0
1536119.87,66798.11,0.0,0.0
188741.67,10469.06,0.0,0.0
262777.97,14010.59,0.0,0.0
0.0,0.0,0.0,0.0
1054421.75,45386.68,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1065172.63,47858.29,0.0,0.0
240437.19,13357.81,0.0,0.0
1719035.18,74709.83,0.0,0.0
0.0,0.0,0.0,0.0
756487.89,26409.32,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
222058.7,12336.73,0.0,0.0
0.0,0.0,0.0,0.0
708431.76,38679.82,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1185246.78,63063.32,0.0,0.0
0.0,0.0,0.0,0.0
1611363.0,86456.75,0.0,0.0
0.0,0.0,0.0,0.0
1172837.58,117264.85,0.0,0.0
0.0,0.0,0.0,0.0
1180301.3,97354.98,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1569804.46,87534.43,0.0,0.0
0.0,0.0,0.0,0.0
1542480.38,83271.61,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
749984.73,39349.61,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2312766.11,129152.1,0.0,0.0
0.0,0.0,0.0,0.0
1522913.07,64209.68,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
744794.26,57357.12,0.0,0.0
0.0,0.0,0.0,0.0
1125848.14,63231.43,0.0,9000.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2232624.4,117247.83,0.0,0.0
711175.54,30399.52,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1479589.77,80734.81,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3306672.37,164404.14,25406.68,0.0
302281.66,17025.27,0.0,0.0
0.0,0.0,0.0,0.0
712054.77,28155.56,0.0,0.0
351114.59,17991.81,0.0,0.0
0.0,0.0,0.0,0.0
940958.0,43439.87,0.0,0.0
0.0,0.0,0.0,0.0
270542.67,13736.02,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
459281.23,19530.8,0.0,0.0
0.0,0.0,0.0,0.0
1049284.55,56838.73,0.0,0.0
35471.62,1296.54,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
51573.11,1682.84,0.0,0.0
0.0,0.0,0.0,0.0
