total_4_fuel_oil_without,total_4_fuel_oil_with_5,total_biodiesel_blended_with_2,total_6_fuel_oil_with_2
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
618503.83,228508.89,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
291723.06,61632.86,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1002246.65,397246.71,0.0,0.0
153831.81,159414.09,0.0,0.0
0.0,0.0,0.0,0.0
900604.3,380676.02,0.0,0.0
0.0,0.0,0.0,0.0
54447.38,42090.01,0.0,0.0
119611.44,13799.53,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
614905.62,387452.68,0.0,0.0
29137.59,12520.02,0.0,0.0
1660427.5,1166153.78,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
15879.15,3045.04,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1091552.55,424384.06,0.0,0.0
6625.65,164.01,0.0,0.0
0.0,0.0,0.0,0.0
432871.17,211329.89,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
396760.09,188143.66,0.0,0.0
245716.35,81345.54,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
2953695.01,1370251.8,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
759989.17,265624.88,0.0,0.0
0.0,0.0,0.0,0.0
21902.04,9802.03,0.0,0.0
932531.32,216647.67,0.0,0.0
0.0,0.0,0.0,0.0
1492728.19,1492794.79,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
656692.6,481551.6,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
119343.05,43085.98,0.0,0.0
59332.22,22720.47,0.0,0.0
41066.87,13697.97,0.0,0.0
740300.46,480353.61,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3002.24,1152.12,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1763571.98,1658059.94,0.0,0.0
0.0,0.0,0.0,0.0
333956.48,71604.01,0.0,0.0
0.0,0.0,0.0,0.0
570831.06,133624.52,0.0,0.0
0.0,0.0,0.0,0.0
656883.18,661951.41,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
685551.08,167355.57,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
717050.27,743070.77,0.0,0.0
866542.33,360484.33,0.0,0.0
23859.93,579.26,0.0,0.0
19345.38,20047.39,0.0,0.0
0.0,0.0,0.0,0.0
1570107.24,785294.42,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
579672.63,174679.85,0.0,0.0
0.0,0.0,0.0,0.0
914739.18,225843.65,0.0,0.0
0.0,0.0,0.0,0.0
420298.06,184890.24,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
316804.53,86871.08,0.0,0.0
0.0,0.0,0.0,0.0
344497.42,173505.37,0.0,0.0
0.0,0.0,0.0,0.0
275123.4,224589.46,0.0,0.0
0.0,0.0,0.0,0.0
417997.79,433166.2,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
935786.59,181396.86,0.0,0.0
0.0,0.0,0.0,0.0
177896.11,18811.58,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
109138.38,50386.98,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
473428.07,483904.85,0.0,0.0
0.0,0.0,0.0,0.0
813512.87,326965.62,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
27147.92,10666.43,0.0,0.0
260357.47,87092.78,0.0,0.0
0.0,0.0,0.0,0.0
2016467.95,2035258.49,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
897647.13,215988.4,0.0,0.0
68270.78,70748.21,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
620264.37,158719.56,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1083486.55,536355.28,518.5,25925.18
1744215.81,1807510.36,0.0,0.0
0.0,0.0,0.0,0.0
536044.92,163163.13,0.0,0.0
95317.81,16193.75,0.0,0.0
0.0,0.0,0.0,0.0
216811.12,94313.25,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
254617.38,174646.6,0.0,0.0
0.0,0.0,0.0,0.0
2734935.98,2285297.36,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
14459.14,8793.18,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
