total_2_fuel_oil_with_25,total_2_fuel_oil_with_10,total_2_fuel_oil_with_20,total_6_fuel_oil_with_5,total_2_fuel_oil_with_0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,28753.6,25084.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,17320.1,8300.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,19335.2,196516.4,0.0,0.0
0.0,4144.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,4619.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,8985.5,0.0,0.0,0.0
0.0,49930.6,71600.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,46504.2,5955.9,0.0,0.0
0.0,65927.9,1397.0,0.0,0.0
0.0,15765.8,69152.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,22985.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,19123.0,25547.0,0.0,0.0
0.0,38295.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,379746.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,5607.0,38930.7,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,59085.1,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,33418.4,132209.6,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,22034.3,5823.8,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,13665.0,0.0,0.0
0.0,21870.9,4352.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,17333.2,25055.0,0.0,0.0
