total_4_fuel_oil_with_2,total_2_fuel_oil_with_5
0.0,0.0
0.0,0.0
0.0,0.0
360818.15,846492.54
0.0,0.0
0.0,84687.05
0.0,0.0
0.0,0.0
0.0,0.0
0.0,130.06
0.0,0.0
0.0,0.0
0.0,18090.9
0.0,0.0
0.0,0.0
0.0,0.0
0.0,119018.84
0.0,0.0
58166.84,543159.53
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
285943.19,491512.4
2437.16,214734.7
0.0,0.0
505551.95,649592.42
0.0,0.0
14757.0,402895.24
33403.46,457011.46
0.0,0.0
0.0,0.0
251862.83,642046.12
17595.48,284028.33
438602.58,638545.51
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
13251.39,102267.6
0.0,0.0
0.0,119423.01
628386.87,734412.5
6601.88,192109.78
0.0,0.0
123887.4,965824.24
0.0,0.0
0.0,0.0
0.0,0.0
0.0,390617.22
0.0,0.0
0.0,0.0
222473.08,722442.15
85800.09,89683.88
0.0,197040.75
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1307.05
0.0,103233.55
0.0,2628.29
892664.92,1824982.46
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
11880.12,147211.14
0.0,0.0
12847.05,161680.9
452803.85,410933.15
0.0,0.0
41944.26,500047.33
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
176816.3,606000.0
0.0,0.0
0.0,0.0
80011.61,400011.51
38518.13,21678.09
28626.32,105290.96
177190.65,801433.89
0.0,0.0
0.0,0.0
1946.66,232791.87
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,3878.32
0.0,0.0
0.0,0.0
172101.08,601514.25
0.0,0.0
144058.93,650049.97
0.0,0.0
238958.52,841541.67
0.0,0.0
28601.36,637775.37
0.0,0.0
0.0,0.0
0.0,0.0
0.0,61064.74
272332.85,1286143.56
0.0,0.0
0.0,0.0
11360.24,245428.12
484262.67,629507.13
359.83,106875.0
306.49,171860.25
0.0,0.0
624573.1,533885.52
0.0,0.0
0.0,0.0
9127.0,505788.35
0.0,129429.39
478740.22,666156.83
0.0,0.0
191103.09,291921.2
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,147669.94
0.0,0.0
0.0,447221.42
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
225269.7,617874.69
0.0,0.0
79425.32,644071.01
0.0,0.0
63023.89,650977.26
0.0,0.0
6622.35,594428.27
0.0,0.0
0.0,0.0
0.0,0.0
382731.1,723204.61
0.0,0.0
41937.97,1212260.68
0.0,0.0
0.0,0.0
0.0,0.0
62521.17,500639.9
0.0,0.0
0.0,0.0
13998.44,1945335.46
0.0,0.0
394622.23,789850.33
0.0,0.0
0.0,0.0
17362.05,0.0
54318.0,422092.5
0.0,0.0
31961.41,577507.99
0.0,0.0
0.0,0.0
0.0,0.0
257357.26,1036202.33
1081.62,362194.94
0.0,0.0
0.0,0.0
360756.74,869483.97
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
484419.85,2938672.02
27633.64,146982.78
0.0,0.0
264522.29,378622.79
81565.05,166143.91
0.0,0.0
3415.44,440207.01
0.0,0.0
0.0,268348.35
0.0,0.0
0.0,0.0
83799.09,257323.77
0.0,0.0
365482.14,450613.79
0.0,18705.75
0.0,0.0
6230.22,0.0
0.0,20590.71
0.0,0.0
