summons_category_type,summons_date
VTL,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
ABC,2024-12-31T00:00:00.000
TRESPASS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
FIREWORKS,2024-12-31T00:00:00.000
TLC,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
ALCOHOL,2024-12-31T00:00:00.000
ALCOHOL,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
OTHER ABC,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
FIREWORKS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
EXPOSURE,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
LITTERING,2024-12-31T00:00:00.000
TRESPASS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
OTHER ADMIN CODE,2024-12-31T00:00:00.000
ALCOHOL,2024-12-31T00:00:00.000
TLC,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
ALCOHOL,2024-12-31T00:00:00.000
TLC,2024-12-31T00:00:00.000
TLC,2024-12-31T00:00:00.000
ALCOHOL,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
VENDING,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
SMOKING,2024-12-31T00:00:00.000
LITTERING,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
ALCOHOL,2024-12-31T00:00:00.000
LITTERING,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
AIR GUN,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
FIREWORKS,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
FIREWORKS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
FIREWORKS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
TLC,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
NOISE,2024-12-31T00:00:00.000
EDUCATION LAW,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
NOISE,2024-12-31T00:00:00.000
ALCOHOL,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
TRESPASS,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
KNIFE,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
ALCOHOL,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
TRESPASS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
TRESPASS,2024-12-31T00:00:00.000
KNIFE,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
EXPOSURE,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
BIKE,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
TRESPASS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
DISORDERLY CONDUCT,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
SCALPING,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
ALCOHOL,2024-12-31T00:00:00.000
FIREWORKS,2024-12-31T00:00:00.000
VENDING,2024-12-31T00:00:00.000
FIREWORKS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
EXPOSURE,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
OTHER ABC,2024-12-31T00:00:00.000
TRESPASS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
ABC,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
OTHER ADMIN CODE,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
EXPOSURE,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
FIREWORKS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
TRESPASS,2024-12-31T00:00:00.000
ALCOHOL,2024-12-31T00:00:00.000
TLC,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
FIREWORKS,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
VTL,2024-12-30T00:00:00.000
VTL,2024-12-31T00:00:00.000
NYS TRANS,2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
(null),2024-12-31T00:00:00.000
NYS TRANS,2024-12-30T00:00:00.000
TRESPASS,2024-12-31T00:00:00.000
VENDING,2024-12-31T00:00:00.000
VTL,2024-12-31T00:00:00.000
TRESPASS,2024-12-30T00:00:00.000
KNIFE,2024-12-31T00:00:00.000
