boro,geocoded_column
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.958125, 40.647019]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-74.00343947641554, 40.67908936081597]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.93759674847603, 40.72397961334044]}"
STATEN ISLAND,"{'type': 'Point', 'coordinates': [-74.135896, 40.634295]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.910972, 40.663054]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.89468070058841, 40.647528384404325]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.93759674847603, 40.72397961334044]}"
MANHATTAN,"{'type': 'Point', 'coordinates': [-73.985945, 40.724731]}"
MANHATTAN,"{'type': 'Point', 'coordinates': [-73.920305, 40.866287]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.934738, 40.651547]}"
QUEENS,"{'type': 'Point', 'coordinates': [-73.738214, 40.675367]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.93759674847603, 40.72397961334044]}"
MANHATTAN,"{'type': 'Point', 'coordinates': [-73.991338, 40.750021]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.90753, 40.662769]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.91905014945557, 40.678728818777344]}"
STATEN ISLAND,"{'type': 'Point', 'coordinates': [-74.16878433049314, 40.6211247015789]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.958125, 40.647019]}"
BRONX,"{'type': 'Point', 'coordinates': [-73.86512344385301, 40.87410365282775]}"
QUEENS,"{'type': 'Point', 'coordinates': [-73.93099866, 40.7445956]}"
MANHATTAN,"{'type': 'Point', 'coordinates': [-74.00053029504515, 40.71843015224279]}"
BRONX,"{'type': 'Point', 'coordinates': [-73.903468, 40.821912]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.93503175376539, 40.60173396926155]}"
QUEENS,"{'type': 'Point', 'coordinates': [-73.884397, 40.747591]}"
BRONX,"{'type': 'Point', 'coordinates': [-73.900592, 40.853586]}"
MANHATTAN,"{'type': 'Point', 'coordinates': [-73.985704, 40.765399]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-74.01415068870041, 40.6781608085568]}"
BRONX,"{'type': 'Point', 'coordinates': [-73.85155206210321, 40.90204439801025]}"
QUEENS,"{'type': 'Point', 'coordinates': [-73.734782, 40.664646]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.930254, 40.688939]}"
QUEENS,"{'type': 'Point', 'coordinates': [-73.92531772865632, 40.732063847603996]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.93759674847603, 40.72397961334044]}"
BROOKLYN,"{'type': 'Point', 'coordinates': [-73.990606, 40.575992]}"
BRONX,"{'type': 'Point', 'coordinates': [-73.864296, 40.879639]}"
BRONX,"{'type': 'Point', 'coordinates': [-73.9219415, 40.8281415]}"
