offense_description,law_description
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
BOTTLE CLUB; OPERATE UNLAWFULLY,ABC
TRESPASS,Penal Law
RECKLESS DRIVING,VTL
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
"FIREWORKS, POSSESS/USE",Penal Law
IDLING OF VEHICLE,Administrative Code
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
PREVENT CLEAR VIEW INTO LIQUOR STORE,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
CONSUMPTION OF ALCOHOL,Administrative Code
CONSUMPTION OF ALCOHOL,Administrative Code
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
KNIVES; DISPLAYED OUTSIDE CLOTHING/CARRY IN THE OPEN WITHOUT A LAWFUL PURPOSE,(null)
OTHER TRANSIT REG,ABC
DISCON: CREATE HAZARDOUS CONDITION,Penal Law
DISORDERLY CONDUCT,Penal Law
"FIREWORKS, POSSESS/USE",Penal Law
ALCOHOLIC BEVERAGE IN PUBLIC,(null)
MAKES UNREASONABLE NOISE,(null)
PUBLIC URINATION,(null)
EXPOSURE OF PERSON,Penal Law
DISORDERLY CONDUCT,Penal Law
DISCON: FIGHTING,Penal Law
UNREASONABLE NOISE; FROM MOTORCYCLE MUFFLER/EXHAUST (HEARD FROM 200FT AWAY),(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
LITTERING,Administrative Code
TRESPASS,Penal Law
OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
VENDOR: (OTHER),Administrative Code
CONSUMPTION OF ALCOHOL,Administrative Code
UNLICENSED VEHICLE FOR HIRE,Administrative Code
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
CONSUMPTION OF ALCOHOL,Administrative Code
UNLICENSED VEHICLE FOR HIRE,Administrative Code
IDLING OF VEHICLE,Administrative Code
CONSUMPTION OF ALCOHOL,Administrative Code
DISORDERLY CONDUCT,Penal Law
IMPROPER PLATES,VTL
OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,(null)
UNLICENSED GENERAL VENDOR,Administrative Code
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
SMOKING IN ELEVATOR,Health Code
LITTERING,Administrative Code
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
SOUND DEVICE; NON-COMMERCIAL WITHOUT PERMIT,(null)
SMOKING IN TRAIN STATION,(null)
CONSUMPTION OF ALCOHOL,Administrative Code
LITTERING,Administrative Code
"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",(null)
LIQUOR LICENSE NOT POSTED IN A CONSPICUOUS PLACE,(null)
OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,(null)
POSS. OF MACE,Administrative Code
RECKLESS DRIVING,VTL
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
"FIREWORKS, POSSESS/USE",Penal Law
DISORDERLY CONDUCT,Penal Law
"FIREWORKS, POSSESS/USE",Penal Law
EVICTION; UNLAWFUL (REMOVE PROPERTY/REMOVE DOOR/CHANGE OR DAMAGE LOCKS),(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
"FIREWORKS, POSSESS/USE",Penal Law
INSPECTION; PEDICAB REGISTRATION PLATE,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
ALCOHOLIC BEVERAGE IN PUBLIC,(null)
OBSTRUCTS VEHICULAR OR PEDESTRIAN TRAFFIC,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
RECKLESS DRIVING,VTL
DISCON: UNREASONABLE NOISE,Penal Law
POSSESSION OF AN IMITATION PISTOL (TOY) THAT LOOKS REAL,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
DISOBEY ANY PARK SIGN,(null)
ACCEPT ON HAIL,Administrative Code
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
PUBLIC URINATION,(null)
RECKLESS DRIVING,VTL
DISCON: REFUSE LAWFUL ORDER,Penal Law
DISORDERLY CONDUCT,Penal Law
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
NOISE (ENGINE EXHUST),Administrative Code
SMOKING,Education Law (NYS)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
MAKES UNREASONABLE NOISE,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
RECKLESS DRIVING,VTL
NOISE (ENGINE EXHUST),Administrative Code
CONSUMPTION OF ALCOHOL,Administrative Code
ALCOHOLIC BEVERAGE IN PUBLIC,(null)
"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",(null)
TRESPASS,Penal Law
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
"KNIFE, ANY IN PUBLIC VIEW",Administrative Code
ALCOHOLIC BEVERAGE IN PUBLIC,(null)
OBSTRUCTS VEHICULAR OR PEDESTRIAN TRAFFIC,(null)
CONSUMPTION OF ALCOHOL,Administrative Code
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
UNLAWFUL POSSESSION OF CANNABIS,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
TRESPASS,Penal Law
RECKLESS DRIVING,VTL
FAIL TO MAINTAIN FIRE EXTINGUISHER INSPECTION,(null)
DISCON: FIGHTING,Penal Law
IMPROPER ENTRANCE/EXIT,(null)
"PARK DEPARTMENT, JURISDICTION; NOT APPROVED",(null)
OTHER VTL,VTL
UNREASONABLE NOISE; GENERAL,(null)
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
RECKLESS DRIVING,VTL
FEDERAL MOTOR VEH. SAFETY REG,NYS Transportation
SOUND DEVICE; NON-COMMERCIAL WITHOUT PERMIT,(null)
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
UNREGISTERED VEHICLE,VTL
CONSUMPTION OF ALCOHOL IN VEHICLE,VTL
KNIVES; DISPLAYED OUTSIDE CLOTHING/CARRY IN THE OPEN WITHOUT A LAWFUL PURPOSE,(null)
