race,:@computed_region_efsh_h5xi,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer
WHITE HISPANIC,13510.0,11.0,60.0
(null),13514.0,27.0,14.0
(null),18182.0,30.0,36.0
WHITE HISPANIC,10370.0,13.0,4.0
BLACK,17614.0,17.0,55.0
BLACK,13827.0,25.0,5.0
(null),18182.0,30.0,36.0
WHITE,11729.0,50.0,70.0
WHITE HISPANIC,13092.0,39.0,47.0
BLACK,16866.0,17.0,61.0
BLACK,15313.0,47.0,63.0
(null),18182.0,30.0,36.0
WHITE,10098.0,10.0,11.0
BLACK,17614.0,17.0,55.0
BLACK,13516.0,17.0,69.0
(null),10700.0,14.0,4.0
WHITE HISPANIC,13510.0,11.0,60.0
BLACK,11605.0,2.0,29.0
BLACK,16858.0,33.0,53.0
WHITE HISPANIC,12076.0,32.0,57.0
BLACK,10934.0,42.0,34.0
ASIAN / PACIFIC ISLANDER,13512.0,8.0,32.0
WHITE HISPANIC,14784.0,21.0,65.0
AMERICAN INDIAN/ALASKAN NATIVE,10935.0,22.0,6.0
WHITE,12081.0,10.0,12.0
OTHER,13514.0,7.0,14.0
BLACK,11608.0,40.0,29.0
BLACK,24018.0,47.0,63.0
BLACK,18181.0,49.0,69.0
(null),14788.0,34.0,53.0
(null),18182.0,30.0,36.0
BLACK,18184.0,45.0,21.0
WHITE HISPANIC,11605.0,2.0,29.0
BLACK,10929.0,42.0,50.0
(null),18182.0,38.0,36.0
WHITE,11723.0,32.0,70.0
BLACK,10098.0,10.0,11.0
BLACK,24670.0,6.0,41.0
BLACK,17213.0,49.0,69.0
WHITE HISPANIC,11722.0,10.0,11.0
ASIAN / PACIFIC ISLANDER,12077.0,10.0,57.0
WHITE HISPANIC,13092.0,39.0,47.0
ASIAN / PACIFIC ISLANDER,17618.0,49.0,69.0
BLACK,13516.0,17.0,16.0
BLACK,10929.0,43.0,50.0
WHITE HISPANIC,10099.0,35.0,7.0
WHITE HISPANIC,11722.0,10.0,11.0
(null),14788.0,34.0,53.0
BLACK,17212.0,38.0,69.0
BLACK,17615.0,49.0,16.0
(null),14788.0,34.0,53.0
BLACK,11724.0,50.0,11.0
BLACK,20531.0,41.0,51.0
BLACK,10098.0,10.0,11.0
BLACK HISPANIC,13092.0,39.0,47.0
BLACK,17214.0,25.0,45.0
WHITE HISPANIC,24018.0,47.0,63.0
WHITE HISPANIC,17614.0,17.0,55.0
BLACK,10691.0,13.0,4.0
BLACK HISPANIC,13093.0,35.0,7.0
BLACK,10370.0,13.0,4.0
BLACK HISPANIC,11605.0,40.0,24.0
BLACK,10934.0,42.0,34.0
WHITE HISPANIC,,7.0,9.0
BLACK,11611.0,31.0,58.0
(null),10700.0,14.0,4.0
BLACK HISPANIC,10931.0,29.0,6.0
ASIAN / PACIFIC ISLANDER,12073.0,10.0,11.0
(null),18182.0,30.0,36.0
(null),14788.0,34.0,53.0
WHITE HISPANIC,14510.0,21.0,65.0
BLACK HISPANIC,13091.0,39.0,47.0
(null),13514.0,27.0,14.0
ASIAN / PACIFIC ISLANDER,13097.0,39.0,47.0
BLACK HISPANIC,13090.0,23.0,47.0
BLACK,17214.0,25.0,45.0
(null),13514.0,27.0,14.0
WHITE HISPANIC,14510.0,21.0,67.0
BLACK,24340.0,24.0,41.0
(null),13514.0,27.0,14.0
(null),14788.0,34.0,53.0
WHITE HISPANIC,24670.0,24.0,41.0
BLACK,17615.0,17.0,16.0
BLACK,13093.0,35.0,7.0
BLACK,11608.0,40.0,29.0
WHITE HISPANIC,13510.0,11.0,60.0
BLACK,17212.0,38.0,69.0
BLACK,17618.0,49.0,16.0
(null),18182.0,38.0,36.0
BLACK,17212.0,38.0,69.0
(null),18182.0,30.0,36.0
