longitude,age_group
-73.958125,18-24
-74.00343947641554,UNKNOWN
-73.93759674847603,UNKNOWN
-74.135896,25-44
-73.910972,25-44
-73.89468070058841,25-44
-73.93759674847603,UNKNOWN
-73.985945,<18
-73.920305,25-44
-73.934738,25-44
-73.738214,45-64
-73.93759674847603,UNKNOWN
-73.991338,45-64
-73.90753,45-64
-73.91905014945557,45-64
-74.16878433049314,UNKNOWN
-73.958125,25-44
-73.86512344385301,18-24
-73.93099866,18-24
-74.00053029504515,25-44
-73.903468,25-44
-73.93503175376539,45-64
-73.884397,25-44
-73.900592,25-44
-73.985704,45-64
-74.01415068870041,18-24
-73.85155206210321,25-44
-73.734782,25-44
-73.930254,25-44
-73.92531772865632,UNKNOWN
-73.93759674847603,UNKNOWN
-73.990606,18-24
-73.864296,18-24
-73.9219415,25-44
-73.94281598864389,UNKNOWN
-73.989427,25-44
-73.99394730218468,25-44
-73.80774181591707,65+
-73.935733,25-44
-73.99200582083958,25-44
-74.007713,25-44
-73.920305,25-44
-73.94397246540844,45-64
-73.923709,18-24
-73.912902,25-44
-73.94389318687841,45-64
-73.99062326583427,45-64
-73.92531772865632,UNKNOWN
-73.959005,25-44
-73.926715,18-24
-73.92531772865632,UNKNOWN
-73.989936,45-64
-73.81592587,25-44
-73.99394730218468,65+
-73.92061093162097,25-44
-73.893174,18-24
-73.734782,25-44
-73.91307794608768,45-64
-74.08013,25-44
-73.93120289689519,25-44
-74.14066993252156,18-24
-73.87363083902868,25-44
-73.903468,25-44
-74.005369,25-44
-73.85311,45-64
-74.16878433049314,UNKNOWN
-73.90475524924696,18-24
-73.9888702675778,25-44
-73.93759674847603,UNKNOWN
-73.92531772865632,UNKNOWN
-73.86272585671628,25-44
-73.936823,25-44
-74.00343947641554,UNKNOWN
-73.93514015201723,25-44
-73.94237,45-64
-73.881415,<18
-74.00343947641554,UNKNOWN
-73.84549092094753,25-44
-73.80020318978802,25-44
-74.00343947641554,UNKNOWN
-73.92531772865632,UNKNOWN
-73.80887433026759,25-44
-73.9256051783988,18-24
-73.93676832591038,<18
-73.85155206210321,18-24
-73.958125,18-24
-73.957927,25-44
-73.94967740249261,45-64
-73.94281598864389,UNKNOWN
-73.96029149850244,25-44
-73.93759674847603,UNKNOWN
-73.94079605669843,25-44
-73.99997115964543,18-24
-73.945126,45-64
-74.144536,25-44
-73.91447241436298,18-24
-73.985704,45-64
-73.94281598864389,UNKNOWN
-73.789162,25-44
-73.93704247456755,25-44
-73.85068928413239,25-44
-73.986787,25-44
-73.92531772865632,UNKNOWN
-73.86556330911199,25-44
-74.00343947641554,UNKNOWN
-73.955467,45-64
-73.94921942277941,45-64
-74.135896,25-44
-73.982679,18-24
-73.84385385,18-24
-73.989936,45-64
-73.88485401338326,25-44
-73.99200582083958,25-44
-73.92531772865632,UNKNOWN
-73.894053,25-44
-74.16878433049314,UNKNOWN
-73.924077,25-44
-73.937903,25-44
-73.923709,18-24
-73.91870195641286,25-44
-73.936823,25-44
-73.92531772865632,UNKNOWN
-73.92531772865632,UNKNOWN
-73.955467,25-44
-73.89274301312447,18-24
-73.98979219054627,<18
-73.89557249567623,25-44
-73.81592587,25-44
-73.999318,18-24
-73.958125,18-24
-73.949418,18-24
-73.978094,25-44
-73.91905014945557,25-44
-73.918433035217,25-44
-73.86512344385301,25-44
-73.941541,25-44
-73.978094,25-44
-73.94281598864389,UNKNOWN
-73.92531772865632,UNKNOWN
-73.921004,25-44
-73.946996,25-44
-73.86512344385301,18-24
-73.99394730218468,45-64
-74.077976,<18
-73.93759674847603,UNKNOWN
-74.14876859310395,25-44
-74.00730471293318,25-44
-73.87348973,25-44
-73.93759674847603,UNKNOWN
-73.903468,25-44
-73.86780058180116,18-24
-74.2031493990677,<18
-73.85155206210321,25-44
-73.72639668850155,25-44
-73.99200582083958,45-64
-73.92531772865632,UNKNOWN
-73.86883651271532,25-44
-73.9911105992578,25-44
-73.99175,<18
-73.98979219054627,25-44
-74.0008428050821,<18
-73.734782,25-44
-74.16878433049314,UNKNOWN
-73.86780058180116,18-24
-73.92531772865632,UNKNOWN
-73.90709625449949,<18
-73.80774181591707,65+
-73.89557249567623,25-44
-73.99991345583861,25-44
-73.86780058180116,18-24
-73.91828295359788,<18
-73.94593,45-64
-73.86272585671628,45-64
-73.938474,25-44
-73.9888702675778,25-44
-73.81732349600574,25-44
-73.92784012366862,25-44
-74.01415068870041,18-24
-74.001063,18-24
-73.86966162779248,25-44
-73.96967134647544,18-24
-73.941541,25-44
-73.910972,25-44
-73.981699,25-44
-73.80774181591707,65+
-73.90958335175937,18-24
-73.90475524924696,18-24
-73.957053,18-24
-73.89825887382057,25-44
-73.93233625210037,25-44
-74.16878433049314,UNKNOWN
-73.91447241436298,18-24
-73.958615,25-44
-73.9524885522964,45-64
-73.93759674847603,UNKNOWN
-73.955467,25-44
-73.98088850486349,25-44
-73.93767160055248,25-44
-73.870708,45-64
-73.953843,18-24
