law_section_number,jurisdiction_code,y_coordinate_cd,x_coordinate_cd,precinct_of_occur,latitude,:@computed_region_yeji_bk3q
CFR 49,0,205996,1004948,108,40.732063847604,3.0
CFR 49,0,205996,1004948,108,40.732063847604,3.0
140.05,0,161248,996615,61,40.609266,2.0
10-133,0,176600,1014012,69,40.651352824061085,2.0
240.20,0,215157,987078,14,40.757232265258125,4.0
245.01,0,178165,1013225,75,40.6556510145046,2.0
1050.9,1,160979,1035360,100,40.60838992,3.0
65-C,0,204595,984439,6,40.728254,4.0
1227,0,175002,995870,70,40.647019,2.0
10-125(2B),0,197039,998274,90,40.707502,2.0
10-125(2B),2,192487,990324,88,40.695015,2.0
1227,0,186566,1006703,81,40.678728818777344,2.0
19-176,0,234000,1006830,40,40.80892288740053,5.0
1212,0,257766,1021551,47,40.87410365282775,5.0
10-125(2B),2,194494,1000459,81,40.700511,2.0
222.25,2,192487,990324,88,40.695015,2.0
CFR 49,0,202014,1000101,94,40.7211442432271,2.0
CFR 49,0,205996,1004948,108,40.732063847604,3.0
16-118(6),0,253200,1006101,34,40.861632,4.0
140.05,2,235604,998922,32,40.813352,4.0
240.20(1),0,257766,1021551,47,40.87410365282775,5.0
240.20,0,213077,985927,14,40.75152348693427,4.0
10-131(B),0,167031,962604,120,40.625122,1.0
CFR 49,0,203048,1001547,94,40.72397961334044,2.0
512,0,167054,942953,121,40.62510485083114,1.0
24-236(A),0,187792,982224,76,40.68212215452584,2.0
1050.4(A),1,246027,1019254,48,40.84190198,5.0
CFR 49,0,203048,1001547,94,40.72397961334044,2.0
240.20,2,238733,1010967,42,40.821912,5.0
24-236(A),0,249562,1020823,49,40.85158922344624,5.0
1212,0,141930,927799,123,40.55606108651412,1.0
240.20,0,267952,1025287,47,40.90204439801025,5.0
24-236(A),0,203974,1060085,105,40.72621310067742,3.0
25-11,0,212195,986465,14,40.74910250120088,4.0
CFR 49,0,205996,1004948,108,40.732063847604,3.0
1227,0,185054,1020633,75,40.67453243093619,2.0
10-125,0,212638,986713,14,40.75031835886794,4.0
270,0,155521,986541,62,40.593556,2.0
17-315/20465,0,215157,987078,14,40.757232265258125,4.0
270,0,162469,984016,62,40.612616229770296,2.0
240.20(1),0,181533,1057829,116,40.664646,3.0
CFR 49,0,165614,937394,121,40.6211247015789,1.0
1212,0,249562,1020823,49,40.85158922344624,5.0
CFR 49,0,205996,1004948,108,40.732063847604,3.0
1156A,0,214518,1009989,114,40.75544136201441,3.0
509,0,194576,1037559,103,40.70058232906593,3.0
245.01,0,178165,1013225,75,40.6556510145046,2.0
512,0,191306,984274,76,40.691767511120034,2.0
402,0,249562,1020823,49,40.85158922344624,5.0
9999,0,237802,1006868,40,40.81935821375364,5.0
140.05,0,184867,999248,77,40.674092,2.0
1212,0,212504,1022285,110,40.74986910551557,3.0
100-1,0,186809,1001315,79,40.679418,2.0
20-254,0,210530,987334,13,40.744532233902085,4.0
9999,0,218169,1034853,109,40.76535505999304,3.0
1212,2,191337,1004261,81,40.6918299760046,2.0
245.01,0,186349,980325,76,40.6781608085568,2.0
1212,0,156039,983955,62,40.594978,2.0
270,0,219413,1020353,115,40.76884061950509,3.0
1212,0,175689,992666,70,40.64889834006129,2.0
10-125(2B),2,194494,1000459,81,40.700511,2.0
140.05,0,180854,1008949,73,40.663054,2.0
10-125,0,194210,989325,84,40.699746,2.0
19-507,0,194576,1037559,103,40.70058232906593,3.0
1212,0,195092,1009320,104,40.702123687460364,3.0
270,0,249997,1010599,46,40.852819599254914,5.0
1227,0,231988,996140,28,40.80343,4.0
1212,0,235526,1012413,41,40.81309529759932,5.0
511,0,248502,1002970,34,40.848735739786605,4.0
CFR 49,0,165614,937394,121,40.6211247015789,1.0
10-133(B),0,237493,1007923,40,40.81850733182842,5.0
10-125(2B),2,190315,995727,79,40.689049,2.0
10-125(2B),2,192489,997425,79,40.695004765493216,2.0
CFR 49,0,203048,1001547,94,40.72397961334044,2.0
140.05,0,161248,996615,61,40.609266,2.0
20-453,0,213791,989545,14,40.75348180968177,4.0
1212,0,248376,1001494,33,40.8483929130048,4.0
140.05,0,176089,1020127,75,40.649939,2.0
10-133,0,230313,997029,28,40.798833,4.0
