dbn,location,total_sw_gc,serving_more_than_one_location,location_type,total_sw
01M361,01M361 - THE CHILDREN'S WORKSHOP SCHOOL,1.0,0.6,ELEMENTARY                         ,0.6
02M042,02M042 - P.S. 042 BENJAMIN ALTMAN,2.0,No Data,ELEMENTARY                         ,2
02M489,02M489 - HIGH SCHOOL OF ECONOMICS AND FINANCE,3.0,No Data,HIGH SCHOOL                        ,1
02M033,02M033 - P.S. 033 CHELSEA PREP,2.0,No Data,ELEMENTARY                         ,1
01M448,01M448 - UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2.0,No Data,HIGH SCHOOL                        ,No Data
03M075,03M075 - P.S. 075 EMILY DICKINSON,2.6,No Data,ELEMENTARY                         ,1
02M394,02M394 - EMMA LAZARUS HIGH SCHOOL,1.0,No Data,HIGH SCHOOL                        ,No Data
02M006,02M006 - P.S. 006 LILLIE D. BLAKE,3.0,No Data,ELEMENTARY                         ,1
02M267,02M267 - EAST SIDE ELEMENTARY SCHOOL  PS 267,0.8,No Data,ELEMENTARY                         ,No Data
02M051,02M051 - P.S. 051 ELIAS HOWE,0.6,No Data,ELEMENTARY                         ,No Data
02M545,02M545 - HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2.0,No Data,HIGH SCHOOL                        ,No Data
02M376,02M376 - NYC ISCHOOL,2.0,No Data,HIGH SCHOOL                        ,No Data
02M412,02M412 - N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2.6,No Data,HIGH SCHOOL                        ,No Data
02M296,02M296 - HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2.0,No Data,HIGH SCHOOL                        ,1
02M212,02M212 - P.S. 212 MIDTOWN WEST,1.4,No Data,ELEMENTARY                         ,1
02M520,02M520 - MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,6.0,No Data,HIGH SCHOOL                        ,3
03M307,03M307 - URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE,3.0,No Data,HIGH SCHOOL                        ,No Data
03M403,03M403 - THE GLOBAL LEARNING COLLABORATIVE,4.0,No Data,HIGH SCHOOL                        ,1
02M198,02M198 - P.S. 198 ISADOR E. IDA STRAUS,2.0,No Data,ELEMENTARY                         ,1
02M313,02M313 - JAMES BALDWIN SCHOOL  THE: A SCHOOL FOR EXPEDITION,3.2,No Data,HIGH SCHOOL                        ,2
02M533,02M533 - UNION SQUARE ACADEMY FOR HEALTH SCIENCES,2.0,No Data,HIGH SCHOOL                        ,1
02M527,02M527 - P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,1.0,No Data,ELEMENTARY                         ,No Data
01M015,01M015 - P.S. 015 ROBERTO CLEMENTE,2.0,No Data,ELEMENTARY                         ,No Data
02M600,02M600 - THE HIGH SCHOOL OF FASHION INDUSTRIES,9.0,No Data,HIGH SCHOOL                        ,1
02M114,02M114 - EAST SIDE MIDDLE SCHOOL,1.0,No Data,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,No Data
02M399,02M399 - THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,3.0,No Data,HIGH SCHOOL                        ,No Data
02M531,02M531 - REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2.0,No Data,HIGH SCHOOL                        ,No Data
02M438,02M438 - INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,5.5,No Data,HIGH SCHOOL                        ,3
02M041,02M041 - P.S. 041 GREENWICH VILLAGE,2.6,No Data,ELEMENTARY                         ,1
03M334,03M334 - THE ANDERSON SCHOOL,1.0,No Data,K-8                                ,No Data
01M696,01M696 - BARD HIGH SCHOOL EARLY COLLEGE,3.0,No Data,HIGH SCHOOL                        ,No Data
02M158,02M158 - P.S. 158 BAYARD TAYLOR,2.0,No Data,ELEMENTARY                         ,2
03M087,03M087 - P.S. 087 WILLIAM SHERMAN,2.0,No Data,ELEMENTARY                         ,1
03M149,03M149 - P.S. 149 SOJOURNER TRUTH,3.0,No Data,K-8                                ,1
01M292,01M292 - HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,1.0,No Data,SECONDARY SCHOOL                   ,No Data
03M402,03M402 - THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,2.0,No Data,HIGH SCHOOL                        ,No Data
03M054,03M054 - J.H.S. 054 BOOKER T. WASHINGTON,2.4,No Data,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,No Data
02M343,02M343 - THE PECK SLIP SCHOOL,1.0,No Data,ELEMENTARY                         ,No Data
01M064,01M064 - P.S. 064 ROBERT SIMON,3.0,No Data,ELEMENTARY                         ,1
