dbn,bilingual,part_time
02M565,No Data,No Data
02M305,No Data,No Data
02M260,No Data,No Data
03M163,1,No Data
01M142,1,No Data
02M422,No Data,No Data
01M140,1,No Data
01M458,No Data,No Data
01M509,No Data,No Data
02M534,No Data,No Data
02M280,No Data,No Data
02M419,No Data,No Data
02M615,No Data,No Data
01M378,No Data,No Data
02M408,No Data,No Data
02M442,No Data,No Data
01M301,No Data,No Data
02M439,No Data,No Data
02M124,No Data,No Data
02M896,No Data,No Data
02M150,No Data,No Data
01M063,1,No Data
01M137,No Data,No Data
02M393,No Data,No Data
02M418,No Data,No Data
02M570,No Data,No Data
03M421,No Data,No Data
03M541,No Data,No Data
02M298,No Data,No Data
02M500,No Data,No Data
03M256,No Data,No Data
03M494,1,No Data
02M407,No Data,No Data
02M625,No Data,No Data
02M933,No Data,No Data
02M255,No Data,No Data
02M546,No Data,No Data
01M034,No Data,No Data
02M167,No Data,No Data
02M316,No Data,No Data
02M089,No Data,No Data
02M281,No Data,No Data
02M347,No Data,No Data
03M479,No Data,No Data
02M400,No Data,No Data
03M415,No Data,No Data
02M289,No Data,No Data
02M001,No Data,No Data
03M859,No Data,No Data
02M126,No Data,No Data
02M630,No Data,No Data
04M038,No Data,No Data
04M007,No Data,No Data
02M294,No Data,No Data
03M009,1,No Data
02M459,No Data,No Data
02M059,No Data,No Data
02M300,No Data,No Data
02M550,1,No Data
02M605,No Data,No Data
02M529,No Data,No Data
03M241,No Data,No Data
03M404,No Data,No Data
02M139,No Data,No Data
02M002,0.4,0.4
01M515,No Data,No Data
02M392,No Data,No Data
