pivot-metric,pivot-value,bin,council_district,geocode_status,construction_status,street
saf_type,,1045882.0,5.0,Successfully geocoded,Completed,EAST 74 STREET
saf_type,,1087786.0,9.0,Successfully geocoded,Completed,WEST 143 STREET
saf_type,,1001025.0,1.0,Successfully geocoded,Completed,PINE STREET
saf_type,,1087572.0,2.0,Successfully geocoded,Completed,ATTORNEY STREET
y,201725.404235839,1087572.0,2.0,Successfully geocoded,Completed,ATTORNEY STREET
saf_type,,1087549.0,1.0,Successfully geocoded,Completed,DELANCEY STREET
saf_type,,1002002.0,1.0,Successfully geocoded,Completed,LEONARD STREET
saf_type,,,9.0,Successfully geocoded,Application,EAST 118 STREET
saf_type,,1013352.0,3.0,Successfully geocoded,Completed,WEST 22 STREET
y,217623.840820312,1026678.0,3.0,Successfully geocoded,Completed,WEST 50 STREET
y,218419.533630371,1044821.0,5.0,Successfully geocoded,Completed,1 AVENUE
y,222971.984436035,1081034.0,6.0,Successfully geocoded,Completed,BROADWAY
y,218628.551208496,1025451.0,3.0,Successfully geocoded,Completed,WEST 57 STREET
y,215864.890197753,1088437.0,3.0,Successfully geocoded,Completed,WEST 42 STREET
saf_type,,,3.0,Successfully geocoded,Application,WEST 42 STREET
y,211916.557006835,1088533.0,3.0,Successfully geocoded,Completed,AVENUE OF THE AMERICAS
y,226015.268981933,1033105.0,6.0,Successfully geocoded,Completed,BROADWAY
saf_type,,1048688.0,,Successfully geocoded,Completed,EAST 83 STREET
saf_type,,1088881.0,1.0,Successfully geocoded,Completed,BOND STREET
y,221838.827392578,1049904.0,5.0,Successfully geocoded,Completed,EAST 83 STREET
saf_type,,1060747.0,9.0,Successfully geocoded,Completed,FREDERICK DOUGLASS BOULEVARD
y,207014.075805664,1010825.0,3.0,Successfully geocoded,Completed,CHARLES STREET
y,211202.0,,3.0,Successfully geocoded,Application,WEST 20 STREET
saf_type,,1030518.0,6.0,Successfully geocoded,Completed,BROADWAY
saf_type,,1088467.0,2.0,Successfully geocoded,Completed,EAST 24 STREET
y,206492.817199707,1009127.0,2.0,Successfully geocoded,Completed,UNIVERSITY PLACE
y,204301.182800292,1088207.0,2.0,Successfully geocoded,Completed,COOPER SQUARE
saf_type,,1085733.0,10.0,Successfully geocoded,Completed,WEST 165 STREET
y,211064.6328125,1087987.0,3.0,Successfully geocoded,Completed,WEST 23 STREET
saf_type,,1034816.0,4.0,Successfully geocoded,Completed,WEST 54 STREET
saf_type,,,,Outside of existing street range,Application,CROSBY STREET
