x,created_date,number,community_board,postcode
982354.0,2010-12-20T00:00:00.000,545,4.0,10011.0
1001085.54321289,2011-07-06T00:00:00.000,142,10.0,10030.0
986437.972229003,2011-08-04T00:00:00.000,520,5.0,10018.0
989166.040588378,2010-10-18T00:00:00.000,2077,7.0,10023.0
982118.362792968,2010-12-20T00:00:00.000,120,4.0,10011.0
987058.853210449,2011-07-11T00:00:00.000,417,4.0,10019.0
983679.0,2011-07-14T00:00:00.000,305,4.0,10011.0
999387.0,2010-12-20T00:00:00.000,1465,11.0,10035.0
991645.160583496,2011-07-06T00:00:00.000,522,6.0,10016.0
986323.645202636,2011-07-11T00:00:00.000,92,3.0,10002.0
983951.782592773,2011-02-28T00:00:00.000,44,2.0,10013.0
990131.567626953,2011-02-28T00:00:00.000,160,6.0,10016.0
981593.019226074,2011-11-04T00:00:00.000,44,1.0,10007.0
990549.260192871,2011-02-15T00:00:00.000,611,5.0,10022.0
981868.948608398,2011-07-14T00:00:00.000,112,1.0,10013.0
986552.884216308,2011-02-15T00:00:00.000,2,2.0,10003.0
990735.061218261,2011-02-28T00:00:00.000,215,7.0,10024.0
988939.633605957,2010-10-08T00:00:00.000,134,6.0,10010.0
987158.60760498,2010-12-20T00:00:00.000,310,4.0,10036.0
997007.761596679,2015-02-27T00:00:00.000,238 1/2,,
985854.43560791,2011-11-16T00:00:00.000,20,5.0,10011.0
988968.080810546,2010-10-20T00:00:00.000,420,3.0,10009.0
1001329.91741943,2011-07-14T00:00:00.000,50,11.0,10035.0
989371.388000488,2010-12-20T00:00:00.000,135,3.0,10002.0
985965.215820312,2011-07-11T00:00:00.000,31,5.0,10011.0
987740.067382812,2011-07-11T00:00:00.000,781,4.0,10036.0
1001133.15899658,2011-04-08T00:00:00.000,2512,10.0,10039.0
985741.270019531,2011-02-28T00:00:00.000,14,2.0,10011.0
1005293.0,2011-11-22T00:00:00.000,4857,12.0,10034.0
986380.070800781,2011-02-03T00:00:00.000,88,3.0,10002.0
996163.66821289,2011-07-12T00:00:00.000,304,10.0,10026.0
986632.395812988,2011-02-03T00:00:00.000,30,3.0,10002.0
994522.069824218,2011-07-14T00:00:00.000,28,8.0,10075.0
981619.0,2011-11-04T00:00:00.000,100,1.0,10007.0
996038.927429199,2011-07-06T00:00:00.000,1285,8.0,10021.0
0.0,2014-08-27T00:00:00.000,39 1/2,,
990714.24822998,2011-02-28T00:00:00.000,217,7.0,10024.0
985814.0,2010-12-20T00:00:00.000,440,4.0,10036.0
989662.0,2017-09-14T00:00:00.000,188A,,
979710.0,2011-07-14T00:00:00.000,20,1.0,10004.0
988750.0,2010-10-18T00:00:00.000,150,6.0,10010.0
989159.88104248,2010-10-18T00:00:00.000,2073,7.0,10023.0
1002154.10260009,2010-10-08T00:00:00.000,517,12.0,10032.0
987089.644592285,2011-04-08T00:00:00.000,307,4.0,10036.0
996019.758789062,2011-07-06T00:00:00.000,1281,8.0,10021.0
988260.853027343,2011-02-03T00:00:00.000,233,5.0,10019.0
986044.411010742,2011-07-11T00:00:00.000,30,5.0,10011.0
986551.586242675,2010-12-21T00:00:00.000,38,3.0,10002.0
985660.0,2010-12-20T00:00:00.000,476,4.0,10036.0
985003.398986816,2011-07-12T00:00:00.000,123,4.0,10011.0
994610.455200195,2011-02-15T00:00:00.000,1047,9.0,10025.0
990477.036010742,2011-07-11T00:00:00.000,41,5.0,10019.0
987146.252807617,2011-04-08T00:00:00.000,454,4.0,10019.0
987040.118408203,2011-04-08T00:00:00.000,800,4.0,10019.0
987356.0,2010-12-21T00:00:00.000,101,3.0,10003.0
984159.083984375,2010-12-16T00:00:00.000,331,4.0,10011.0
999423.0,2010-12-20T00:00:00.000,3,11.0,10035.0
983908.052429199,2011-11-16T00:00:00.000,40,2.0,10013.0
982302.797424316,2011-02-03T00:00:00.000,520,4.0,10011.0
986186.075012207,2011-02-03T00:00:00.000,83,2.0,10003.0
984748.0,2010-12-20T00:00:00.000,446,4.0,10001.0
983782.0,2010-12-20T00:00:00.000,508H,,
985468.959838867,2010-12-20T00:00:00.000,570,4.0,10036.0
989210.087402343,2011-11-22T00:00:00.000,2091,7.0,10023.0
1003163.21520996,2011-07-11T00:00:00.000,326,11.0,10035.0
985534.0,2010-12-20T00:00:00.000,477,4.0,10036.0
997625.24621582,2010-10-20T00:00:00.000,2296,10.0,10027.0
988414.0,2017-08-07T00:00:00.000,110A,,
996572.0,2011-11-04T00:00:00.000,88,10.0,10027.0
986225.573425292,2011-04-08T00:00:00.000,740,2.0,10003.0
995322.440612792,2011-07-12T00:00:00.000,515,9.0,10027.0
990797.713439941,2011-02-15T00:00:00.000,623,5.0,10022.0
997273.0,2011-04-08T00:00:00.000,103,10.0,10026.0
998040.0,2011-04-08T00:00:00.000,1516,11.0,10029.0
982633.436035156,2011-07-11T00:00:00.000,40,1.0,10038.0
1001229.76043701,2010-10-08T00:00:00.000,501,12.0,10032.0
983502.0,2015-11-04T00:00:00.000,529A,,
992317.84802246,2010-10-21T00:00:00.000,50,7.0,10024.0
986265.410034179,2011-02-03T00:00:00.000,41,2.0,10003.0
987074.138793945,2011-04-08T00:00:00.000,453,4.0,10019.0
982537.287597656,2011-11-04T00:00:00.000,400,2.0,10014.0
982495.31842041,2011-04-08T00:00:00.000,402,2.0,10014.0
981846.923217773,2010-10-22T00:00:00.000,221,4.0,10001.0
997990.218200683,2011-04-08T00:00:00.000,1510,11.0,10029.0
985635.0,2010-12-20T00:00:00.000,482,4.0,10036.0
985686.0,2010-12-20T00:00:00.000,470,4.0,10036.0
987239.0,2010-10-21T00:00:00.000,260,3.0,10002.0
985728.0,2010-12-20T00:00:00.000,460,4.0,10036.0
983332.610229492,2011-07-11T00:00:00.000,440,4.0,10011.0
993061.491394042,2011-07-11T00:00:00.000,245,6.0,10022.0
997629.743835449,2010-10-20T00:00:00.000,2298,10.0,10027.0
982623.0,2014-12-02T00:00:00.000,557B,,
984587.0,2010-12-20T00:00:00.000,450,4.0,10001.0
982623.0,2014-12-02T00:00:00.000,557A,,
997962.335998535,2011-04-08T00:00:00.000,1506,11.0,10029.0
1000434.96362304,2010-12-21T00:00:00.000,917,12.0,10032.0
985792.0,2011-02-28T00:00:00.000,16,2.0,10011.0
997011.629638671,2011-07-12T00:00:00.000,418,8.0,10021.0
999717.489013671,2010-10-22T00:00:00.000,153,10.0,10027.0
985745.0,2010-12-20T00:00:00.000,456,4.0,10036.0
988727.458190917,2010-12-20T00:00:00.000,148,6.0,10010.0
