x,y,latitude,longitude,lot,census_tract,nta,primary,borough
987835.42022705,209136.375793457,40.740676,-73.987496,2,56.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,false,Manhattan
985669.0,215934.0,40.759366,-73.994878,1,115.0,Clinton                                                                    ,false,Manhattan
986004.817016601,218119.619384765,40.765305,-73.993282,53,129.0,Clinton                                                                    ,true,Manhattan
1001353.45300292,233729.942810058,40.808109,-73.938367,25,206.0,Central Harlem North-Polo Grounds                                          ,true,Manhattan
985442.0,215910.0,40.7593,-73.995697,1,115.0,Clinton                                                                    ,false,Manhattan
986468.885009765,205053.009399414,40.729327,-73.991907,26,57.0,West Village                                                               ,true,Manhattan
985677.0,215930.0,40.759355,-73.994849,1,115.0,Clinton                                                                    , ,Manhattan
991954.610412597,215065.92199707,40.756925,-73.972066,60,100.0,Turtle Bay-East Midtown                                                    ,true,Manhattan
988936.014587402,201725.404235839,40.720392,-73.98342,7501,2201.0,Lower East Side                                                            ,true,Manhattan
1004209.97338867,252678.080627441,40.860412,-73.927936,1,283.0,Washington Heights North                                                   ,true,Manhattan
985750.79699707,211343.430236816,40.74688,-73.994446,33,95.0,Midtown-Midtown South                                                      ,true,Manhattan
985825.197814941,211149.158203125,40.746147,-73.994168,40,95.0,Midtown-Midtown South                                                      ,true,Manhattan
982218.585815429,200969.328796386,40.718455,-74.007489,32,33.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,true,Manhattan
1002823.54699707,232416.410827636,40.80422,-73.932566,19,242.0,East Harlem North                                                          ,false,Manhattan
981274.790405273,197193.17401123,40.708016,-74.010774,9,7.0,Battery Park City-Lower Manhattan                                          ,false,Manhattan
982362.0,210913.0,40.74559,-74.006828,7501,99.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,false,Manhattan
989338.287597656,201773.882995605,40.720227,-73.981562,58,2201.0,Lower East Side                                                            ,false,Manhattan
985517.0,215725.0,40.758792,-73.995427,1,115.0,Clinton                                                                    ,false,Manhattan
