businessstreetname,corporationname
EAST 82ND ST,
WEST 180TH STREET,
MADISON AVENUE,
EAST 38 STREET,14040 TENANTS CORP.
WEST 12TH STREET,"327 BLEECKER STREET, LLC"
Convent Ave,6 Convent Owners LLC
PENN PLAZA,127TH STREET APTS LLC
EAST 29TH STREET,SHP MANAGEMENT CORP
,
MARGARET LANE,T A 2 CHRISTOPHER LLC
E 32ND ST,
EAST 16TH STREET,AD REAL ESTATE INVESTORS INC
CHARLES STREET,MAGNUM REAL ESTATE GROUP
EAST 130TH STREET,TL 130TH STREET LLC
WEST 57 STREET,
MARGARET LANE,
BOND STREET,
E 82ND ST,S&R MANAGERS
EAST 82ND STREET,
BROADWAY,FIRST MANAGEMENT CORP
WEST END AVENUE,
76 AVE,193 EAST 4 ST LLC
MADISON AVE,
WELWYN RD,
EAST 45TH ST,LOCUST COVE MANAGEMENT LLC
THIRD AVE,
WEST 12TH STREET,
,
FOREST AVE,
,
THIRD AVE,
CUTTERMILL ROAD,"167 MOTT STREET, LLC"
THIRD AVE,179 EAST 70TH STREET CORP
LAFAYETTE STREET,
,
76 Ave,
THIRD AVE,
BOND STREET,
,
EAST 38 STREET,MAXWELL-KATES INC
,
EAST 45TH ST,
E 32ND ST,"VINTAGE GROUP, LLC"
,
WEST 55TH STREET,HOFFMAN MANAGEMENT
THIRD AVE,
FOREST AVENUE,
THIRD AVENUE,416 EAST 81ST STREET LLC
WEST 12TH STREET,
,
FOUNTAINS DRIVE SOUTH,
EAST 82ND ST,
MADISON AVE,
EAST 3RD STREET,
BOND STREET,
WEST 12TH STREET,
LEXINGTON AVE,EVGER BLEECKER ST. REALTY CORP-EVE ROBBI
CHARLTON STREET,
E 82ND ST,1376 THIRD AVENUE LLC
MARGARET LANE,
WEST 35TH STREET,
EAST 65 ST,
MADISON AVE,
WEST 47TH STREET,1711 REALTY GROUP LLC
THIRD AVENUE,EL-KAM REALTY CO
E 32ND ST,55 HOUSTON REALTY LLC
THIRD AVENUE,ROSE PROPERTY MANAGEMENT GROUP LLC
LAFAYETTE STREET,"ICON REALTY MANAGEMENT, LLC"
BROADWAY,
WEST END AVENUE,MANHATTAN MODERN MANAGEMENT INC.
EAST 3RD ST,
E 59TH ST,
WEST 47TH STREET,1711 REALTY GROUP LLC
BOWERY,168 1/2 DELANCEY CORP
EAST 130TH STREET,
WEST 35TH STREET,OK REALTY 1 LLC
EAST 45TH ST,E 129 St Cluster LP
,
EAST 38 STREET,
PENN PLAZA,
76 Ave,
WEST END AVENUE,PIPER-CADMIUM RPM
,
Park Ave,Newmark
,
EAST 65TH ST,SPIDER CITY LLC
666 BROADWAY,322 E. 14TH STREET OWNERS CORP.
E 78TH ST,
EAST 130TH STREET,
E 82ND ST,
BROADWAY,
,
East 120th Street,La Casa Nuestra HDFC
,
,
Park Ave,
LEXINGTON AVE,
EAST 65 ST,SPIDER CITY LLC
CHARLES STREET,
,
BROADWAY,
WEST 25 STREET,REGAL PROPERTY MANAGEMENT INC.
E 31 ST,
WEST 180TH STREET,PARK AVE SOUTH MGMT
,
118 East 38th Street,
EAST 130TH STREET,TL 130TH STREET LLC
Prospect Avenue,
WEST END AVENUE,
,
WEST 55TH STREET,
,
EAST 130TH STREET,
,
,
EAST 130TH ST,
EAST 3RD ST,LESPMHA INC
BOWERY,
,
,
WEST 47TH STREET,
W 72nd Street,
Park Ave,WFCM 2022-C62 1835 Amsterdam Avenue LLC
BOWERY,
,
CUTTERMILL ROAD,
MELISSA CT,GRAY ROCK EQUITIES LLC
EAST 18TH STREET,123 EAST 18TH STREET CORP
