businesszip,businessstate
10028.0,NY
10033.0,NY
10016.0,NY
10016.0,NY
10014.0,NY
10027.0,NY
10122.0,NY
10016.0,NY
,
12561.0,NY
10016.0,NY
10003.0,NY
10014.0,NY
10037.0,NY
10019.0,NY
12561.0,NY
10012.0,NY
10028.0,NY
10028.0,NY
11106.0,NY
10024.0,NY
11367.0,NY
10016.0,NY
11022.0,NY
10017.0,NY
10022.0,NY
10014.0,NY
,
10310.0,NY
,
10022.0,NY
11021.0,NY
10022.0,NY
10003.0,NY
,
11367.0,NY
10022.0,NY
10012.0,NY
,
10016.0,NY
,
10017.0,NY
10018.0,NY
,
10019.0,NY
10022.0,NY
10310.0,NY
10022.0,NY
10014.0,NY
,
33467.0,FL
10028.0,NY
10075.0,NY
10009.0,NY
10012.0,NY
10014.0,NY
10028.0,NY
10014.0,NY
10028.0,NY
12561.0,NY
10001.0,NY
10065.0,NY
10075.0,NY
10036.0,NY
10017.0,NY
10016.0,NY
10017.0,NY
10003.0,NY
10012.0,NY
10023.0,NY
10009.0,NY
10022.0,NY
10036.0,NY
10013.0,NY
10037.0,NY
10001.0,NY
10017.0,NY
,
10016.0,NY
10122.0,NY
11367.0,NY
10024.0,NY
,
10017.0,NY
,
10065.0,NY
10012.0,NY
10021.0,NY
10037.0,NY
10028.0,NY
11106.0,NY
,
10035.0,NY
,
,
10017.0,NY
10028.0,NY
10065.0,NY
10014.0,NY
,
10012.0,NY
10010.0,NY
10016.0,NY
10033.0,NY
,
10016.0,NY
10037.0,NY
10459.0,NY
10024.0,NY
,
10019.0,NY
,
10037.0,NY
,
,
10037.0,NY
10009.0,NY
10013.0,NY
,
,
10036.0,NY
10023.0,NY
10017.0,NY
10013.0,NY
,
11021.0,NY
11360.0,NY
10003.0,NY
10016.0,NY
,
10003.0,NY
10017.0,NY
10035.0,NY
11021.0,NY
10122.0,NY
,
10027.0,NY
,
10014.0,NY
10016.0,NY
10012.0,NY
,
10016.0,NY
10022.0,NY
10003.0,NY
10012.0,NY
,
10003.0,NY
10013.0,NY
,
,
10017.0,NY
,
10028.0,NY
10023.0,NY
10013.0,NY
10001.0,NY
10017.0,NY
10021.0,NY
10019.0,NY
10013.0,NY
10028.0,NY
10003.0,NY
10022.0,NY
10035.0,NY
10017.0,NY
10016.0,NY
10014.0,NY
10028.0,NY
10065.0,NY
11367.0,NY
10012.0,NY
10017.0,NY
10017.0,NY
10022.0,NY
10122.0,NY
10037.0,NY
,
10028.0,NY
,
10022.0,NY
10027.0,NY
,
10016.0,NY
10014.0,NY
10028.0,NY
10016.0,NY
10028.0,NY
10024.0,NY
10003.0,NY
10033.0,NY
10028.0,NY
10009.0,NY
10036.0,NY
10033.0,NY
10016.0,NY
,
10022.0,NY
10012.0,NY
,
