nta2020,date_of_incurrence,council_district
,2024-10-31T00:00:00.000,
,2024-07-31T00:00:00.000,
,2024-03-04T00:00:00.000,
,2025-02-28T00:00:00.000,
BK0201,2024-04-17T00:00:00.000,
,2024-01-26T00:00:00.000,
,2025-05-01T00:00:00.000,
,2024-07-31T00:00:00.000,
MN0101,2024-04-01T00:00:00.000,101.0
MN0101,2024-05-01T00:00:00.000,101.0
,2025-03-31T00:00:00.000,
,2025-05-31T00:00:00.000,
BK0201,2024-02-14T00:00:00.000,
,2024-03-31T00:00:00.000,
,2024-07-31T00:00:00.000,
,2025-04-30T00:00:00.000,
,2024-02-12T00:00:00.000,
,2024-09-05T00:00:00.000,101.0
BK0101,2024-03-10T00:00:00.000,
,2024-11-30T00:00:00.000,
,2024-05-31T00:00:00.000,
,2024-06-03T00:00:00.000,
,2024-09-30T00:00:00.000,
,2024-09-30T00:00:00.000,
BK1202,2024-06-25T00:00:00.000,
,2024-04-30T00:00:00.000,
BK0103,2024-03-10T00:00:00.000,
,2024-12-02T00:00:00.000,
BK0201,2024-05-23T00:00:00.000,
BK0201,2024-06-25T00:00:00.000,
,2024-11-04T00:00:00.000,
,2024-08-31T00:00:00.000,
BK0202,2024-03-27T00:00:00.000,
,2024-05-10T00:00:00.000,101.0
BK0201,2024-02-22T00:00:00.000,
BK0201,2024-02-12T00:00:00.000,
BK0201,2024-01-11T00:00:00.000,
BK0201,2024-04-17T00:00:00.000,
,2024-06-30T00:00:00.000,
MN0101,2024-08-01T00:00:00.000,101.0
,2024-07-24T00:00:00.000,101.0
,2024-07-31T00:00:00.000,
MN0101,2024-11-01T00:00:00.000,101.0
BK0201,2024-03-18T00:00:00.000,
BK0201,2024-02-22T00:00:00.000,
BK0202,2024-03-25T00:00:00.000,
MN0502,2024-01-08T00:00:00.000,105.0
MN0101,2024-07-01T00:00:00.000,101.0
,2024-02-28T00:00:00.000,
BK0201,2025-04-14T00:00:00.000,
,2024-11-05T00:00:00.000,
BK0202,2024-06-11T00:00:00.000,
BK0202,2024-07-26T00:00:00.000,
,2024-12-30T00:00:00.000,
,2024-11-18T00:00:00.000,
MN0101,2025-05-01T00:00:00.000,101.0
,2024-06-13T00:00:00.000,101.0
BK0201,2024-03-12T00:00:00.000,
,2024-10-23T00:00:00.000,
,2024-10-03T00:00:00.000,101.0
,2024-03-28T00:00:00.000,101.0
,2024-11-04T00:00:00.000,101.0
BK0201,2024-03-12T00:00:00.000,
BK0201,2024-02-14T00:00:00.000,
,2024-02-01T00:00:00.000,
MN0502,2024-03-11T00:00:00.000,105.0
BK0201,2024-06-25T00:00:00.000,
MN0101,2024-03-01T00:00:00.000,101.0
,2024-04-15T00:00:00.000,101.0
,2024-03-28T00:00:00.000,101.0
,2024-03-31T00:00:00.000,
MN0101,2024-02-01T00:00:00.000,101.0
,2024-02-29T00:00:00.000,
,2024-02-29T00:00:00.000,
,2024-04-21T00:00:00.000,
BK0201,2024-04-17T00:00:00.000,
,2024-12-31T00:00:00.000,
MN0101,2024-06-03T00:00:00.000,101.0
MN0502,2024-03-11T00:00:00.000,105.0
BK0201,2024-06-25T00:00:00.000,
BK0201,2024-05-23T00:00:00.000,
,2024-02-01T00:00:00.000,
MN0101,2025-02-03T00:00:00.000,101.0
MN0701,2024-02-22T00:00:00.000,107.0
MN0101,2024-01-31T00:00:00.000,101.0
MN0101,2025-01-01T00:00:00.000,101.0
BK0202,2024-02-01T00:00:00.000,
,2024-04-10T00:00:00.000,
MN0101,2024-09-03T00:00:00.000,101.0
BK0601,2024-01-20T00:00:00.000,
BK0201,2024-06-24T00:00:00.000,
,2024-11-30T00:00:00.000,
,2024-08-31T00:00:00.000,
,2024-02-01T00:00:00.000,
,2024-07-01T00:00:00.000,
BK0201,2024-01-11T00:00:00.000,
BK0201,2024-05-23T00:00:00.000,
BK0702,2024-02-29T00:00:00.000,
BK0201,2024-02-12T00:00:00.000,
MN0101,2024-12-01T00:00:00.000,101.0
,2024-03-12T00:00:00.000,
MN0101,2024-10-01T00:00:00.000,101.0
,2024-04-30T00:00:00.000,
,2024-08-30T00:00:00.000,
,2024-01-03T00:00:00.000,
