amount,ct2020,community_board
3678.2,,
1148.15,,
494.8,,
4313.6,,
10.0,,
117.64,,
10.0,,
19976.48,,
5000.0,1000477501.0,-74.011041
5000.0,1000477501.0,-74.011041
4313.6,,
438.0,,
10.0,,
4098.23,,
16.28,,
4518.6,,
23.63,,
199645.66,1000840036.0,-74.011709
108.88,,
7187.4,,
3775.4,,
3120.8,,
16.28,,
42.55,,
515.11,,
3593.2,,
119.75,,
3678.2,,
10.0,,
10.0,,
4576.2,,
7871.4,,
5456.0,,
90396.35,1000840036.0,-74.011709
10.0,,
10.0,,
30.0,,
10.0,,
4059.83,,
5000.0,1000477501.0,-74.011041
191157.15,1000840036.0,-74.011709
7391.33,,
5000.0,1000477501.0,-74.011041
10.0,,
10.0,,
8250.0,,
3810.63,1012760004.0,-73.981159
5000.0,1000477501.0,-74.011041
3938.96,,
35000.0,,
301.24,,
8250.0,,
9250.0,,
744704.79,,
761868.46,,
5000.0,1000477501.0,-74.011041
85305.26,1000840036.0,-74.011709
30.0,,
200000.0,,
235570.14,1000840036.0,-74.011709
86676.81,1000840036.0,-74.011709
411776.39,1000840036.0,-74.011709
30.0,,
10.0,,
15000.0,,
222.11,1012927502.0,-73.971176
10.0,,
5000.0,1000477501.0,-74.011041
53494.42,1000840036.0,-74.011709
129622.31,1000840036.0,-74.011709
14676.3,,
5000.0,1000477501.0,-74.011041
15447.34,,
586.8,,
540.0,,
10.0,,
4305.2,,
5000.0,1000477501.0,-74.011041
811.14,1012927502.0,-73.971176
10.0,,
10.0,,
4993.01,,
5000.0,1000477501.0,-74.011041
3950.97,1011147503.0,-73.98088
5000.0,1000477501.0,-74.011041
5000.0,1000477501.0,-74.011041
9750.0,,
16.28,,
5000.0,1000477501.0,-74.011041
6022.6,,
10.0,,
75.05,,
9.95,,
4541.81,,
3270.26,,
30.0,,
10.0,,
1950.0,,
10.0,,
5000.0,1000477501.0,-74.011041
16.28,,
5000.0,1000477501.0,-74.011041
1203.8,,
1116.68,,
18664.43,,
115.65,,
51892.5,1000580001.0,-74.012358
16.28,,
9.95,,
120506.71,1000840036.0,-74.011709
5000.0,1000477501.0,-74.011041
10.0,,
9159.1,1012760004.0,-73.981159
397188.89,1000840036.0,-74.011709
775185.53,,
16.28,,
5000.0,1000477501.0,-74.011041
6431.64,,
10.0,,
2233.35,,
250.0,,
2750.0,,
16.28,,
11500.0,,
2500.0,1000477501.0,-74.011041
5000.0,1000477501.0,-74.011041
35.0,,
372.23,,
16.28,,
4322.45,,
5378.75,,
7403.5,1007850007.0,-73.991774
5000.0,1000477501.0,-74.011041
16.28,,
9750.0,,
16.28,,
1164.91,,
1710.4,,
5070.7,,
3750.0,,
10.0,,
1103.3,,
10.0,,
6806.4,,
186.11,,
8250.0,,
