project,total_est_cost,postcode,latitude
DSF0001112274,77.0,,
DSF0001113929,1.42,11354.0,40.765166
DSF0001112278,77.0,,
DSF0000911837,151.31,11209.0,40.620233
DSF0001114233,0.4,11210.0,40.612623
DSF0001112268,118.26,,
DSF0001112279,60.0,,
DSF0001087173,118.01,,
DSF0000798213,210.16,10305.0,40.600996
DSF0000890637,489.68,10305.0,40.602575
DSF0001112264,77.0,,
DSF0001114088,0.68,10301.0,40.644735
DSF0001087175,60.0,,
DSF0000687094,76.0,11222.0,40.735855
DSF0001087176,48.0,,
DSF0001087195,77.0,,
DSF0001087189,59.84,,
DSF0001087181,60.0,,
DSF0001112261,76.02,,
DSF0000798206,169.56,11418.0,40.700285
DSF0001112289,1.82,11691.0,40.60201
DSF0000798212,96.19,,
DSF0001114086,0.54,11204.0,40.621871
DSF0001008552,182.89,11209.0,40.633362
DSF0001087179,96.0,,
DSF0001112262,76.75,,
DSF0001008556,213.77,11225.0,40.666313
DSF0001087182,80.14,,
DSF0000843826,222.43,11231.0,40.67865
DSF0000424314,106.59,,
DSF0001087192,153.18,10462.0,40.839294
DSF0000961149,77.03,,
DSF0001087197,96.0,,
DSF0001114092,7.39,11230.0,40.620525
DSF0001087183,60.0,,
DSF0001112258,45.0,11364.0,40.736177
DSF0001112277,62.72,,
DSF0001113926,3.73,11354.0,40.765166
DSF0001112257,115.11,,
DSF0001087194,48.99,,
DSF0001087190,118.01,,
DSF0001087185,118.01,,
DSF0001087186,50.0,,
DSF0001112269,55.0,,
DSF0001113982,4.17,11374.0,40.732289
DSF0001112273,76.0,,
DSF0000914321,96.05,,
DSF0001087196,77.01,,
DSF0001087184,77.68,11228.0,40.618724
DSF0001113992,0.63,10452.0,40.838224
DSF0001087198,60.85,10040.0,40.85674
DSF0001112259,118.0,,
DSF0001112275,78.01,,
DSF0001112260,96.0,,
DSF0001112288,0.94,11373.0,40.74373
DSF0001034280,135.88,10471.0,40.90199
DSF0001087180,118.0,,
DSF0001112263,77.0,,
DSF0001114096,0.98,11204.0,40.608604
DSF0001112276,96.02,,
DSF0001087178,99.1,11375.0,40.729402
DSF0001113899,1.21,11223.0,40.6013
DSF0001112171,5.33,10465.0,40.827471
DSF0000843827,92.43,,
DSF0000889670,176.1,11101.0,40.749586
DSF0001087193,48.99,,
DSF0001113894,0.82,11691.0,40.60201
DSF0000911839,207.58,11355.0,40.751198
DSF0001113895,3.97,11358.0,40.765133
DSF0000798236,71.35,,
DSF0000911850,95.53,10310.0,40.631211
