project,fundingreq_dfy_15_19,school,address,neighborhood_tabulation_area_nta_2020_,bin,district,census_tract_2020_,previousappropriations
DSF0001112278,70.2,PROJECT #1,,,,31,,0.0
DSF0001112275,71.24,PROJECT #1,,,,78Q,,0.0
DSF0000914321,89.13,PROJECT #34,,,,TBD,,0.13
DSF0001113992,0.63,HIGHBRIDGE ENVIRONMENTAL EDUCATION CAMPUS,200 WEST 167 STREET,BX0402,2117349.0,9,193.0,0.0
DSF0001087181,53.73,PROJECT #19,,,,TBD,,0.01
DSF0001112274,70.32,PROJECT #1,,,,28,,0.0
DSF0001087198,56.49,P.S./IS. 187 ADDITION,349 CABRINI BOULEVARD,MN1202,1064371.0,6,273.0,0.0
DSF0000843826,171.18,I.S. @ 46 VERONA STREET,46 VERONA STREET,BK0601,3000000.0,15,59.0,51.25
DSF0000798236,67.18,P.S. @ 2 HUDSON SQUARE,2 HUDSON SQUARE,,,2,,2.51
DSF0001087179,87.56,PROJECT #17,,,,TBD,,0.0
DSF0000798212,89.34,PROJECT #36,,,,TBD,,0.11
DSF0001087193,44.75,PROJECT #7,,,,TBD,,0.0
DSF0001112261,69.51,PROJECT #1,,,,2,,0.01
DSF0001113894,0.82,FAR ROCKAWAY HS,8-21 BAY 25 STREET,QN1401,4300730.0,78Q,100804.0,0.0
DSF0001087194,44.75,PROJECT #8,,,,TBD,,0.0
DSF0000798206,147.32,P.S. @ 120-08 JAMAICA AVENUE,120-08 JAMAICA AVENUE,QN0902,4195981.0,27,144.0,22.24
DSF0001114086,0.54,P.S. 48,6015 18 AVENUE,BK1204,3132140.0,20,244.0,0.0
DSF0001113926,3.73,FLUSHING HS #1,35-01 UNION STREET,QN0707,4113172.0,78Q,1161.0,0.0
DSF0000889670,118.51,P.S. @ 23-10 43 AVENUE,23-10 43 AVENUE,QN0201,4436809.0,30,1903.0,57.59
DSF0000961149,59.47,PROJECT #2,,,,31,,11.69
DSF0001087189,53.62,PROJECT #27,,,,TBD,,0.0
DSF0001112264,70.21,PROJECT #1,,,,24,,0.0
DSF0000911839,120.42,P.S. @ 137-23 45 AVENUE,137-23 45 AVENUE,QN0705,,25,845.0,87.16
DSF0001087190,107.9,PROJECT #28,,,,TBD,,0.0
DSF0001087197,77.47,PROJECT #11,,,,TBD,,0.0
DSF0001087182,71.93,PROJECT #1 HS,,,,78K,,0.04
DSF0000687094,70.27,P.S. @ 257 FRANKLIN STREET,257 FRANKLIN STREET,BK0101,3422314.0,14,56302.0,0.49
DSF0001112257,115.11,P.S.@ 1 BEACH 39 STREET,1 BEACH 39 STREET,,,27,,0.0
DSF0001112171,5.33,I.S. 101,2750 LAFAYETTE AVENUE,BX1002,2080231.0,8,152.0,0.0
DSF0001112288,0.94,ELMHURST EDUCATIONAL CAMPUS,45-10 94TH STREET,QN0401,4437166.0,78Q,463.0,0.0
DSF0001112277,60.32,PROJECT #59,,,,TBD,,0.0
DSF0001087186,45.62,PROJECT #24,,,,TBD,,0.0
DSF0001087180,107.54,PROJECT #18,,,,TBD,,0.0
DSF0001114096,0.98,P.S. 177,346 AVENUE P,BK1103,3175834.0,21,424.0,0.0
DSF0001112259,107.67,PROJECT #41,,,,TBD,,0.37
DSF0001087175,54.8,PROJECT #3,,,,TBD,,0.0
DSF0001087173,104.24,PROJECT #1,,,,TBD,,0.0
DSF0001112269,50.33,PROJECT #1,,,,25,,0.0
DSF0001114092,7.39,EDWARD R. MURROW HS,1600 AVENUE L,BK1403,3180673.0,78K,768.0,0.0
DSF0001112258,45.0,P.S. 188 ADDITION,218-12 HARTLAND AVENUE,QN1104,4164350.0,26,129104.0,0.0
DSF0000424314,7.91,P.S./I.S. @ WESTERN RAILYARDS,WEST 30 STREET AND 11 AVENUE,,,2,,0.41
DSF0000911837,121.86,P.S. @ 8802 5 AVENUE,8802 5 AVENUE,BK1001,3154213.0,20,160.0,29.45
DSF0001113929,1.42,FLUSHING HS #2,35-01 UNION STREET,QN0707,4113172.0,78Q,1161.0,0.0
DSF0001114088,0.68,CURTIS HS,105 HAMILTON AVENUE,SI0101,5106483.0,78R,7.0,0.0
DSF0001112273,69.29,PROJECT #1,,,,26,,0.0
DSF0001087184,73.73,P.S. @ 7120 NEW UTRECHT AVENUE,7120 NEW UTRECHT AVENUE,BK1101,3157770.0,20,190.0,0.82
DSF0001034280,122.14,P.S. @ 6389-6393 BROADWAY,6389-6393 BROADWAY,BX0803,2084649.0,10,345.0,13.74
DSF0001114233,0.4,P.S. 197,1599 EAST 22 STREET,BK1403,3182169.0,22,546.0,0.0
DSF0001113895,3.97,I.S. 25,34-65 192 STREET,QN1101,4119139.0,25,1139.0,0.0
DSF0001087195,69.07,PROJECT #9,,,,TBD,,0.04
DSF0001087176,43.85,PROJECT #4,,,,TBD,,0.0
DSF0001113982,4.17,I.S. 157,63-55 102ND STREET,QN0602,4442846.0,28,721.0,0.0
DSF0000798213,196.56,P.S./I.S. @ 27 LANDIS AVENUE,27 LANDIS AVENUE,SI0201,,31,2002.0,0.51
