fundingreq_dfy_15_19,longitude,boro,council_district,community_board,constr_start,proposed_leased_facility,existing_site_identified
60.32,,Manhattan,,,27-Oct,LEASED,NO
69.51,,Manhattan,,,28-Apr,NO,NO
89.34,,Manhattan,,,27-Jun,NO,NO
73.73,-73.999114,Brooklyn,38.0,311.0,27-May,NO,YES
77.45,,Manhattan,,,28-Jun,NO,NO
196.56,-74.068889,Staten Island,50.0,502.0,25-Jul,NO,YES
70.2,,Staten Island,,,27-Aug,NO,NO
44.75,,Manhattan,,,27-Oct,LEASED,NO
59.47,,Staten Island,,,28-Mar,NO,NO
200.29,-73.951164,Brooklyn,35.0,309.0,25-Jul,NO,YES
1.21,-73.976953,Brooklyn,44.0,311.0,26-Mar,NO,YES
1.42,-73.82789,Queens,20.0,407.0,26-Mar,NO,YES
43.85,,Manhattan,,,27-Oct,LEASED,NO
118.51,-73.943546,Queens,26.0,402.0,25-Jan,NO,YES
4.17,-73.853825,Queens,29.0,406.0,26-Mar,NO,YES
444.18,-74.068696,Staten Island,50.0,502.0,25-Jul,NO,YES
0.94,-73.870642,Queens,25.0,404.0,25-Mar,NO,YES
7.91,,Manhattan,,,29-Jul,NO,YES
147.32,-73.829537,Queens,29.0,409.0,25-Jun,NO,YES
121.86,-74.027311,Brooklyn,47.0,310.0,26-Jan,NO,YES
7.39,-73.959285,Brooklyn,44.0,314.0,26-Mar,NO,YES
87.56,,Manhattan,,,27-Nov,NO,NO
0.98,-73.974847,Brooklyn,44.0,311.0,26-Mar,NO,YES
71.24,,Queens,,,28-Mar,NO,NO
83.98,,Queens,,,28-Jan,NO,YES
1.82,-73.762795,Queens,31.0,414.0,25-Mar,NO,YES
53.73,,Manhattan,,,28-Oct,LEASED,NO
45.0,-73.753159,Queens,23.0,411.0,26-Jul,NO,YES
115.11,,Queens,,,26-Jul,NO,YES
120.42,-73.822473,Queens,20.0,407.0,25-Jul,NO,YES
77.47,,Manhattan,,,27-Oct,NO,NO
0.63,-73.927891,Bronx,16.0,204.0,26-Mar,NO,YES
45.62,,Manhattan,,,27-Jul,LEASED,NO
107.67,,Manhattan,,,27-Sep,NO,NO
54.64,,Manhattan,,,28-May,LEASED,NO
70.32,,Queens,,,28-Jan,NO,NO
97.67,,Manhattan,,,27-Nov,NO,NO
104.24,,Manhattan,,,29-May,NO,NO
92.06,-73.845637,Queens,29.0,406.0,26-Jul,NO,YES
69.11,,Brooklyn,,,28-Oct,NO,NO
0.54,-73.987396,Brooklyn,44.0,312.0,26-Mar,NO,YES
70.2,,Brooklyn,,,27-Sep,NO,NO
71.93,,Brooklyn,,,28-Oct,NO,NO
107.56,,Manhattan,,,27-Jul,NO,NO
107.9,,Manhattan,,,27-Sep,NO,NO
89.13,,Manhattan,,,27-Jun,NO,NO
0.82,-73.762795,Queens,31.0,414.0,26-Mar,NO,YES
69.29,,Queens,,,27-Nov,NO,NO
0.4,-73.951906,Brooklyn,48.0,314.0,26-Mar,NO,YES
54.8,,Manhattan,,,27-Oct,LEASED,NO
67.18,,Manhattan,,,26-Oct,NO,YES
91.35,-74.127065,Staten Island,49.0,501.0,25-Feb,NO,YES
44.75,,Manhattan,,,27-Oct,LEASED,NO
3.97,-73.790083,Queens,19.0,411.0,26-Mar,NO,YES
0.68,-74.081222,Staten Island,49.0,501.0,26-Mar,NO,YES
70.21,,Queens,,,28-May,NO,NO
143.54,-73.850344,Bronx,18.0,210.0,26-Jul,NO,YES
3.73,-73.82789,Queens,20.0,407.0,26-Mar,NO,YES
50.33,,Queens,,,27-Nov,NO,NO
75.79,,Bronx,,,27-Jul,NO,NO
107.54,,Manhattan,,,27-Aug,NO,NO
171.18,-74.007816,Brooklyn,38.0,306.0,25-Jan,NO,YES
69.07,,Manhattan,,,29-Apr,NO,NO
122.14,-73.896672,Bronx,11.0,208.0,26-Jan,NO,YES
87.7,,Queens,,,27-Dec,NO,NO
70.27,-73.958586,Brooklyn,33.0,301.0,27-Apr,NO,YES
171.24,-74.023073,Brooklyn,47.0,310.0,25-Jun,NO,YES
56.49,-73.937056,Manhattan,10.0,112.0,27-May,NO,YES
53.8,,Manhattan,,,28-Aug,LEASED,NO
53.62,,Manhattan,,,28-Oct,LEASED,NO
5.33,-73.829753,Bronx,13.0,210.0,25-Mar,NO,YES
